symbol,signal_date,entry_date,range_pct__pct,ret_5d__pct,ret_20d__pct,vol_vs_20d__pct,dist_prior_high_20__pct,atr_20_pct__pct,wtd_range_pct__pct,wtd_close_loc__pct,rs_sector_20d__pct,raw_eod_state_score,raw_eod_state_z,pattern_stock_prior_score,fired_patterns,fired_pair_count,prior_log,pair_log,vol_state,pullback_active_state,continuation_state,raw_repaired_score,prior_pct,pairs_pct,raw_pct,prior_z_capped,pairs_z_capped,raw_z_capped,watchlist_memory,watchlist_memory_z,stale_loser_penalty,final_score,pattern_stock_prior_z,final_rank,risk_mode,recent3_pnl_5x_rs,month_pnl_before_5x_rs,day_quality
JBMA,2025-03-18,2025-03-19,0.9329140461215932,0.2976939203354298,0.065126050420168,0.750524109014675,0.020964360587002,0.9832285115303984,0.8553459119496856,0.7735849056603774,0.0504201680672268,3.5429091133308668,1.913461799221437,70.2655582306726,FALCPAT_6348|FALCPAT_6424|FALCPAT_6474|FALCPAT_6674|FALCPAT_7004|FALCPAT_7226|FALCPAT_7572|FALCPAT_7786|FALCPAT_8245|FALCPAT_8260|FALCPAT_8455|FALCPAT_8571|FALCPAT_8734|FALCPAT_8764|FALCPAT_8888|FALCPAT_8951|FALCPAT_9243,21,4.266413156443685,3.091042453358316,0.9284067085953879,0.6507548931522295,0.3214336363476208,1.4449726288046119,0.9937106918238994,0.9853249475890985,0.9769392033542977,2.672289602986352,2.7070536684482573,1.7678784922647388,0.0,-0.05714031787321928,1.0,1.3859106780996948,2.672289602986352,4,normal,6197.6146752817185,36050.21033768338,0.9853249475890986
GRAVITA,2025-03-18,2025-03-19,0.8553459119496856,0.10062893081761,0.5063025210084033,0.6834381551362684,0.4150943396226415,0.9245283018867924,0.7610062893081762,0.589098532494759,0.4705882352941176,3.358102108768035,1.6545429009588497,55.13055255737829,FALCPAT_6424|FALCPAT_6545|FALCPAT_6569|FALCPAT_6578|FALCPAT_6591|FALCPAT_6645|FALCPAT_6674|FALCPAT_7202|FALCPAT_7545|FALCPAT_7561|FALCPAT_8269|FALCPAT_8455|FALCPAT_8494|FALCPAT_8724|FALCPAT_8734|FALCPAT_9170|FALCPAT_9243,22,4.027680273148987,3.1354942159291497,0.8534591194968553,0.6918115673942533,0.3796586244560717,1.3294194320160535,0.9832285115303984,0.989517819706499,0.949685534591195,2.4815509861676466,2.7561740547930915,1.6265005458338528,0.0,-0.05714031787321928,5.0,-1.9254421088074776,2.4815509861676466,5,normal,6197.6146752817185,36050.21033768338,0.9853249475890986
TARIL,2025-03-19,2025-03-20,0.9245283018867924,0.9769392033542976,0.9264705882352942,0.6163522012578616,0.4067085953878406,0.9979035639412998,0.9874213836477987,0.8385744234800838,0.9285714285714286,3.3534067085953883,1.999916488123853,53.14433568050424,FALCPAT_6424|FALCPAT_6439|FALCPAT_6646|FALCPAT_7471|FALCPAT_7603|FALCPAT_7631|FALCPAT_7760|FALCPAT_8070|FALCPAT_8171|FALCPAT_8291|FALCPAT_8450|FALCPAT_8547|FALCPAT_8585|FALCPAT_8668|FALCPAT_9243|FALCPAT_9301|FALCPAT_9370,18,3.991653363737446,2.9444389791664403,0.9795597484276729,0.4653788559448937,0.922475688388563,1.5517537968232102,0.9832285115303984,0.9811320754716981,0.9979035639412998,2.550221666389418,2.6433976084458135,2.118955932108354,0.0,-0.06512741790844426,0.0,2.2060182545914895,2.550221666389418,1,normal,21806.03938139933,54066.09328012998,0.9853249475890986
ITI,2025-03-19,2025-03-20,0.8553459119496856,0.7044025157232704,0.4852941176470588,0.7987421383647799,0.2368972746331236,0.8406708595387841,0.6079664570230608,0.8448637316561844,0.4285714285714285,2.9564989517819704,1.3250794536560029,42.14052791052905,FALCPAT_6150|FALCPAT_6245|FALCPAT_6424|FALCPAT_6674|FALCPAT_6697|FALCPAT_6721|FALCPAT_6865|FALCPAT_7559|FALCPAT_8245|FALCPAT_8405|FALCPAT_8903|FALCPAT_9111|FALCPAT_9300|FALCPAT_9345|FALCPAT_9428|FALCPAT_9545|FALCPAT_9569,17,3.76446287803331,2.8903717578961645,0.7621593291404614,0.5396975142258161,0.6433660571146698,0.9875615375105641,0.9748427672955975,0.9769392033542977,0.9077568134171907,2.3653464629498395,2.582595773551586,1.3485268495438487,0.0,-0.06512741790844426,0.0,1.918056775423707,2.3653464629498395,2,normal,21806.03938139933,54066.09328012998,0.9853249475890986
BSE,2025-03-19,2025-03-20,0.8909853249475891,0.9874213836477987,0.0210084033613445,0.6373165618448637,0.0062893081761006,0.981132075471698,0.9161425576519916,0.9224318658280922,0.0168067226890756,3.173387594031323,1.693841428278021,37.39046306360613,FALCPAT_6150|FALCPAT_6266|FALCPAT_6793|FALCPAT_6823|FALCPAT_7348|FALCPAT_7514|FALCPAT_7600|FALCPAT_7754|FALCPAT_8037|FALCPAT_8141|FALCPAT_8171|FALCPAT_8781|FALCPAT_8907|FALCPAT_8952|FALCPAT_8967|FALCPAT_9395|FALCPAT_9505,17,3.6478090710292053,2.8903717578961645,0.940356394129979,0.38365484558603313,0.5839785599774501,1.1125591027107675,0.9643605870020965,0.9748427672955975,0.9475890985324947,2.27041996884493,2.582595773551586,1.5192164644586543,0.0,-0.06512741790844426,0.0,1.9180122568051994,2.27041996884493,3,normal,21806.03938139933,54066.09328012998,0.9853249475890986
POLICYBZR,2025-03-19,2025-03-20,0.9538784067085954,0.7274633123689728,0.6029411764705882,0.750524109014675,0.6771488469601677,0.7610062893081762,0.981132075471698,0.989517819706499,0.5756302521008403,3.1022043408558395,1.5728130667705906,67.35352807550346,FALCPAT_6458|FALCPAT_6865|FALCPAT_6951|FALCPAT_7085|FALCPAT_7179|FALCPAT_7183|FALCPAT_7349|FALCPAT_7620|FALCPAT_7753|FALCPAT_7942|FALCPAT_8171|FALCPAT_8364|FALCPAT_8411|FALCPAT_8429|FALCPAT_8462|FALCPAT_8496|FALCPAT_8547,29,4.224693179621324,3.4011973816621555,0.8766247379454927,0.44133150115392067,0.7390714461885383,1.1344142999962963,0.9916142557651991,0.9937106918238994,0.9538784067085954,2.739856735118309,3.0,1.5490606874447508,0.7945325894389011,2.5,1.0,1.4202007026644268,2.739856735118309,4,normal,21806.03938139933,54066.09328012998,0.9853249475890986
GRSE,2025-03-19,2025-03-20,1.0,1.0,0.9936974789915968,0.9916142557651992,1.0,0.939203354297694,1.0,0.99895178197065,0.9936974789915968,3.136525773831545,1.6311676180496173,56.76971619505075,FALCPAT_6440|FALCPAT_6663|FALCPAT_6953|FALCPAT_7184|FALCPAT_7209|FALCPAT_7349|FALCPAT_7603|FALCPAT_7621|FALCPAT_7631|FALCPAT_7760|FALCPAT_7862|FALCPAT_8102|FALCPAT_8248|FALCPAT_8547|FALCPAT_8574|FALCPAT_8585|FALCPAT_8622,21,4.056464697111049,3.091042453358316,0.9726415094339622,0.3970623469513592,0.9972169370893011,1.3268838586086789,0.9853249475890985,0.9874213836477987,0.9790356394129979,2.602961588158145,2.8082620128540925,1.8118862456046365,0.0,-0.06512741790844426,1.0,1.3859566786431425,2.602961588158145,5,normal,21806.03938139933,54066.09328012998,0.9853249475890986
GRAVITA,2025-03-19,2025-03-20,0.8322851153039832,0.5953878406708596,0.523109243697479,0.3710691823899371,0.4821802935010482,0.9140461215932912,0.8448637316561844,0.5283018867924528,0.4747899159663865,3.014499321741275,1.4236937966348808,41.44607554584988,FALCPAT_6424|FALCPAT_6578|FALCPAT_6591|FALCPAT_7545|FALCPAT_7561|FALCPAT_7631|FALCPAT_8269|FALCPAT_8455|FALCPAT_8573|FALCPAT_8734|FALCPAT_9170|FALCPAT_9243|FALCPAT_9301|FALCPAT_9395|FALCPAT_9427|FALCPAT_9597,16,3.7482344596226813,2.833213344056216,0.8734800838574422,0.44024100206120176,0.5424570142522418,0.9792487758016649,0.9706498951781971,0.9727463312368972,0.9014675052410901,2.352140662777931,2.5183177071101888,1.3371754116762555,0.5010888603291572,2.5,5.0,-2.1035793074088294,2.352140662777931,6,normal,21806.03938139933,54066.09328012998,0.9853249475890986
TARIL,2025-03-20,2025-03-21,0.8637316561844863,0.981132075471698,0.9432773109243696,0.5303983228511531,0.350104821802935,0.9979035639412998,0.9832285115303984,0.5786163522012578,0.9411764705882352,3.223751387347392,1.852805951886048,53.14433568050424,FALCPAT_6424|FALCPAT_6439|FALCPAT_6646|FALCPAT_7471|FALCPAT_7603|FALCPAT_7631|FALCPAT_7760|FALCPAT_8070|FALCPAT_8171|FALCPAT_8291|FALCPAT_8450|FALCPAT_8547|FALCPAT_8585|FALCPAT_8668|FALCPAT_9243|FALCPAT_9301|FALCPAT_9370,18,3.991653363737446,2.9444389791664403,0.9659329140461217,0.4633925268220496,0.8650461127847363,1.445416718275734,0.9832285115303984,0.9769392033542977,0.9853249475890985,2.4940148351939437,2.5856094508665732,1.9681375944001211,0.0,-0.06290379076377389,0.0,2.1314629646106193,2.4940148351939437,1,normal,26265.22037409922,52948.58398750398,0.9853249475890986
RVNL,2025-03-20,2025-03-21,0.7945492662473794,0.7924528301886793,0.6701680672268907,0.4842767295597484,0.1928721174004193,0.9119496855345912,0.8197064989517819,0.4758909853249476,0.6428571428571429,3.0208071278826,1.493532667781125,46.5083669661464,FALCPAT_7554|FALCPAT_7620|FALCPAT_7695|FALCPAT_7741|FALCPAT_7754|FALCPAT_7862|FALCPAT_7871|FALCPAT_7942|FALCPAT_8102|FALCPAT_8211|FALCPAT_8245|FALCPAT_8364|FALCPAT_8486|FALCPAT_9111|FALCPAT_9548|FALCPAT_9569|FALCPAT_9584,17,3.8609058421843088,2.8903717578961645,0.8561844863731656,0.49985025456723564,0.6603018251325687,1.122981578062077,0.9706498951781971,0.9727463312368972,0.9538784067085954,2.3888771590564843,2.525556674107156,1.5290899405460276,0.0,-0.06290379076377389,0.0,1.9623785415333561,2.3888771590564843,2,normal,26265.22037409922,52948.58398750398,0.9853249475890986
BSE,2025-03-20,2025-03-21,0.8071278825995807,0.939203354297694,0.0252100840336134,0.6918238993710691,0.0062893081761006,0.9832285115303984,0.9329140461215932,0.7526205450733753,0.01890756302521,3.089217227771612,1.6146394254587677,40.80487942968572,FALCPAT_6150|FALCPAT_6266|FALCPAT_6793|FALCPAT_6823|FALCPAT_7348|FALCPAT_7514|FALCPAT_7600|FALCPAT_7754|FALCPAT_8037|FALCPAT_8171|FALCPAT_8225|FALCPAT_8450|FALCPAT_8646|FALCPAT_8907|FALCPAT_8952|FALCPAT_8967|FALCPAT_9395,17,3.733013065485572,2.8903717578961645,0.930398322851153,0.4118527914310378,0.5260149657347215,1.0808207147160283,0.9622641509433962,0.9685534591194969,0.9433962264150944,2.2860350617291756,2.525556674107156,1.4716810981838708,0.0,-0.06290379076377389,0.0,1.901747387145528,2.2860350617291756,3,normal,26265.22037409922,52948.58398750398,0.9853249475890986
KFINTECH,2025-03-20,2025-03-21,0.9916142557651992,0.9748427672955976,0.9873949579831932,0.9454926624737946,1.0,0.8322851153039832,0.9517819706498952,0.7421383647798742,0.9873949579831932,2.886573560241706,1.2558982808285315,148.08723307798556,FALCPAT_6205|FALCPAT_6245|FALCPAT_6424|FALCPAT_6439|FALCPAT_6645|FALCPAT_6675|FALCPAT_6793|FALCPAT_6824|FALCPAT_6865|FALCPAT_7514|FALCPAT_7554|FALCPAT_7631|FALCPAT_7787|FALCPAT_7800|FALCPAT_7942|FALCPAT_7963|FALCPAT_7976,47,5.004531591531662,3.871201010907891,0.9059748427672956,0.39538255553793844,0.9216875429417049,1.0536518545393998,1.0,1.0,0.9371069182389937,3.0,3.0,1.4346862957236475,0.0,-0.06290379076377389,1.0,1.508671573930912,3.0,4,normal,26265.22037409922,52948.58398750398,0.9853249475890986
GRSE,2025-03-20,2025-03-21,0.9748427672955976,1.0,0.9978991596638656,0.9874213836477987,0.989517819706499,0.9287211740041929,1.0,0.7253668763102725,0.9978991596638656,2.993289863115057,1.444818710023996,68.28788698549164,FALCPAT_6440|FALCPAT_6663|FALCPAT_6953|FALCPAT_7184|FALCPAT_7209|FALCPAT_7395|FALCPAT_7509|FALCPAT_7603|FALCPAT_7621|FALCPAT_7760|FALCPAT_7771|FALCPAT_7862|FALCPAT_8102|FALCPAT_8225|FALCPAT_8248|FALCPAT_8407|FALCPAT_8509,26,4.238270099943988,3.295836866004329,0.9628930817610063,0.39968465373570816,0.9305013829431144,1.2109871274518735,0.9916142557651991,0.9916142557651991,0.9664570230607966,2.692326131908069,2.9759091251649497,1.6489237463778839,0.0,-0.06290379076377389,1.0,1.418959520986092,2.692326131908069,5,normal,26265.22037409922,52948.58398750398,0.9853249475890986
FINCABLES,2025-03-20,2025-03-21,0.9308176100628932,0.4318658280922431,0.0819327731092437,0.920335429769392,0.0943396226415094,0.7631027253668763,0.9664570230607966,0.0482180293501048,0.0588235294117647,2.957380688124306,1.381248509701756,47.72511476531976,FALCPAT_6343|FALCPAT_6348|FALCPAT_6512|FALCPAT_7296|FALCPAT_7545|FALCPAT_7572|FALCPAT_7870|FALCPAT_8096|FALCPAT_8206|FALCPAT_8241|FALCPAT_8361|FALCPAT_8546|FALCPAT_8621|FALCPAT_8851|FALCPAT_8888|FALCPAT_8938|FALCPAT_9121,19,3.8861946007591373,2.995732273553991,0.8678197064989518,0.6210938463435689,0.19251426985888692,1.0505390886328725,0.9790356394129979,0.9811320754716981,0.9329140461215933,2.4092125449771893,2.6425812109226823,1.4304477609059094,0.0,-0.06290379076377389,1.0,1.170273827650749,2.4092125449771893,6,normal,26265.22037409922,52948.58398750398,0.9853249475890986
ERIS,2025-03-21,2025-03-24,0.8385744234800838,0.7924528301886793,0.7169811320754716,0.5031446540880503,0.1970649895178197,0.639412997903564,0.9475890985324948,0.129979035639413,0.7023060796645703,2.7358490566037736,1.0366707892182925,100.22383492826566,FALCPAT_6809|FALCPAT_7056|FALCPAT_7075|FALCPAT_7164|FALCPAT_7184|FALCPAT_7209|FALCPAT_7412|FALCPAT_7620|FALCPAT_7709|FALCPAT_7764|FALCPAT_7861|FALCPAT_7872|FALCPAT_7902|FALCPAT_8070|FALCPAT_8084|FALCPAT_8102|FALCPAT_8143,26,4.617334252128754,3.295836866004329,0.7871069182389938,0.5144654088050314,0.5944444444444444,0.8395214731950171,0.9958071278825996,0.9916142557651991,0.8742138364779874,3.0,3.0,1.1815690326672745,0.0,-0.052789001393306306,0.0,2.245392258166819,3.0,1,normal,31994.537710491222,68044.7480481746,0.9853249475890986
ITI,2025-03-21,2025-03-24,0.6687631027253669,0.2096436058700209,0.4129979035639413,0.469601677148847,0.1509433962264151,0.8532494758909853,0.3438155136268344,0.5052410901467506,0.3626834381551362,2.838364779874213,1.2268891816864886,59.37983097190831,FALCPAT_6150|FALCPAT_6245|FALCPAT_6424|FALCPAT_6674|FALCPAT_6697|FALCPAT_6721|FALCPAT_6865|FALCPAT_7559|FALCPAT_8038|FALCPAT_8225|FALCPAT_8245|FALCPAT_8405|FALCPAT_8456|FALCPAT_8903|FALCPAT_8908|FALCPAT_9111|FALCPAT_9300,21,4.10065512486948,3.091042453358316,0.6380503144654088,0.6553459119496856,0.35733752620545073,0.8315168110225315,0.989517819706499,0.9853249475890985,0.870020964360587,2.697640793618834,2.8712171957102806,1.1703027096969303,0.0,-0.052789001393306306,0.0,2.080757473694764,2.697640793618834,2,normal,31994.537710491222,68044.7480481746,0.9853249475890986
SONATSOFTW,2025-03-21,2025-03-24,0.7421383647798742,0.2809224318658281,0.0524109014675052,0.3752620545073375,0.0649895178197065,0.8092243186582809,0.6352201257861635,0.4947589098532495,0.0377358490566037,2.9387840670859537,1.4132176274784445,46.99047335927065,FALCPAT_6674|FALCPAT_6809|FALCPAT_6865|FALCPAT_7085|FALCPAT_7179|FALCPAT_7631|FALCPAT_7709|FALCPAT_7976|FALCPAT_8406|FALCPAT_8429|FALCPAT_8455|FALCPAT_8734|FALCPAT_8787|FALCPAT_8803|FALCPAT_8877|FALCPAT_9111|FALCPAT_9123,20,3.8710025195279187,3.044522437723423,0.7349056603773585,0.5680293501048218,0.24077568134171906,0.8526513936742979,0.9706498951781971,0.9832285115303984,0.8846960167714885,2.5087363867149888,2.81826224266796,1.200049003652556,0.0,-0.052789001393306306,0.0,1.9925960734684762,2.5087363867149888,3,normal,31994.537710491222,68044.7480481746,0.9853249475890986
FACT,2025-03-21,2025-03-24,0.8176100628930818,0.8553459119496856,0.0838574423480083,0.4633123689727463,0.0943396226415094,0.9685534591194968,0.8050314465408805,0.5786163522012578,0.0649895178197065,2.933752620545073,1.4038817554554657,48.73671926046811,FALCPAT_6205|FALCPAT_6424|FALCPAT_6645|FALCPAT_6809|FALCPAT_7179|FALCPAT_7620|FALCPAT_7942|FALCPAT_8171|FALCPAT_8211|FALCPAT_8225|FALCPAT_8364|FALCPAT_8429|FALCPAT_8622|FALCPAT_8734|FALCPAT_8854|FALCPAT_8877|FALCPAT_9427,18,3.906743478428902,2.9444389791664403,0.881132075471698,0.3827044025157233,0.4747379454926624,0.8701136534442145,0.9769392033542977,0.9727463312368972,0.8930817610062893,2.5381356815034075,2.7043346187008104,1.2246266128158967,0.0,-0.052789001393306306,0.0,1.9891846336206696,2.5381356815034075,4,normal,31994.537710491222,68044.7480481746,0.9853249475890986
KFINTECH,2025-03-21,2025-03-24,0.8930817610062893,0.981132075471698,0.9916142557651992,0.3018867924528302,0.9475890985324948,0.8155136268343816,0.9664570230607966,0.6813417190775681,0.9916142557651992,2.8129979035639407,1.179820826903969,124.83441588989626,FALCPAT_6205|FALCPAT_6245|FALCPAT_6424|FALCPAT_6439|FALCPAT_6645|FALCPAT_6675|FALCPAT_6721|FALCPAT_6793|FALCPAT_6824|FALCPAT_6865|FALCPAT_7514|FALCPAT_7554|FALCPAT_7787|FALCPAT_7800|FALCPAT_7942|FALCPAT_7963|FALCPAT_8039,42,4.834966883082477,3.7612001156935624,0.8838574423480083,0.27840670859538785,0.910377358490566,0.827742955141376,1.0,1.0,0.8679245283018868,3.0,3.0,1.1649911202401289,0.8,2.5,1.0,1.441247780060032,3.0,5,normal,31994.537710491222,68044.7480481746,0.9853249475890986
