rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
atrp>3.536 & rng_contract>1.153 & dh10<=-10.779 & dh20>-21.687,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh10"", ""<="", -10.779], [""dh20"", "">"", -21.687]]",2.42,1.75,0.184,696
dh5<=-7.145 & dh10>-14.066 & rng_contract<=1.367 & base_tight20>17.267,"[[""dh5"", ""<="", -7.145], [""dh10"", "">"", -14.066], [""rng_contract"", ""<="", 1.367], [""base_tight20"", "">"", 17.267]]",1.34,1.74,0.184,1915
base_tight20>18.272 & dh5<=-7.38 & dh10>-15.046 & v_ratio<=1.225,"[[""base_tight20"", "">"", 18.272], [""dh5"", ""<="", -7.38], [""dh10"", "">"", -15.046], [""v_ratio"", ""<="", 1.225]]",1.44,1.73,0.182,1720
base_tight20>18.272 & rng_contract>1.101 & dh10<=-11.328 & downstreak<=0.5,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", "">"", 1.101], [""dh10"", ""<="", -11.328], [""downstreak"", ""<="", 0.5]]",1.84,1.72,0.181,298
atrp>3.536 & dh10<=-12.317 & v_ratio>1.228 & rng_contract>1.38,"[[""atrp"", "">"", 3.536], [""dh10"", ""<="", -12.317], [""v_ratio"", "">"", 1.228], [""rng_contract"", "">"", 1.38]]",3.74,1.72,0.181,138
atrp>3.536 & dh10>-12.317 & rng_contract>1.153 & dh10<=-9.169,"[[""atrp"", "">"", 3.536], [""dh10"", "">"", -12.317], [""rng_contract"", "">"", 1.153], [""dh10"", ""<="", -9.169]]",2.14,1.71,0.181,565
atrp<=3.536 & dh40<=-18.748 & run20<=-14.91 & dh10<=-10.955,"[[""atrp"", ""<="", 3.536], [""dh40"", ""<="", -18.748], [""run20"", ""<="", -14.91], [""dh10"", ""<="", -10.955]]",2.31,1.71,0.18,50
dh10<=-10.568 & dh40>-22.406 & rng_contract<=1.376 & slope20<=0.484,"[[""dh10"", ""<="", -10.568], [""dh40"", "">"", -22.406], [""rng_contract"", ""<="", 1.376], [""slope20"", ""<="", 0.484]]",1.16,1.68,0.177,877
atrp>3.536 & rng_contract<=1.153 & atrp>4.158 & base_tight20>30.832,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""atrp"", "">"", 4.158], [""base_tight20"", "">"", 30.832]]",1.81,1.66,0.175,1501
base_tight20>18.272 & atr5v20>0.982 & dh20>-20.396 & dh10<=-11.328,"[[""base_tight20"", "">"", 18.272], [""atr5v20"", "">"", 0.982], [""dh20"", "">"", -20.396], [""dh10"", ""<="", -11.328]]",1.97,1.66,0.175,997
atrp<=3.536 & rng_contract<=1.369 & dh10<=-10.084 & run20>-19.917,"[[""atrp"", ""<="", 3.536], [""rng_contract"", ""<="", 1.369], [""dh10"", ""<="", -10.084], [""run20"", "">"", -19.917]]",0.96,1.65,0.174,201
