config_id,top_n,profile_weight,rule_weight,prior_weight,outcome_weight,cv_avg_sum5x,cv_median_sum5x,cv_worst_sum5x,cv_avg_win_pct,cv_avg_worst_month,cv_score
C0051,15,1.0,0.75,1.5,0.5,-58.36489102398835,-33.005295770215724,-265.3905509940063,45.97435945362149,-37.06237863259406,-156.50569937649456
C0050,15,1.0,0.75,1.5,0.0,-65.07667472096398,-35.062464271410924,-263.54268763013147,45.783134900667264,-38.8246397273315,-157.6771811063432
C0045,12,1.75,1.5,1.5,0.5,-64.67554880495224,-38.64463247662771,-258.72947869930255,44.13356405535643,-39.71591680260794,-159.18265901520772
C0058,15,1.0,1.5,3.0,0.0,-65.45790537460522,-35.847615965226055,-265.833195850362,44.822014685160056,-40.48030576934624,-159.79981095337504
C0018,10,1.75,1.5,0.0,0.0,-66.19018932531864,-48.359658649271225,-243.83651789367238,47.6790350166387,-40.23428265920911,-160.74211059277968
C0070,15,1.75,1.5,3.0,0.0,-64.29491385729268,-33.782164731480165,-272.6531872256993,46.446176542085986,-39.44244774161875,-160.81952303591262
C0010,10,1.0,1.5,3.0,0.0,-80.81613207732656,-29.230982147820285,-282.24611278080374,42.92899031813195,-48.279064913605836,-161.76824047459576
C0038,12,1.75,0.75,1.5,0.0,-69.6077886315116,-29.56438381230833,-284.37305172063543,45.43860878166201,-39.50015216352311,-162.66318791629365
C0053,15,1.0,0.75,3.0,0.5,-65.47343120816384,-37.310210710591086,-269.51479668747163,43.49062593215268,-39.66230315009855,-163.36948386789638
C0032,12,1.0,1.5,1.5,0.0,-68.8087311374079,-34.572609819252776,-275.7047839280915,44.058642095800494,-42.93876885533825,-163.61327336413842
C0059,15,1.0,1.5,3.0,0.5,-63.20529345313247,-30.599286233423307,-285.6179092360162,46.42002308293992,-37.047371229629135,-164.1242362348434
C0047,12,1.75,1.5,3.0,0.5,-68.14092054967291,-38.35925192480832,-269.72735057484465,44.29201845345666,-40.30932016285155,-164.3645235215393
C0029,12,1.0,0.75,3.0,0.5,-68.40825541402934,-34.3566854690872,-277.6130170065294,41.891299740356345,-42.966798900734055,-164.78493402428063
C0046,12,1.75,1.5,3.0,0.0,-77.32161672525947,-34.67166943686853,-278.02703698267584,43.460162063349024,-43.91254072194079,-164.99315551553664
C0025,12,1.0,0.75,0.0,0.5,-59.35703224130353,-40.58788065243925,-267.48552624107356,45.343714277988425,-35.7193547412659,-165.26190091737834
C0030,12,1.0,1.5,0.0,0.0,-57.3987717760405,-38.73232844120218,-271.7257188822153,46.28502469348993,-37.211165403258434,-165.33818294361186
C0000,10,1.0,0.75,0.0,0.0,-69.68183079674199,-50.80667977229636,-249.5090278790383,47.40068800451242,-42.73446289394866,-166.08105611091304
C0065,15,1.75,0.75,3.0,0.5,-60.09425269568253,-40.115523531976926,-270.19257829361936,45.62733270158664,-40.35466193669642,-166.08634613846928
C0044,12,1.75,1.5,1.5,0.0,-66.02379090326986,-37.70547226836274,-275.61062825848813,46.25109190287735,-41.65790419214346,-166.26056801703135
C0064,15,1.75,0.75,3.0,0.0,-60.365251395334305,-38.53486589860637,-274.5964994216912,45.13139522354905,-36.75407833614496,-166.80683656474216
C0026,12,1.0,0.75,1.5,0.0,-77.90235505114343,-33.03977271318942,-286.6947347895529,44.132128362610324,-44.311510067977,-167.5607144354438
C0062,15,1.75,0.75,1.5,0.0,-61.02350654351741,-42.311845963952294,-270.0565954690777,46.54087392166444,-39.08173592564489,-168.03196891415826
C0008,10,1.0,1.5,1.5,0.0,-68.02154471640193,-38.455296873825546,-277.5709707047798,44.42813296987877,-40.51374955512847,-168.3551556322397
C0021,10,1.75,1.5,1.5,0.5,-72.53350611258804,-37.75546277738505,-279.16001052854676,44.741746614013124,-40.81447269939038,-168.38711871885582
C0037,12,1.75,0.75,0.0,0.5,-57.80455300726126,-45.602778320418786,-264.2725367098482,46.696656759237925,-37.48496174825521,-168.39971532349531
C0039,12,1.75,0.75,1.5,0.5,-65.60569384315014,-38.74626479577198,-278.2951427357453,47.34205249561778,-39.48229478455128,-168.42542566452104
C0040,12,1.75,0.75,3.0,0.0,-70.72037895787335,-34.58607533511288,-286.69004659687084,42.92056658478915,-41.67227882907186,-169.34698531659046
C0006,10,1.0,1.5,0.0,0.0,-57.83024419264646,-48.182479496571396,-261.4693489265567,47.41209649024357,-37.63895938877411,-169.43473466180103
C0033,12,1.0,1.5,1.5,0.5,-61.82807047390366,-44.31900576398249,-268.1446422688717,44.54178295898693,-36.19431720610828,-169.48297030662093
C0052,15,1.0,0.75,3.0,0.0,-67.72727757970452,-38.52348716072157,-280.2323740072988,44.24900470882433,-40.80415422475868,-169.7898732226061
C0034,12,1.0,1.5,3.0,0.0,-72.72730973936811,-35.907238936783955,-285.3542303912037,42.393196076626566,-44.55843968233016,-170.1057149170605
C0019,10,1.75,1.5,0.0,0.5,-65.99747249072009,-41.94131200024573,-276.0644882636137,45.74795417810653,-38.42534080538239,-170.82396529643128
C0020,10,1.75,1.5,1.5,0.0,-72.38982075009793,-39.05881518395307,-282.59627234292196,45.47482452702748,-42.929795826713104,-171.26198645000855
C0003,10,1.0,0.75,1.5,0.5,-67.50011865997223,-49.11050246429406,-262.15248649027603,42.833753898945204,-41.880591045407165,-171.61999492964304
C0041,12,1.75,0.75,3.0,0.5,-67.0442971048493,-44.56258126663752,-271.74779504873754,43.12119464576912,-42.548255129541715,-171.81223986185248
C0028,12,1.0,0.75,3.0,0.0,-75.46477219912728,-38.12781465326697,-287.99811795927906,43.07734077697983,-43.59000280851113,-173.51140547751052
C0002,10,1.0,0.75,1.5,0.0,-79.08579413118618,-35.807566686887284,-294.9993292421202,43.11320686453476,-43.668453829105324,-174.68458993504046
C0023,10,1.75,1.5,3.0,0.5,-75.24462835850531,-39.04755135235919,-288.5533932136688,42.41344945123544,-44.64620538850873,-174.8415580689465
C0022,10,1.75,1.5,3.0,0.0,-79.86397509520108,-37.06646669971771,-296.1182687014234,41.932717920759245,-45.57446501120879,-176.73905746627756
C0014,10,1.75,0.75,1.5,0.0,-78.29592732118593,-32.274234413963065,-315.3924539000389,44.173235660996035,-43.57558387121834,-181.1358142317833
C0015,10,1.75,0.75,1.5,0.5,-70.49097624742399,-51.17518992893655,-281.3888925236155,44.990501164227574,-42.305060687317464,-182.8715359578988
C0017,10,1.75,0.75,3.0,0.5,-79.70310368606668,-50.4778040558125,-281.91564575395404,40.42861530390638,-47.56713304166047,-183.34990387200824
C0005,10,1.0,0.75,3.0,0.5,-71.6766391266018,-47.449275940120444,-295.8870273699537,42.37553006005835,-45.007541333150925,-186.91768361308561
C0013,10,1.75,0.75,0.0,0.5,-65.60397186062099,-51.111737555252006,-290.3190085699327,46.593775942426994,-40.350258902982596,-186.95248665173295
C0016,10,1.75,0.75,3.0,0.0,-82.5015098793157,-39.95222980923977,-312.2336185577491,43.278958796526254,-47.0574257683608,-187.41324732880906
C0007,10,1.0,1.5,0.0,0.5,-61.475590320148754,-46.24804920964853,-306.02324507628623,44.186676217039064,-37.88404610931212,-190.42233650438382
C0001,10,1.0,0.75,0.0,0.5,-70.23821369198029,-42.80244207536396,-313.3096009954854,44.35712571793771,-41.21207099162871,-190.58581742951912
C0009,10,1.0,1.5,1.5,0.5,-71.3521129253418,-54.031958049699426,-293.96411340105533,41.82915680854095,-40.61077875704531,-192.6481833885189
C0004,10,1.0,0.75,3.0,0.0,-84.0057905476404,-46.29942085990504,-310.9169849385609,41.47471616328742,-47.96178752041385,-193.462970096528
C0011,10,1.0,1.5,3.0,0.5,-73.97527191900897,-53.090573497324876,-300.0830213143445,41.5064390982747,-43.482630857555364,-194.83079633484218
