symbol,train_selected_n,train_avg_rank,train_avg_stock_ret,symbol_prior
ASTERDM,7,2.2857142857142856,0.09571428571428571,1.2444318181818181
DMART,4,3.0,1.525,1.2391098484848486
FORCEMOT,5,2.2,0.702,1.2350227272727272
GALLANTT,5,8.0,3.752,1.2296060606060606
EMAMILTD,1,2.0,1.99,1.2275378787878788
CHAMBLFERT,2,5.5,3.315,1.205284090909091
PNBHOUSING,6,6.333333333333333,2.28,1.2021717171717172
JMFINANCIL,7,7.0,2.224285714285714,1.1962175324675326
IRFC,2,9.0,5.095000000000001,1.1944507575757577
SARDAEN,6,5.833333333333333,1.9500000000000002,1.1942550505050504
BSE,9,6.222222222222222,1.0377777777777777,1.1906649831649834
GICRE,7,10.714285714285714,4.092857142857143,1.1821699134199135
MAPMYINDIA,2,2.5,1.5300000000000002,1.1821590909090909
LEMONTREE,1,14.0,10.73,1.1787878787878787
CUB,9,5.111111111111111,0.3422222222222222,1.1777946127946128
KFINTECH,13,8.846153846153847,0.8376923076923077,1.1725437062937063
JSWDULUX,6,6.5,2.13,1.172310606060606
NATCOPHARM,2,4.5,2.5149999999999997,1.1719507575757575
ANANTRAJ,6,8.333333333333334,3.0966666666666662,1.170921717171717
GMRAIRPORT,2,11.5,6.234999999999999,1.1702840909090908
KPITTECH,4,7.25,3.2325,1.1692140151515151
ERIS,10,8.6,1.7029999999999998,1.160753787878788
LODHA,1,4.0,2.44,1.1504545454545454
IRCON,4,6.25,2.485,1.1424431818181817
SWANCORP,7,7.142857142857143,1.8657142857142859,1.1418722943722945
ETERNAL,2,3.5,1.7349999999999999,1.1411174242424242
PAYTM,11,7.818181818181818,0.7436363636363637,1.138409090909091
JKTYRE,4,6.5,2.5475000000000003,1.1335890151515153
CARTRADE,10,9.3,1.855,1.1330871212121212
NETWEB,10,9.4,1.8960000000000001,1.1315454545454546
EXIDEIND,1,5.0,2.81,1.1300378787878786
ZENSARTECH,8,6.5,1.06375,1.129938446969697
FINCABLES,2,3.5,1.56,1.1192424242424244
DATAPATTNS,9,8.777777777777779,1.8133333333333335,1.1172390572390571
IIFL,4,9.5,3.9475,1.1085890151515152
PATANJALI,4,1.0,-0.5875,1.1083806818181818
LATENTVIEW,6,5.0,0.8033333333333333,1.1064772727272725
POWERINDIA,12,9.083333333333334,0.7891666666666666,1.1052114898989898
MAZDOCK,7,8.428571428571429,2.2357142857142858,1.1024080086580086
DOMS,3,8.333333333333334,3.5833333333333335,1.095391414141414
CHOLAHLDNG,8,6.875,0.9837499999999999,1.094938446969697
FSL,2,2.5,0.81,1.092159090909091
INDIANB,2,3.0,1.0350000000000001,1.0869507575757575
INDIACEM,7,9.142857142857142,2.487142857142857,1.0862175324675325
IDBI,5,5.0,1.004,1.0861060606060606
RECLTD,3,6.0,2.263333333333333,1.0859469696969697
HFCL,2,1.0,-0.044999999999999984,1.0852840909090908
ZEEL,4,6.5,2.1375,1.0823390151515153
EICHERMOT,4,7.75,2.8025,1.082130681818182
INOXWIND,6,3.3333333333333335,-0.30333333333333334,1.0792550505050504
SPLPETRO,7,8.428571428571429,2.0500000000000003,1.079193722943723
NEWGEN,5,8.8,2.958,1.0770227272727273
DEEPAKFERT,8,7.875,1.3625,1.0756155303030304
JUBLPHARMA,4,10.25,4.0600000000000005,1.0726515151515152
KAJARIACER,3,10.333333333333334,4.390000000000001,1.062891414141414
CLEAN,4,8.25,2.9074999999999998,1.0619223484848486
CRISIL,7,7.285714285714286,1.2971428571428572,1.0612770562770564
TEGA,2,9.5,4.285,1.0598674242424244
MMTC,5,4.8,0.642,1.0541893939393938
SYRMA,8,10.25,2.4375,1.051657196969697
ADANIENT,4,7.0,2.1100000000000003,1.0455681818181817
DEEPAKNTR,3,5.666666666666667,1.7299999999999998,1.0415025252525252
BHEL,3,2.6666666666666665,0.1166666666666667,1.0398358585858587
NBCC,8,9.5,1.93625,1.039000946969697
ECLERX,3,10.333333333333334,4.196666666666666,1.0387247474747472
UNIONBANK,1,14.0,6.87,1.0375378787878788
KPRMILL,10,8.5,0.661,1.0371704545454545
TIMKEN,6,4.666666666666667,0.03833333333333333,1.0330744949494948
NAVA,9,8.88888888888889,1.1933333333333334,1.03233164983165
BLS,5,7.4,1.846,1.0313560606060608
IGL,5,9.0,2.57,1.015189393939394
GABRIEL,2,13.0,5.755,1.0102840909090909
SOLARINDS,4,7.25,1.9249999999999998,1.0057765151515152
NAVINFLUOR,2,12.0,5.175,1.0044507575757575
CAMS,1,6.0,2.31,1.000871212121212
ABB,3,6.666666666666667,1.9066666666666665,0.9969191919191918
SCI,7,9.142857142857142,1.7542857142857144,0.9946103896103897
TATACONSUM,3,7.666666666666667,2.393333333333333,0.9910858585858584
REDINGTON,6,10.5,2.7833333333333337,0.987310606060606
ADANIGREEN,6,8.166666666666666,1.5383333333333333,0.9872411616161616
LLOYDSME,5,6.4,0.9560000000000001,0.9867727272727274
JBCHEPHARM,7,4.714285714285714,-0.7142857142857143,0.9812770562770562
LTFOODS,9,8.222222222222221,0.4200000000000001,0.9801094276094278
HSCL,11,8.818181818181818,-0.014545454545454554,0.9769696969696969
LAURUSLABS,5,7.0,1.182,0.9750227272727272
ADANIENSOL,8,10.375,1.88375,0.9741051136363637
ABBOTINDIA,2,8.5,3.065,0.974034090909091
SAMMAANCAP,4,8.5,2.2825,0.967130681818182
KIMS,2,8.0,2.7249999999999996,0.9648674242424242
UNOMINDA,3,9.0,2.893333333333333,0.9646969696969696
AMBER,6,7.333333333333333,0.8533333333333334,0.9571717171717172
TECHNOE,11,9.454545454545455,0.1500000000000001,0.9551136363636363
MPHASIS,5,8.2,1.614,0.9490227272727273
TATACOMM,3,9.333333333333334,2.9433333333333334,0.9487247474747474
NIACL,3,9.666666666666666,3.0700000000000003,0.9423358585858587
POLYMED,9,6.888888888888889,-0.6022222222222222,0.9412205387205388
ACUTAAS,5,10.0,2.5040000000000004,0.9402727272727274
SONACOMS,4,9.25,2.41,0.9330681818181819
OLECTRA,2,9.0,2.995,0.9319507575757576
POLICYBZR,10,10.9,1.065,0.9276704545454544
LINDEINDIA,4,8.25,1.7725,0.9200473484848485
CEATLTD,8,7.0,-0.35125,0.9197301136363636
VOLTAS,4,6.0,0.5675,0.9194223484848484
MAXHEALTH,6,10.0,1.9616666666666667,0.9179356060606061
AUBANK,4,8.0,1.6199999999999999,0.9176515151515151
MRPL,7,9.0,1.0242857142857145,0.9128841991341992
TATAELXSI,2,8.0,2.285,0.9098674242424243
RITES,4,12.5,3.9575,0.9098390151515152
ATUL,6,8.166666666666666,0.915,0.909324494949495
DIXON,3,8.666666666666666,2.25,0.9065025252525253
BALRAMCHIN,3,8.666666666666666,2.25,0.9065025252525253
MFSL,4,6.75,0.8325,0.9025473484848485
WOCKPHARMA,5,7.6,0.892,0.8987727272727274
ZYDUSWELL,1,12.0,4.67,0.8958712121212121
GMDCLTD,6,9.166666666666666,1.3250000000000002,0.8939078282828283
HBLENGINE,4,10.5,2.7399999999999998,0.8909848484848484
ELECON,7,10.428571428571429,1.6071428571428572,0.8905032467532468
MEDANTA,8,11.25,1.6675000000000002,0.8887405303030304
KALYANKJIL,8,11.5,1.77,0.8848863636363635
GVT&D,4,10.25,2.4875,0.8760890151515152
CESC,2,11.0,3.58,0.8717424242424242
OIL,6,9.333333333333334,1.2333333333333332,0.8713383838383838
BANDHANBNK,3,6.666666666666667,0.87,0.8673358585858585
HUDCO,8,11.125,1.39875,0.8634801136363637
BIKAJI,2,14.0,5.1049999999999995,0.8623674242424242
IREDA,3,7.333333333333333,1.1533333333333333,0.8583080808080809
AAVAS,1,6.0,1.16,0.8571212121212121
ENGINERSIN,4,5.0,-0.4775,0.855464015151515
ULTRACEMCO,4,9.0,1.5925,0.8475473484848485
HOMEFIRST,5,7.2,0.266,0.847189393939394
GRAPHITE,3,9.0,1.9233333333333331,0.8434469696969696
CHALET,3,8.666666666666666,1.7433333333333334,0.8431691919191919
CASTROLIND,4,9.0,1.5275,0.8394223484848484
VBL,4,9.75,1.9075000000000002,0.8369223484848485
KEC,2,8.5,1.9650000000000003,0.836534090909091
WHIRLPOOL,4,10.75,2.4375,0.8365056818181817
COROMANDEL,2,7.0,1.1500000000000001,0.834659090909091
PHOENIXLTD,4,6.5,0.11999999999999997,0.8301515151515152
AARTIIND,3,7.0,0.7266666666666666,0.8271969696969697
GRANULES,5,9.0,1.016,0.820939393939394
BAJAJHLDNG,4,8.0,0.8450000000000001,0.8207765151515151
