rule_id,feature,direction,threshold,selected_n,fired_n,precision,lift,rank_mean,outcome_mean_5x,score
R0154,dist_high_252__pct,lo,0.05,128,3721,0.03439935501209352,1.8588596411552476,7.328125,-0.07161194301704324,1.9382155663995464
R0149,dist_high_120__pct,lo,0.05,155,3765,0.041168658698539175,2.2246567736024545,7.754838709677419,-0.2167755554585658,1.8052330920372042
R0070,ret60_pct__pct,lo,0.1,238,7582,0.03139013452914798,1.6962484961172484,7.542016806722689,-0.06263581185403183,1.7631307596552208
R0039,ret3_pct__pct,hi,0.8,604,15592,0.03873781426372499,2.0932996998371363,8.22019867549669,-0.6350666277723171,1.70252062361602
R0150,dist_high_120__pct,lo,0.1,264,7622,0.03463657832589871,1.8716786269710732,7.212121212121212,-0.18434653940755083,1.686452812989011
R0030,lower_wick_pct__pct,hi,0.9,299,7832,0.038176710929519915,2.062979005100134,7.969899665551839,-0.6414608178478365,1.5214533287565348
R0031,lower_wick_pct__pct,hi,0.95,163,3936,0.04141260162601626,2.2378388714200734,8.417177914110429,-0.8859514009459809,1.4959042846273065
R0051,ret10_pct__pct,hi,0.9,295,7822,0.03771413960623882,2.037982746777828,8.091525423728813,-0.738969957739487,1.4597301575187411
R0115,dist_sma_100__pct,lo,0.05,140,3772,0.03711558854718982,2.0056384657165767,7.885714285714286,-0.21364215671535666,1.4454652355939495
R0195,rs_sector_5d__pct,hi,0.8,562,15586,0.03605800076992172,1.9484889280158957,8.318505338078293,-0.7333390019440906,1.4419715234743473
R0181,range_compress_7__pct,lo,0.2,529,14918,0.03546051749564285,1.9162023475136791,8.062381852551985,-0.4997512184504219,1.42560233101501
R0188,up_day_streak__pct,hi,0.95,128,3109,0.04117079446767449,2.224772185506168,8.359375,-0.8115516883636801,1.4211951836738157
R0004,open_gap_pct__pct,lo,0.05,124,3773,0.032865094089583886,1.7759518160855003,8.35483870967742,-0.10546099719116542,1.412592330203199
R0155,dist_high_252__pct,lo,0.1,225,7534,0.029864613750995486,1.613812967740205,7.475555555555555,-0.10381026929707489,1.4046157192168252
R0105,dist_sma_20__pct,hi,0.9,293,7825,0.03744408945686901,2.023389876545959,8.276450511945393,-0.7727922656080217,1.4038801435510142
R0208,rs_market_5d__pct,hi,0.8,554,15586,0.03554471962017195,1.9207524308199402,8.303249097472925,-0.7747418898358599,1.3994148911489392
R0044,ret5_pct__pct,hi,0.8,554,15586,0.03554471962017195,1.9207524308199402,8.303249097472925,-0.7747418898358599,1.3994148911489392
R0114,dist_sma_50__pct,hi,0.95,156,3936,0.039634146341463415,2.1417353616044874,8.275641025641026,-0.7821426974280924,1.3934972020595513
R0122,dist_sma_100__pct,hi,0.95,154,3936,0.0391260162601626,2.114277215942891,8.168831168831169,-0.8729302710923164,1.3752936444612942
R0035,ret2_pct__pct,hi,0.8,538,15595,0.03449823661429945,1.8642029686545205,7.9981412639405205,-0.7362307394792705,1.3592134461165175
R0143,dist_high_60__pct,lo,0.05,146,3772,0.03870625662778367,2.091594399961573,8.102739726027398,-0.4087621739458714,1.3443921424819707
R0166,atr_20_pct__pct,hi,0.95,152,3937,0.03860807721615443,2.0862890171773376,8.151315789473685,-1.3259131295982143,1.3402877862791918
R0168,ret_std_20d__pct,hi,0.8,527,15571,0.033844968210134226,1.8289018919070723,7.869070208728653,-0.6553659846861675,1.3203780731100987
R0165,atr_20_pct__pct,hi,0.9,274,7823,0.03502492649878563,1.892664042105807,7.7226277372262775,-0.8551208432992479,1.2969322073229952
R0180,range_compress_7__pct,lo,0.1,255,7213,0.035352835158741165,1.9103834491633624,7.87843137254902,-1.0178205322358311,1.281237796298219
R0190,down_day_streak__pct,lo,0.1,63,1509,0.041749502982107355,2.2560442224700576,8.158730158730158,-1.0071722434495822,1.2800238531639352
R0128,dist_sma_200__pct,hi,0.95,146,3904,0.03739754098360656,2.0208745073399212,7.97945205479452,-0.9080538129777094,1.2769227168844632
R0029,lower_wick_pct__pct,hi,0.8,524,15597,0.03359620439828172,1.8154592849201099,8.05916030534351,-0.48968833581833787,1.2674439421959047
R0164,atr_20_pct__pct,hi,0.8,514,15571,0.033010082846316874,1.7837866649719831,7.714007782101167,-0.6328536623131175,1.2672634692852633
R0182,range_compress_7__pct,lo,0.3,751,23151,0.03243920349013001,1.7529376971697854,8.029294274300932,-0.42736780509553834,1.2420620801677285
R0205,rs_sector_20d__pct,hi,0.95,144,3936,0.036585365853658534,1.9769864876349112,7.847222222222222,-0.9432540711350311,1.2387640409267593
R0179,range_compress_7__pct,lo,0.05,74,1840,0.04021739130434782,2.173252537494319,8.18918918918919,-1.849527695170181,1.2364278908019615
R0076,ret60_pct__pct,hi,0.95,146,3909,0.03734970580711179,2.0182896077398444,8.294520547945206,-1.0741877346902615,1.2236555749996656
R0169,ret_std_20d__pct,hi,0.9,273,7822,0.03490155970340066,1.885997592780837,8.223443223443223,-0.9874411458839738,1.208578501975607
R0163,atr_20_pct__pct,hi,0.7,743,23322,0.03185833118943487,1.7215487343230227,7.912516823687753,-0.5080815239346651,1.205770408328315
R0167,ret_std_20d__pct,hi,0.7,742,23322,0.031815453220135494,1.7192317104544856,7.890835579514825,-0.5873148751003243,1.2048754177485879
R0174,turn_pct_252__pct,hi,0.95,139,3920,0.03545918367346939,1.9161302709237007,7.510791366906475,-0.682533049802884,1.2010076640042886
R0026,upper_wick_pct__pct,hi,0.9,263,7833,0.03357589684667433,1.8143619129467,7.562737642585551,-1.1474266746787383,1.197258227527825
R0116,dist_sma_100__pct,lo,0.1,218,7637,0.028545240277595915,1.5425171512793714,7.68348623853211,-0.11117306283543336,1.1817758334552615
R0060,ret20_pct__pct,hi,0.95,139,3936,0.035315040650406505,1.9083411234809216,7.575539568345324,-0.742860531126663,1.1817140787146758
R0218,rs_market_20d__pct,hi,0.95,139,3936,0.035315040650406505,1.9083411234809216,7.575539568345324,-0.742860531126663,1.1817140787146758
R0144,dist_high_60__pct,lo,0.1,240,7649,0.031376650542554584,1.6955198534298626,7.420833333333333,-0.21475685253566493,1.1669182237923181
R0173,turn_pct_252__pct,hi,0.9,260,7755,0.03352675693101225,1.8117065083333896,7.8,-0.6037074893742942,1.1574190915343099
R0027,upper_wick_pct__pct,hi,0.95,137,3936,0.03480691056910569,1.8808829778193252,7.481751824817518,-1.4430705569758684,1.1553762909962348
R0187,up_day_streak__pct,hi,0.9,224,6586,0.03401153962951716,1.8379030167465358,8.303571428571429,-1.0654784519745257,1.0914899102957418
R0068,ret40_pct__pct,hi,0.95,139,3929,0.035377958768134384,1.91174106948865,8.611510791366907,-0.7232931604255088,1.0402758099821576
R0028,lower_wick_pct__pct,hi,0.7,705,23366,0.030172044851493624,1.6304258160029421,8.02127659574468,-0.38698813158243844,1.031088128846911
R0038,ret3_pct__pct,hi,0.7,709,23356,0.0303562253810584,1.640378495434699,8.201692524682652,-0.5717630027566636,1.0245646663713495
R0172,turn_pct_252__pct,hi,0.8,466,15391,0.03027743486453122,1.6361208426029332,7.824034334763948,-0.6966634142841244,0.9989517863074004
R0025,upper_wick_pct__pct,hi,0.8,469,15597,0.030069885234339937,1.6249053523426176,7.6950959488272925,-0.7539526495947724,0.9978538401258245
R0062,ret40_pct__pct,lo,0.1,219,7622,0.028732616111256888,1.5526424973737312,7.853881278538813,-0.1907105178947827,0.9387525532786287
R0151,dist_high_120__pct,lo,0.2,416,15308,0.02717533315913248,1.4684906163705709,7.2235576923076925,-0.20182982546037415,0.9245558344235436
R0113,dist_sma_50__pct,hi,0.9,247,7817,0.03159779966739158,1.7074702281590335,8.643724696356275,-0.7333200186091917,0.8966809237296357
R0170,ret_std_20d__pct,hi,0.95,127,3936,0.032266260162601625,1.7435922495113454,8.070866141732283,-1.039216520855305,0.8939930175530587
R0194,rs_sector_5d__pct,hi,0.7,675,23346,0.028912875867386275,1.562383307498677,8.2,-0.684276041871953,0.8932458147612239
R0050,ret10_pct__pct,hi,0.8,461,15571,0.029606319439984586,1.5998553551596968,8.234273318872017,-0.5427328268221444,0.8931681274068484
R0043,ret5_pct__pct,hi,0.7,676,23346,0.02895570975756018,1.564697949435712,8.264792899408285,-0.7079376981124272,0.8896734507957814
R0207,rs_market_5d__pct,hi,0.7,676,23346,0.02895570975756018,1.564697949435712,8.264792899408285,-0.7079376981124272,0.8896734507957814
R0099,vol_ratio_60d__pct,hi,0.9,233,7802,0.029864137400666495,1.6137872268970612,7.652360515021459,-0.7899337250497813,0.8734778011533277
R0067,ret40_pct__pct,hi,0.9,242,7787,0.03107743675356363,1.6793510492113857,8.586776859504132,-0.7031990597387996,0.8645016007902018
R0127,dist_sma_200__pct,hi,0.9,238,7736,0.03076525336091003,1.6624813983403537,8.378151260504202,-0.8821767812204449,0.864140256114001
R0034,ret2_pct__pct,hi,0.7,665,23360,0.028467465753424657,1.5383144002672904,8.124812030075187,-0.7264598281875339,0.8612841691844515
R0071,ret60_pct__pct,lo,0.2,397,15229,0.026068684746207892,1.4086899581602403,7.46095717884131,-0.1741021118280623,0.8510679238647043
R0104,dist_sma_20__pct,hi,0.8,454,15572,0.0291548933984074,1.5754613614537307,8.370044052863436,-0.6458035224273139,0.8397707591940964
R0136,dist_high_20__pct,lo,0.05,115,3772,0.03048780487804878,1.6474887396957594,7.408695652173913,-0.6213130465727972,0.8263481979367252
R0191,down_day_streak__pct,lo,0.2,184,6067,0.030328003955826605,1.6388534764812672,8.11413043478261,-0.9077054204681854,0.8218659341172005
R0100,vol_ratio_60d__pct,hi,0.95,119,3935,0.030241423125794156,1.6341748535655625,7.420168067226891,-0.503017945118601,0.8140402098998348
R0204,rs_sector_20d__pct,hi,0.9,230,7813,0.029438115960578524,1.5907660376634851,7.934782608695652,-0.5652490386970037,0.8103515948528077
R0176,vol_dry_count_7__pct,lo,0.1,205,7269,0.02820195350116935,1.5239667472436769,7.034146341463415,-0.7846213819348532,0.7821670488602681
