pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,selected_n_dec,winner_n_dec,manual_precision_dec,winner_precision_dec,rank_quality_dec,weight,rule,parsed_conditions,fire_col
8854,FALCPAT_8854,pullback_reversal,hit_15pc_20d,capitulation,PROMOTED,17,288,32,17,0.1111111111111111,0.059027777777777776,0.5458333333333333,50.29441996684675,volatility (20d ATR%) >= 2.5103 AND distance from 120-day high <= -16.1544 AND close position in weekly range >= 0.7072 AND weekly range % >= 6.7405,atr_20_pct>=2.5103 AND dist_high_120<=-16.1544 AND weekly_close_loc>=0.7072 AND weekly_range_pct>=6.7405,pat_8854
7819,FALCPAT_7819,fresh_breakout,hit_40pc_40d,breakout,PROMOTED,17,304,31,17,0.10197368421052631,0.05592105263157895,0.4881720430107527,39.10949228945936,volatility (20d ATR%) >= 3.3686 AND distance from 200-DMA >= 11.3274 AND close position in weekly range >= 0.6303 AND weekly range % >= 7.7431,atr_20_pct>=3.3686 AND dist_sma_200>=11.3274 AND weekly_close_loc>=0.6303 AND weekly_range_pct>=7.7431,pat_7819
6912,FALCPAT_6912,pullback_reversal,hit_25pc_30d,capitulation,PROMOTED,17,360,26,17,0.07222222222222222,0.04722222222222222,0.6076923076923076,29.117013818974492,distance from year-high <= -21.4232 AND distance from 200-DMA >= 4.2399,dist_high_252<=-21.4232 AND dist_sma_200>=4.2399,pat_6912
7752,FALCPAT_7752,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,17,372,25,17,0.06720430107526881,0.0456989247311828,0.528,22.78152532102748,volatility (20d ATR%) >= 3.5078 AND distance from 60-day high >= -6.8519 AND close position in weekly range >= 0.6063 AND weekly range % <= 10.9288,atr_20_pct>=3.5078 AND dist_high_60>=-6.8519 AND weekly_close_loc>=0.6063 AND weekly_range_pct<=10.9288,pat_7752
6201,FALCPAT_6201,other,hit_10pc_20d,other,PROMOTED,17,430,29,17,0.06744186046511629,0.03953488372093023,0.5724137931034483,21.442031220977803,volatility (20d ATR%) >= 3.7864 AND distance from 200-DMA >= -1.4701 AND 20d relative strength vs market <= 4.6032 AND close position in weekly range >= 0.4408,atr_20_pct>=3.7864 AND dist_sma_200>=-1.4701 AND rs_market_20d<=4.6032 AND weekly_close_loc>=0.4408,pat_6201
6228,FALCPAT_6228,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,17,572,30,17,0.05244755244755245,0.02972027972027972,0.4444444444444444,9.732881284929425,distance from 200-DMA >= 22.6967 AND 60d relative strength vs market >= -4.0304 AND close position in weekly range >= 0.7031,dist_sma_200>=22.6967 AND rs_market_60d>=-4.0304 AND weekly_close_loc>=0.7031,pat_6228
8942,FALCPAT_8942,other,hit_10pc_20d,other,PROMOTED,17,701,31,17,0.0442225392296719,0.024251069900142655,0.5978494623655914,9.007665454804544,volatility (20d ATR%) >= 3.9309 AND distance from 20-day high >= -12.7454 AND distance from 200-DMA <= 26.2528 AND close position in weekly range >= 0.2191,atr_20_pct>=3.9309 AND dist_high_20>=-12.7454 AND dist_sma_200<=26.2528 AND weekly_close_loc>=0.2191,pat_8942
7324,FALCPAT_7324,other,hit_10pc_20d,other,PROMOTED,17,829,31,17,0.03739445114595899,0.020506634499396863,0.38064516129032255,4.100791544509988,distance from 200-DMA <= 64.0406 AND distance from 200-DMA >= 24.1184 AND 20d relative strength vs sector >= -5.3079 AND close position in weekly range >= 0.4147,dist_sma_200<=64.0406 AND dist_sma_200>=24.1184 AND rs_sector_20d>=-5.3079 AND weekly_close_loc>=0.4147,pat_7324
6431,FALCPAT_6431,other,hit_15pc_20d,other,PROMOTED,17,953,22,17,0.023084994753410283,0.017838405036726127,0.6787878787878788,3.927043438203929,volatility (20d ATR%) >= 2.6908 AND distance from 60-day high <= -15.9195 AND 60d relative strength vs market <= -12.3114 AND close position in weekly range <= 0.7316,atr_20_pct>=2.6908 AND dist_high_60<=-15.9195 AND rs_market_60d<=-12.3114 AND weekly_close_loc<=0.7316,pat_6431
8568,FALCPAT_8568,other,hit_10pc_20d,other,PROMOTED,16,134,27,16,0.20149253731343283,0.11940298507462686,0.5703703703703703,188.97419591467155,volatility (20d ATR%) <= 4.0236 AND close position in weekly range >= 0.4465 AND weekly range % >= 11.0237,atr_20_pct<=4.0236 AND weekly_close_loc>=0.4465 AND weekly_range_pct>=11.0237,pat_8568
