variant,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,weights,avg_score,avg_patterns
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-19,2025-08-20,1.2763207126258953,10,"ATHERENERG,HYUNDAI,AJANTPHARM,JPPOWER,LALPATHLAB,INDIAMART,GRSE,BELRISE,MANKIND,CPPLUS","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","4.4962,3.9976,0.6850,1.9746,-1.8153,-0.6316,1.7402,4.8960,-0.4644,-8.8058","0.15130,0.15130,0.15130,0.10818,0.09471,0.08072,0.07625,0.06583,0.06021,0.06021",8.231508182086717,4.5
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-20,2025-08-21,1.5042275541249464,10,"OLAELEC,CARBORUNIV,SUNDARMFIN,FACT,HEXT,CREDITACC,PGEL,CUB,SJVN,BHARTIARTL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","9.6228,4.4725,-1.2865,0.6572,0.0218,-2.0671,-3.7814,-1.5121,0.0580,-0.1085","0.15087,0.15087,0.11434,0.11234,0.11234,0.09801,0.06531,0.06531,0.06531,0.06531",47.80192128775336,10.6
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-21,2025-08-22,0.2965083754124617,10,"IDBI,LEMONTREE,CPPLUS,JWL,NIACL,OLAELEC,BAJAJFINSV,NIVABUPA,SBILIFE,RAILTEL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.6406,-1.2028,-3.7458,1.1476,1.2075,4.0001,0.2748,0.3317,0.0635,1.4343","0.15344,0.15344,0.15344,0.09698,0.08291,0.07196,0.07196,0.07196,0.07196,0.07196",64.11560251929436,13.7
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-25,2025-08-26,2.0277522910674683,10,"PTCIL,AEGISVOPAK,ZENTEC,IKS,MPHASIS,OLECTRA,SONATSOFTW,YESBANK,BRIGADE,FACT","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.6008,1.0992,1.7654,2.3272,0.9053,1.1338,4.2714,2.5684,2.7550,3.5964","0.15135,0.15135,0.14567,0.09872,0.08003,0.07854,0.07359,0.07359,0.07359,0.07359",37.31287016764686,8.5
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-08-26,2025-08-28,0.56855291646144,10,"CRAFTSMAN,IPCALAB,WAAREEENER,GODIGIT,AEGISVOPAK,AIIL,ZENTEC,HEXT,BLS,SWANCORP","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.4727,0.9700,-2.8761,2.2038,1.2229,-2.1818,3.1903,2.2572,0.1769,-2.7653","0.15055,0.15055,0.15055,0.13533,0.12361,0.06701,0.06198,0.05348,0.05348,0.05348",67.67505451624803,12.9
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-01,2025-09-02,0.6969572639930968,10,"ZYDUSWELL,CRAFTSMAN,GPIL,RITES,OLAELEC,CHOLAHLDNG,HINDZINC,ABFRL,AAVAS,ABCAPITAL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.7141,3.3681,-0.0664,-2.0841,2.9990,0.6189,-0.5171,0.6281,0.5651,2.5311","0.15134,0.15134,0.15134,0.10009,0.08302,0.07697,0.07697,0.07207,0.06842,0.06842",6.348735909857821,3.3
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-02,2025-09-03,0.7681905294505615,10,"GABRIEL,ATHERENERG,NAVA,BALRAMCHIN,PHOENIXLTD,GALLANTT,SAREGAMA,PREMIERENE,COALINDIA,PGEL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","3.0903,0.3236,0.4993,2.1979,2.7850,-3.3744,-0.0315,0.2847,-2.3341,1.3180","0.15208,0.15208,0.15208,0.12200,0.07029,0.07029,0.07029,0.07029,0.07029,0.07029",24.05583985666916,6.0
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-04,2025-09-05,0.34040495406789195,10,"M&M,BRITANNIA,DABUR,GICRE,ITC,CARTRADE,GABRIEL,JKTYRE,OLAELEC,TBOTEK","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-1.5143,-0.3167,1.1354,-0.0790,2.0752,-2.4283,2.1655,-0.7679,5.9783,-2.2531","0.12945,0.11230,0.10785,0.10785,0.10785,0.08694,0.08694,0.08694,0.08694,0.08694",4.69829268533259,4.3
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-08,2025-09-09,-0.517817574182563,10,"NETWEB,MSUMI,ACMESOLAR,FIRSTCRY,TBOTEK,JUBLPHARMA,LLOYDSME,TATASTEEL,GMDCLTD,SAREGAMA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.5188,-3.2222,0.5921,-1.3544,-2.7309,-1.0859,-1.3631,-0.1398,2.5123,1.1435","0.15083,0.15083,0.14426,0.10352,0.09703,0.08091,0.06816,0.06816,0.06816,0.06816",20.86657803816003,7.0
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-09,2025-09-10,1.6451395464706986,10,"ATHERENERG,MSUMI,APTUS,FORCEMOT,RAMCOCEM,EIHOTEL,RAILTEL,GMRAIRPORT,ZENSARTECH,AFFLE","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","6.7262,1.3477,2.6439,0.0885,1.2865,1.5758,0.6281,-0.0239,-5.6014,2.2299","0.15179,0.15179,0.15179,0.13301,0.06860,0.06860,0.06860,0.06860,0.06860,0.06860",25.42484283234514,6.3
