tag,baskets,avg_positions,win_pct,avg_basket_pct,total_ret_pct,end_equity,max_dd_pct,negative_months,min_month_pct,pattern_mode,basket_n,min_n,regime_name,regime_threshold,min_patterns,sizing,blacklist_name
short0915_top10_breadth_pos_le85_mp1_equal_blmedium,201,10.0,60.19900497512438,0.424192063734687,127.18053713385133,2271805.371338513,12.576664979050452,3,-4.621107912019218,short_0915,10,10,breadth_pos_le,85.0,1,equal,medium
short0915_top10_breadth_pos_le85_mp1_score_sqrt_cap15_blnone,209,10.0,58.3732057416268,0.37819411970036143,113.4342693064415,2134342.693064415,11.432507284094221,5,-4.850146619776064,short_0915,10,10,breadth_pos_le,85.0,1,score_sqrt_cap15,none
short0915_top10_breadth_pos_le85_mp1_score_sqrt_cap15_blstrict,207,10.0,58.93719806763285,0.4157371109623741,128.57447263602612,2285744.726360261,11.361504519035194,4,-5.385113829416599,short_0915,10,10,breadth_pos_le,85.0,1,score_sqrt_cap15,strict
short0915_top10_breadth_pos_le85_mp1_score_sqrt_cap15_blmedium,201,10.0,60.69651741293532,0.47269151143169746,150.03973152234113,2500397.315223411,11.30324477962074,4,-4.6400511292785,short_0915,10,10,breadth_pos_le,85.0,1,score_sqrt_cap15,medium
short0915_top10_breadth_pos_le85_mp2_equal_blnone,133,10.0,56.390977443609025,0.2924616110308642,44.18384798572548,1441838.4798572548,14.977660144408459,5,-5.049880600946954,short_0915,10,10,breadth_pos_le,85.0,2,equal,none
short0915_top10_breadth_pos_le85_mp2_equal_blstrict,129,10.0,58.91472868217055,0.31396629975047036,46.24702254502551,1462470.225450255,13.525462513236988,6,-4.718433319416748,short_0915,10,10,breadth_pos_le,85.0,2,equal,strict
short0915_top10_breadth_pos_le85_mp2_equal_blmedium,127,10.0,59.055118110236215,0.36760620164059393,55.68196690838483,1556819.6690838484,12.475001314160474,6,-4.023492193132894,short_0915,10,10,breadth_pos_le,85.0,2,equal,medium
short0915_top10_breadth_pos_le85_mp2_score_sqrt_cap15_blnone,133,10.0,57.89473684210527,0.3356165743974487,52.55570321009655,1525557.0321009655,13.151160207356103,5,-4.15016808154024,short_0915,10,10,breadth_pos_le,85.0,2,score_sqrt_cap15,none
short0915_top10_breadth_pos_le85_mp2_score_sqrt_cap15_blstrict,129,10.0,58.91472868217055,0.36797957950377896,56.72605805741233,1567260.5805741234,12.136131665525562,6,-4.9942547464249305,short_0915,10,10,breadth_pos_le,85.0,2,score_sqrt_cap15,strict
short0915_top10_breadth_pos_le85_mp2_score_sqrt_cap15_blmedium,127,10.0,60.629921259842526,0.4241408289089407,67.16993070993276,1671699.3070993277,12.357007756751143,5,-3.880227383463608,short_0915,10,10,breadth_pos_le,85.0,2,score_sqrt_cap15,medium
