entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-07-23,2025-07-22,15,"3MINDIA,ETERNAL,GMDCLTD,TEGA,PARADEEP,GALLANTT,JSWDULUX,APARINDS,CHOICEIN,NUVOCO,FORCEMOT,SWIGGY,POWERINDIA,SHREECEM,RHIM",155.31458497468313,48.8
2025-07-24,2025-07-23,15,"GMDCLTD,PAYTM,INDIACEM,NEULANDLAB,PARADEEP,JSWDULUX,BELRISE,POWERINDIA,3MINDIA,CRAFTSMAN,SHREECEM,ETERNAL,RHIM,TEGA,GALLANTT",160.0261255186572,54.06666666666667
2025-07-25,2025-07-24,15,"FORCEMOT,PARADEEP,BELRISE,JSWDULUX,3MINDIA,ETERNAL,NEULANDLAB,PAYTM,OLECTRA,ZFCVINDIA,GALLANTT,VIJAYA,RHIM,MRPL,KIMS",163.17237175982567,50.4
2025-07-28,2025-07-25,15,"OLECTRA,FORCEMOT,HOMEFIRST,VIJAYA,COROMANDEL,GRAVITA,PTCIL,JSWDULUX,3MINDIA,SHYAMMETL,ETERNAL,GALLANTT,ERIS,PHOENIXLTD,JPPOWER",169.0651685240877,50.733333333333334
2025-07-29,2025-07-28,15,"GALLANTT,FORCEMOT,CARTRADE,VIJAYA,OLECTRA,LAURUSLABS,PARADEEP,GRAVITA,ACMESOLAR,IEX,JSWDULUX,SHYAMMETL,HOMEFIRST,BAYERCROP,NEULANDLAB",148.82694538221685,48.13333333333333
2025-07-30,2025-07-29,15,"PARADEEP,GALLANTT,BOSCHLTD,CARTRADE,VIJAYA,ACMESOLAR,FORCEMOT,LAURUSLABS,NEULANDLAB,APARINDS,ABBOTINDIA,AMBER,PTCIL,VBL,GILLETTE",150.79867128110396,51.86666666666667
2025-07-31,2025-07-30,15,"PARADEEP,POWERINDIA,GVT&D,APARINDS,VIJAYA,BOSCHLTD,GALLANTT,COROMANDEL,VBL,CRAFTSMAN,ABBOTINDIA,AFFLE,FORCEMOT,SUMICHEM,AMBER",155.8829961296618,48.93333333333333
2025-08-01,2025-07-31,15,"NIACL,GVT&D,CRAFTSMAN,GALLANTT,POWERINDIA,HEG,ACUTAAS,SAGILITY,CARTRADE,APARINDS,SUMICHEM,BELRISE,PARADEEP,BOSCHLTD,ABDL",167.59073828219667,50.8
2025-08-04,2025-08-01,15,"NETWEB,GVT&D,POWERINDIA,KAYNES,RHIM,BELRISE,EMAMILTD,RADICO,ACUTAAS,BOSCHLTD,HINDUNILVR,3MINDIA,PARADEEP,SAGILITY,SPLPETRO",187.87916801236162,47.666666666666664
2025-08-05,2025-08-04,15,"SARDAEN,GVT&D,NETWEB,PARADEEP,DELHIVERY,KAYNES,BLUEDART,SUZLON,ECLERX,TARIL,POWERINDIA,BELRISE,ATHERENERG,BOSCHLTD,SAGILITY",153.94178204082976,48.46666666666667
2025-08-06,2025-08-05,15,"NETWEB,ATHERENERG,TARIL,SARDAEN,ECLERX,GODFRYPHLP,NIACL,CRAFTSMAN,PARADEEP,POWERINDIA,ABCAPITAL,FORCEMOT,GALLANTT,HONAUT,CCL",165.20779908829613,54.733333333333334
2025-08-07,2025-08-06,15,"NEWGEN,SARDAEN,GODFRYPHLP,ATHERENERG,FORCEMOT,KAYNES,NETWEB,PARADEEP,ZFCVINDIA,DOMS,ACUTAAS,JSL,PTCIL,COROMANDEL,BOSCHLTD",149.7572350007431,50.6
