rule_id,feature,direction,threshold,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0210,first30_ret_pct__pct,lo,0.05,46,1357,0.03389830508474576,1.992991489666023,0.6273067032205786,48.784082535003684,3.086011828045455
R0044,ret2_pct__pct,hi,0.8,176,5605,0.03140053523639608,1.8461394851643163,0.5054396875515872,48.974130240856375,3.0262542294201014
R0231,first60_ret_pct__pct,lo,0.1,73,2773,0.026325279480706815,1.5477487100597838,1.0419241664015537,50.919581680490445,2.9817422225978922
R0251,last15_ret_pct__pct,hi,0.9,67,2832,0.02365819209039548,1.3909419771627451,1.5194467698584235,51.80084745762712,2.938526999543691
R0252,last15_ret_pct__pct,hi,0.95,36,1416,0.025423728813559324,1.4947436172495174,1.3499238488430232,52.40112994350282,2.901875822791249
R0271,last15_volume__pct,lo,0.1,70,2773,0.025243418680129824,1.484142598687464,1.1824314532253815,50.847457627118644,2.9013415720934965
R0109,ret_std_20d__pct,hi,0.95,42,1416,0.029661016949152543,1.7438675534577701,0.8437594609464527,49.152542372881356,2.870770425821603
R0077,ret20_pct__pct,hi,0.9,74,2832,0.026129943502824857,1.536264273284226,1.044971195052006,48.87005649717514,2.8173587730700875
R0295,last30_volume__pct,lo,0.1,69,2773,0.024882798413270825,1.4629405615633573,1.2028544509241839,51.02776776054815,2.8158502231950773
R0160,intra_range_pct__pct,hi,0.8,154,5605,0.027475468331846567,1.6153720495187767,0.7371072704835168,48.24264049955397,2.8061683161772364
R0247,first60_volume__pct,lo,0.1,71,2773,0.02560403894698882,1.5053446358115705,1.059193567415527,50.45077533357375,2.7458913128628484
R0027,open_gap_pct__pct,lo,0.05,39,1357,0.028739867354458364,1.6897101760211934,0.8240357198988072,50.1105379513633,2.611170698352227
R0059,ret5_pct__pct,hi,0.7,216,8378,0.02578180950107424,1.5157963442530316,0.7345197216849283,49.8687037479112,2.5864184852322487
R0296,last30_volume__pct,lo,0.05,41,1358,0.030191458026509573,1.7750539077695544,0.70786103379531,48.52724594992636,2.5525122627048593
R0029,day_range_pct__pct,hi,0.8,152,5605,0.02711864406779661,1.5943931917328185,0.6839953307374385,48.13559322033898,2.544637455092892
R0157,intra_ret_pct__pct,lo,0.1,65,2772,0.023448773448773448,1.3786295748321065,1.3196279316227535,51.19047619047619,2.4680229958123245
R0186,first15_ret_pct__pct,lo,0.2,122,5546,0.021997836278398845,1.2933242645705043,1.4778801386620484,51.71294626758024,2.449517000827124
R0226,first30_volume__pct,lo,0.05,40,1357,0.029476787030213707,1.7330360779704548,0.6989997337978174,49.963154016212236,2.4454377456135163
R0272,last15_volume__pct,lo,0.05,41,1357,0.03021370670596905,1.7763619799197161,0.6587342563645983,48.784082535003684,2.4312638615104865
R0120,up_day_streak__pct,hi,0.9,90,2372,0.03794266441821248,2.230772514782163,0.26734125494869077,46.838111298482296,2.4305277306751885
R0324,last60_vol_pct__pct,lo,0.3,188,8321,0.022593438288667226,1.3283416418324436,1.1877711413653071,50.83523614950126,2.428369196029153
R0043,ret2_pct__pct,hi,0.7,220,8378,0.026259250417760803,1.543866646924384,0.635750270125818,49.21222248746718,2.415004233247414
R0178,close_vs_vwap_pct__pct,lo,0.2,133,5546,0.02398124774612333,1.4099354687530907,0.9945809859020561,50.12621709340065,2.404532195549595
R0156,intra_ret_pct__pct,lo,0.2,121,5546,0.021817526144969346,1.282723246008451,1.494739143876141,51.83916336098089,2.3864770359597425
R0209,first30_ret_pct__pct,lo,0.1,71,2773,0.02560403894698882,1.5053446358115705,0.8784465657287628,51.06382978723404,2.3803182004520695
R0326,last60_vol_pct__pct,lo,0.1,71,2773,0.02560403894698882,1.5053446358115705,0.9093404687561067,49.58528669311215,2.3776103723818007
R0177,close_vs_vwap_pct__pct,lo,0.3,188,8321,0.022593438288667226,1.3283416418324436,1.144079219029061,50.70304049993991,2.345799490106823
R0030,day_range_pct__pct,hi,0.9,79,2832,0.0278954802259887,1.640065913370998,0.651367684742088,48.26977401129944,2.305271787838954
R0203,first15_volume__pct,lo,0.05,39,1357,0.028739867354458364,1.6897101760211934,0.7018111134988877,50.03684598378777,2.2961306851999668
R0208,first30_ret_pct__pct,lo,0.2,124,5546,0.022358456545257845,1.314526301694611,1.2827974164729725,50.558961413631444,2.2769967513296
R0180,close_vs_vwap_pct__pct,lo,0.05,56,1357,0.04126750184229919,2.4262505091586366,0.20018666987849199,48.341930729550484,2.2311135130159108
R0277,last30_ret_pct__pct,lo,0.3,193,8322,0.0231915404950733,1.363506013748318,0.9730441030846323,49.54337899543379,2.2257461586537794
R0202,first15_volume__pct,lo,0.1,66,2773,0.023800937612693834,1.3993344501910374,1.0834965407140664,51.46051208077894,2.218042340613104
R0294,last30_volume__pct,lo,0.2,123,5546,0.022178146411828345,1.3039252831325576,1.2572920881530654,50.88351965380454,2.1726660800083217
R0318,last60_volume__pct,lo,0.2,124,5545,0.02236248872858431,1.3147633668527163,1.2015594914742511,50.64021641118125,2.1573308290555744
R0011,prev_close__pct,hi,0.95,39,1416,0.02754237288135593,1.6193055853536436,0.7301450785332327,50.494350282485875,2.1459664945815353
R0278,last30_ret_pct__pct,lo,0.2,130,5546,0.023440317345834835,1.3781324130669308,0.9779842757755534,49.152542372881356,2.134772402905598
R0158,intra_ret_pct__pct,lo,0.05,35,1357,0.025792188651436992,1.5164065682241479,0.9140291089727705,51.06853352984525,2.105626719340131
R0248,first60_volume__pct,lo,0.05,41,1357,0.03021370670596905,1.7763619799197161,0.534069769768486,49.152542372881356,2.0940087433061847
R0302,last60_ret_pct__pct,lo,0.2,128,5544,0.023088023088023088,1.3574198890654587,1.00129419283252,49.87373737373738,2.0813710434349915
R0325,last60_vol_pct__pct,lo,0.2,126,5546,0.02271907681211684,1.3357283388187176,1.0665596779288895,50.46880634691669,2.0791584892838566
R0303,last60_ret_pct__pct,lo,0.1,69,2769,0.024918743228602384,1.465053874039433,0.865204428743903,48.573492235464066,2.0445639096294252
R0161,intra_range_pct__pct,hi,0.9,80,2832,0.02824858757062147,1.6608262413883526,0.5214773611031884,47.84604519774011,2.0048896522789605
R0250,last15_ret_pct__pct,hi,0.8,117,5599,0.020896588676549383,1.228578340164722,1.5358416461613844,51.83068405072334,1.9621979711518138
R0230,first60_ret_pct__pct,lo,0.2,121,5543,0.021829334295507846,1.2834174855426428,1.216093148833666,50.55024355042396,1.9492907035381055
R0225,first30_volume__pct,lo,0.1,65,2773,0.023440317345834835,1.3781324130669308,0.983025999302432,50.48683736025965,1.8924507783974305
R0145,green_ratio_day__pct,lo,0.05,34,1371,0.024799416484318017,1.4580382670569083,0.9493805987366412,49.59883296863603,1.8567319140458602
R0041,daily_close_loc__pct,lo,0.1,62,2773,0.022358456545257845,1.314526301694611,1.1357899820129453,52.97511720158673,1.8442769068093483
R0010,prev_close__pct,hi,0.9,66,2832,0.023305084745762712,1.3701816491453909,0.9268064317564594,51.41242937853108,1.8034187358765197
R0270,last15_volume__pct,lo,0.2,121,5546,0.021817526144969346,1.282723246008451,1.1107474164629378,50.631085467003246,1.8027382098751485
R0015,prev_close__pct,lo,0.05,33,1357,0.02431834929992631,1.4297547643256252,1.0028215676644565,48.26823876197495,1.759705802253573
R0042,daily_close_loc__pct,lo,0.05,31,1357,0.022844509948415623,1.3431029604271025,1.1745867621041528,53.426676492262345,1.7465468605798369
R0090,vol_ratio_5d__pct,lo,0.05,32,1334,0.0239880059970015,1.4103328082794044,0.997898577405388,50.524737631184415,1.7367000870118163
R0144,green_ratio_day__pct,lo,0.1,62,2751,0.022537259178480554,1.3250386894217216,1.0800192573957792,49.909123954925484,1.7206421605548732
R0244,first60_volume__pct,hi,0.95,36,1416,0.025423728813559324,1.4947436172495174,0.7551038178117258,49.717514124293785,1.6966325637060569
R0018,daily_ret_pct__pct,lo,0.1,60,2764,0.02170767004341534,1.2762644488816428,1.2089313350182884,51.266280752532566,1.6406305259908995
R0207,first30_ret_pct__pct,lo,0.3,169,8321,0.020310058887152985,1.1940943482429944,1.403129093951588,51.195769739214036,1.6362642015525086
R0279,last30_ret_pct__pct,lo,0.1,72,2773,0.02596465921384782,1.5265466729356771,0.5570775493203828,47.133068878470965,1.6122662210681817
R0019,daily_ret_pct__pct,lo,0.05,34,1357,0.025055268975681652,1.4730806662748865,0.7399281771122923,50.847457627118644,1.6077230240302498
R0089,vol_ratio_5d__pct,lo,0.1,60,2726,0.022010271460014674,1.2940553692989218,1.1003085811968227,50.44020542920029,1.5856836057595451
R0040,daily_close_loc__pct,lo,0.2,114,5522,0.02064469395146686,1.2137686308849756,1.2623736253364688,52.734516479536396,1.5644341591404634
R0222,first30_volume__pct,hi,0.95,36,1416,0.025423728813559324,1.4947436172495174,0.6634213621246666,48.87005649717514,1.5076253868711205
R0301,last60_ret_pct__pct,lo,0.3,175,8320,0.021033653846153848,1.236636846802986,1.0090190890280124,50.13221153846153,1.483179058769806
R0152,red_ratio_day__pct,lo,0.1,60,2752,0.02180232558139535,1.2818295554901384,1.088425175887261,49.309593023255815,1.4721135261129015
R0135,day_volume_1m__pct,lo,0.2,116,5546,0.020915975477821855,1.2297181531981844,1.110500861223834,50.93761269383339,1.4605164842720608
