ICICIPRULI [GOLD-baseline] nf=36 down_streak=4 vol=7.2x sret=-5.9% rsi=27 distSMA200=-11% distHigh60=-23% atr=3.4% | close10d[646,644,636,641,632,651,645,640,635,597] vol5d[3.2x,1.3x,0.5x,0.6x,7.2x] | patterns: hit_10pc_20d:n_sub_3_range_7d>1.5 & roc_5<=10.44 & weekly_close_loc>0.16 & weekly_range_pct>12.8 | hit_15pc_20d:slope_sma_50<=0.45 & weekly_close_loc>0.22 & weekly_range_pct>12.8 | hit_10pc_20d:atr_20_pct>2.33 & rs_market_60d<=28.94 & weekly_close_loc>0.31 & weekly_range_pct>10.12 | hit_10pc_20d:dist_high_10<=-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84 | hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57
IDEA [GOLD] nf=57 down_streak=0 vol=0.8x sret=+1.6% rsi=67 distSMA200=-22% distHigh60=-9% atr=4.7% | close10d[8,8,8,8,9,9,9,10,9,10] vol5d[1.4x,1.2x,1.6x,1.3x,0.8x] | patterns: hit_10pc_20d:n_sub_3_range_7d<=1.5 & roc_5<=10.44 & weekly_close_loc>0.16 & weekly_range_pct>12.8 | hit_15pc_20d:slope_sma_50>0.45 & vol_vs_20d<=1.9 & weekly_close_loc>0.22 & weekly_range_pct>12.8 | hit_15pc_20d:atr_20_pct>3.48 & weekly_close_loc>0.22 & weekly_close_vs_sma20<=11.17 & weekly_range_pct>13.69 | hit_10pc_20d:n_sub_75v_7d<=2.5 & weekly_close_loc>0.22 & weekly_range_pct>9.96 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20>1.2 & weekly_range_pct>8.79
ABCAPITAL [ENTERPRISE-Dryup] nf=14 down_streak=2 vol=0.8x sret=-0.8% rsi=37 distSMA200=-19% distHigh60=-21% atr=2.9% | close10d[174,168,170,174,174,178,177,178,174,173] vol5d[1.0x,0.5x,0.5x,0.8x,0.8x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_10pc_20d:dist_high_10>-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47 | hit_10pc_20d:n_sub_3_range_7d<=4.5 & rs_sector_60d<=-3.72 & vol_5d_vs_20d<=0.88 & weekly_close_vs_sma20<=-0.6
IGL [ENTERPRISE-Dryup] nf=42 down_streak=3 vol=0.7x sret=-2.1% rsi=36 distSMA200=-16% distHigh60=-15% atr=4.4% | close10d[204,201,198,200,196,194,197,196,193,189] vol5d[0.5x,0.5x,0.5x,0.3x,0.7x] | patterns: hit_10pc_20d:dist_high_10<=-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84 | hit_15pc_20d:atr_20_pct>2.46 & roc_20<=30.2 & weekly_close_loc>0.27 & weekly_range_pct>7.6 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>4.22 & dist_sma_200<=-12.99 & weekly_close_loc<=0.48
HEROMOTOCO [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.5x sret=+0.8% rsi=25 distSMA200=-20% distHigh60=-21% atr=2.3% | close10d[3904,3886,3812,3867,3876,3840,3863,3857,3794,3823] vol5d[0.5x,0.3x,0.4x,0.5x,0.5x] | patterns: hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_10pc_20d:atr_20_pct>2.23 & dist_high_120<=-32.84 & weekly_close_loc<=0.55 & weekly_close_vs_sma20<=8.42 | hit_10pc_20d:dist_sma_200<=-7.87 & roc_60<=-15.54 & rs_market_60d<=-12.87 | hit_25pc_30d:dist_high_120<=-32.65 & dist_high_252>-59.85 & weekly_close_vs_sma20<=12.57 | hit_15pc_20d:dist_high_120<=-25.79 & n_sub_75v_20d<=13.5 & rs_market_20d<=4.47
IRFC [GOLD] nf=34 down_streak=2 vol=0.8x sret=-1.5% rsi=39 distSMA200=-13% distHigh60=-16% atr=4.1% | close10d[137,132,125,132,134,139,143,143,139,137] vol5d[2.1x,1.4x,1.4x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:atr_20_pct>2.46 & roc_20<=30.2 & weekly_close_loc>0.27 & weekly_range_pct>7.6 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73
CONCOR [GOLD] nf=67 down_streak=0 vol=1.0x sret=+0.0% rsi=38 distSMA200=-34% distHigh60=-30% atr=3.8% | close10d[593,587,570,596,594,607,604,605,591,591] vol5d[1.2x,2.4x,1.3x,1.0x,1.0x] | patterns: hit_10pc_20d:dist_high_120<=-38.87 & dist_sma_50<=-12.07 & rs_market_60d<=-14.48 | hit_10pc_20d:dist_high_252<=-41.99 & dist_high_60<=-24.97 & weekly_close_loc>0.15 & weekly_close_vs_sma20<=2.23 | hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42 | hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44
MANAPPURAM [ENTERPRISE-Dryup] nf=37 down_streak=0 vol=0.6x sret=+1.7% rsi=54 distSMA200=+5% distHigh60=-2% atr=4.1% | close10d[177,178,169,176,178,181,191,191,190,193] vol5d[0.5x,1.1x,0.5x,1.0x,0.6x] | patterns: hit_10pc_20d:n_sub_3_range_7d<=3.5 & slope_sma_50>1.67 & weekly_close_loc<=0.84 & weekly_close_loc>0.59 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d>12.5 & weekly_close_loc>0.41 | hit_10pc_20d:rs_market_60d<=81.89 & weekly_close_loc>0.37 & weekly_close_vs_sma20>9.42 & weekly_range_pct>4.76 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43
MUTHOOTFIN [ENTERPRISE-Dryup] nf=14 down_streak=0 vol=1.3x sret=+1.5% rsi=42 distSMA200=+17% distHigh60=-3% atr=2.8% | close10d[2092,2093,2054,2081,2135,2136,2106,2099,2121,2153] vol5d[0.7x,0.3x,0.5x,0.4x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>2.15 & rs_sector_60d>13.71 & weekly_close_loc>0.83 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d>3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43
NMDC [GOLD] nf=31 down_streak=2 vol=1.0x sret=-0.9% rsi=45 distSMA200=-15% distHigh60=-21% atr=3.6% | close10d[60,58,56,59,58,61,62,62,61,61] vol5d[0.9x,0.8x,0.9x,1.1x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=48.46 & n_sub_3_range_7d<=1.5 & weekly_close_loc<=0.7 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.02 & dist_high_120<=-18.07 & weekly_close_loc>0.43 & weekly_range_pct<=8.64 | hit_10pc_20d:n_sub_2_5_range_7d<=0.5 & roc_5>-6.67 & weekly_close_vs_sma20<=3.06 & weekly_range_pct<=9.66
