INFY [GOLD-baseline] nf=22 down_streak=2 vol=1.1x sret=-3.0% rsi=31 distSMA200=-20% distHigh60=-27% atr=3.0% | close10d[1547,1547,1582,1553,1557,1526,1483,1506,1453,1410] vol5d[0.8x,1.5x,0.7x,1.2x,1.1x] | patterns: hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:dist_high_10<=-5.2 & rs_market_60d<=-13.99 & weekly_range_pct>5.35
IRFC [ENTERPRISE-Dryup] nf=27 down_streak=1 vol=0.8x sret=-3.3% rsi=62 distSMA200=-18% distHigh60=-19% atr=3.5% | close10d[127,130,127,126,122,122,122,125,127,122] vol5d[1.0x,0.8x,0.7x,0.8x,0.8x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:atr_20_pct>3.27 & dist_high_252<=-39.08 & weekly_close_vs_sma20<=21.67 | hit_25pc_30d:dist_high_120<=-11.56 & dist_high_252<=-38.3 & rs_sector_60d<=-4.73 | hit_15pc_20d:atr_20_pct>2.78 & dist_high_252<=-43.91
CONCOR [ENTERPRISE-Dryup] nf=24 down_streak=1 vol=0.8x sret=-3.8% rsi=62 distSMA200=-31% distHigh60=-12% atr=3.2% | close10d[542,563,560,540,551,544,550,558,562,541] vol5d[1.4x,0.5x,0.9x,0.6x,0.8x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_10pc_20d:dist_sma_200<=-25.2 | hit_15pc_20d:dist_high_252<=-45.84 & weekly_close_vs_sma20<=-13.08 | hit_15pc_20d:atr_20_pct>2.78 & dist_high_252<=-43.91
AUROPHARMA [GOLD-baseline] nf=43 down_streak=1 vol=5.0x sret=-6.0% rsi=52 distSMA200=-16% distHigh60=-15% atr=3.8% | close10d[1196,1205,1190,1153,1160,1156,1130,1154,1172,1101] vol5d[0.9x,1.4x,1.4x,6.8x,5.0x] | patterns: hit_10pc_20d:n_sub_3_range_7d<=1.5 & roc_5<=10.44 & weekly_close_loc>0.16 & weekly_range_pct>12.8 | hit_15pc_20d:slope_sma_50<=0.45 & weekly_close_loc>0.22 & weekly_range_pct>12.8 | hit_15pc_20d:atr_20_pct>3.48 & weekly_close_loc>0.22 & weekly_close_vs_sma20<=11.17 & weekly_range_pct>13.69 | hit_10pc_20d:n_sub_75v_7d<=2.5 & weekly_close_loc>0.22 & weekly_range_pct>9.96 | hit_10pc_20d:dist_sma_200<=6.42 & weekly_range_pct>16.33
HINDALCO [GOLD-baseline] nf=13 down_streak=5 vol=1.6x sret=-8.1% rsi=24 distSMA200=-9% distHigh60=-16% atr=3.1% | close10d[690,696,688,686,688,677,659,656,648,596] vol5d[0.7x,0.9x,1.5x,1.0x,1.6x] | patterns: hit_10pc_20d:atr_20_pct>2.04 & dist_high_252<=-20.17 & rsi_14<=28.7 & weekly_range_pct>5.64 | hit_25pc_30d:dist_sma_200<=33.99 & rs_market_20d<=-5.83 & weekly_close_vs_sma20<=30.1 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.22 & dist_high_20<=-15.18 & weekly_close_loc<=0.63 & weekly_close_vs_sma20<=9.42 | hit_25pc_30d:atr_20_pct>2.44 & dist_sma_50<=-2.94 & weekly_range_pct>10.03 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20<=1.2 & weekly_range_pct>8.79
MANAPPURAM [ENTERPRISE-Dryup] nf=11 down_streak=1 vol=0.2x sret=-0.7% rsi=77 distSMA200=+21% distHigh60=-6% atr=3.1% | close10d[232,239,235,230,231,231,230,233,233,231] vol5d[0.4x,0.5x,0.3x,0.3x,0.2x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_15pc_20d:atr_20_pct>2.55 & rs_market_60d>15.01 & weekly_close_vs_sma20>22.16 | hit_15pc_20d:dist_sma_50>5.59 & rs_market_60d>-13.99 & rs_sector_60d>26.85 | hit_25pc_30d:dist_high_252>-13.78 & vol_5d_vs_20d<=0.64 & weekly_close_loc>0.45 & weekly_close_vs_sma20>19.33
LTTS [ENTERPRISE-Dryup] nf=31 down_streak=2 vol=0.7x sret=-4.1% rsi=46 distSMA200=-16% distHigh60=-24% atr=3.8% | close10d[4609,4519,4565,4459,4390,4443,4503,4575,4400,4218] vol5d[1.7x,0.9x,0.6x,0.9x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>3.65 & dist_high_20<=-9.05 & dist_high_252<=-24.42 & dist_high_252>-45.84 | hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=48.46 & n_sub_3_range_7d<=1.5 & weekly_close_loc<=0.7 | hit_10pc_20d:n_sub_2_5_range_7d<=0.5 & roc_5>-6.67 & weekly_close_vs_sma20<=3.06 & weekly_range_pct<=9.66
MCX [ENTERPRISE-Dryup] nf=29 down_streak=2 vol=0.8x sret=-5.8% rsi=56 distSMA200=-8% distHigh60=-19% atr=4.1% | close10d[1089,1074,1027,1024,1045,1058,1042,1070,1063,1002] vol5d[1.6x,1.0x,1.0x,0.5x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.63 & dist_high_120<=-27.42 & dist_sma_50<=-1.72 & vol_5d_vs_20d>0.82 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_15pc_20d:atr_20_pct>3.65 & dist_high_20<=-9.05 & dist_high_252<=-24.42 & dist_high_252>-45.84 | hit_25pc_30d:atr_20_pct>3.52 & dist_high_120<=-26.56 & dist_sma_200<=15.01
MPHASIS [GOLD] nf=44 down_streak=2 vol=1.3x sret=-6.1% rsi=52 distSMA200=-21% distHigh60=-28% atr=3.9% | close10d[2382,2434,2485,2466,2479,2451,2399,2426,2328,2186] vol5d[0.7x,0.7x,0.6x,1.1x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>3.37 & atr_5_vs_20>1.02 & dist_high_120<=-7.21 & weekly_range_pct>8.57 | hit_15pc_20d:atr_20_pct>3.63 & dist_high_252<=-24.73 & slope_sma_50<=-0.07 & weekly_close_vs_sma20<=13.81 | hit_15pc_20d:atr_20_pct>2.4 & dist_high_10<=-10.53 & dist_high_252<=-22.78 & dist_sma_200<=26.42 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_10<=-10.6 & roc_60<=-5.38 & weekly_close_loc<=0.74 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56
LUPIN [GOLD-baseline] nf=13 down_streak=1 vol=3.1x sret=-5.9% rsi=50 distSMA200=-4% distHigh60=-14% atr=3.2% | close10d[2102,2107,2056,2046,2006,2015,1943,1997,2083,1959] vol5d[1.1x,1.6x,2.0x,3.8x,3.1x] | patterns: hit_10pc_20d:n_sub_75v_7d<=2.5 & weekly_close_loc>0.22 & weekly_range_pct>9.96 | hit_15pc_20d:atr_20_pct>2.14 & rs_sector_60d<=10.06 & weekly_close_loc>0.09 & weekly_range_pct>8.01 | hit_25pc_30d:atr_20_pct>2.44 & dist_sma_50<=-2.94 & weekly_range_pct>10.03 | hit_10pc_20d:atr_20_pct>3.12 & dist_sma_20<=-0.51 & roc_5<=6.87 & slope_sma_50<=0.42 | hit_10pc_20d:dist_sma_200<=15.86 & weekly_close_vs_sma20<=1.2 & weekly_range_pct>8.79
