pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,manual_precision_dec,winner_precision_dec,weight,hit_pct,real_lift_pp,clean26_lift,rule,parsed_conditions,fire_col
8942,FALCPAT_8942,other,hit_10pc_20d,other,PROMOTED,18,661,0.048411497730711045,0.02723146747352496,132.23184197007322,54.005745292052346,18.62515804686813,20.14,volatility (20d ATR%) >= 3.9309 AND distance from 20-day high >= -12.7454 AND distance from 200-DMA <= 26.2528 AND close position in weekly range >= 0.2191,atr_20_pct>=3.9309 AND dist_high_20>=-12.7454 AND dist_sma_200<=26.2528 AND weekly_close_loc>=0.2191,pat_8942
8643,FALCPAT_8643,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,18,767,0.04041720990873533,0.02346805736636245,74.89187167350363,27.76597251735373,12.240312566241212,13.74,volatility (20d ATR%) <= 4.9327 AND volatility (20d ATR%) >= 3.4331 AND close position in weekly range >= 0.6079 AND weekly range % <= 11.7238,atr_20_pct<=4.9327 AND atr_20_pct>=3.4331 AND weekly_close_loc>=0.6079 AND weekly_range_pct<=11.7238,pat_8643
9294,FALCPAT_9294,continuation,hit_15pc_20d,momentum,PROMOTED,18,375,0.07466666666666667,0.048,49.13478282608045,23.488664987405546,3.926293564177563,2.58,distance from 60-day high >= -4.2092 AND 20-day return >= 10.848 AND weekly range % >= 8.2161,dist_high_60>=-4.2092 AND roc_20>=10.848 AND weekly_range_pct>=8.2161,pat_9294
7759,FALCPAT_7759,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,17,93,0.2903225806451613,0.1827956989247312,2042.198010716342,73.90243902439025,43.653160682500605,11.76,distance from 20-DMA <= 9.1181 AND close position in weekly range >= 0.4818 AND weekly range % >= 16.4858,dist_sma_20<=9.1181 AND weekly_close_loc>=0.4818 AND weekly_range_pct>=16.4858,pat_7759
8068,FALCPAT_8068,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,17,267,0.08239700374531835,0.06367041198501873,447.0508265908997,57.68415804561885,27.43487970372921,18.16,5-day return <= 0.3379 AND close position in weekly range >= 0.4857 AND weekly range % <= 13.8814 AND weekly range % >= 7.862,roc_5<=0.3379 AND weekly_close_loc>=0.4857 AND weekly_range_pct<=13.8814 AND weekly_range_pct>=7.862,pat_8068
8547,FALCPAT_8547,fresh_breakout,hit_40pc_40d,breakout,PROMOTED,17,144,0.2013888888888889,0.11805555555555555,399.53300156856733,16.18874773139746,13.223610442434468,4.42,volatility (20d ATR%) >= 3.4337 AND close position in weekly range >= 0.7802 AND weekly range % >= 13.9527,atr_20_pct>=3.4337 AND weekly_close_loc>=0.7802 AND weekly_range_pct>=13.9527,pat_8547
9500,FALCPAT_9500,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,17,247,0.0931174089068826,0.06882591093117409,376.1910217296577,56.73758865248227,21.35700140729806,18.3,distance from 120-day high >= -37.6909 AND days with sub-2.5% range in last 7 <= 3.5 AND days with sub-75% volume in last 20 <= 6.5 AND close position in weekly range >= 0.7666,dist_high_120>=-37.6909 AND n_sub_2_5_range_7d<=3.5 AND n_sub_75v_20d<=6.5 AND weekly_close_loc>=0.7666,pat_9500
8546,FALCPAT_8546,other,hit_40pc_40d,other,PROMOTED,17,229,0.13537117903930132,0.07423580786026202,143.58288127455484,10.522548317823908,7.557411028860914,9.35,volatility (20d ATR%) >= 3.4337 AND close position in weekly range <= 0.7802 AND close position in weekly range >= 0.282 AND weekly range % >= 13.9527,atr_20_pct>=3.4337 AND weekly_close_loc<=0.7802 AND weekly_close_loc>=0.282 AND weekly_range_pct>=13.9527,pat_8546
6912,FALCPAT_6912,pullback_reversal,hit_25pc_30d,capitulation,PROMOTED,17,360,0.07222222222222222,0.04722222222222222,45.728999767072494,13.241963115993146,3.783808073850471,8.91,distance from year-high <= -21.4232 AND distance from 200-DMA >= 4.2399,dist_high_252<=-21.4232 AND dist_sma_200>=4.2399,pat_6912
9122,FALCPAT_9122,pullback_reversal,hit_15pc_20d,capitulation,PROMOTED,17,1163,0.027515047291487533,0.014617368873602751,30.803673011853288,27.79648998404538,8.234118560817402,14.31,volatility (20d ATR%) >= 3.4326 AND distance from year-high <= -21.3469 AND 60-day return >= -28.0132 AND close position in weekly range <= 0.8244,atr_20_pct>=3.4326 AND dist_high_252<=-21.3469 AND roc_60>=-28.0132 AND weekly_close_loc<=0.8244,pat_9122
8762,FALCPAT_8762,other,hit_10pc_20d,other,PROMOTED,17,377,0.0636604774535809,0.04509283819628647,27.684494722855803,37.77949113338474,2.398903888200521,5.21,volatility (20d ATR%) <= 3.6888 AND volatility (20d ATR%) >= 3.521 AND distance from 50-DMA >= -4.1929 AND weekly range % >= 6.6399,atr_20_pct<=3.6888 AND atr_20_pct>=3.521 AND dist_sma_50>=-4.1929 AND weekly_range_pct>=6.6399,pat_8762
8230,FALCPAT_8230,fresh_breakout,hit_25pc_30d,other,PROMOTED,16,168,0.16666666666666666,0.09523809523809523,229.76420838825047,17.3391494002181,9.616785310749435,11.81,volatility (20d ATR%) >= 2.9394 AND distance from year-high >= -11.0436 AND 20d relative strength vs market >= 9.5342 AND weekly range % >= 13.1496,atr_20_pct>=2.9394 AND dist_high_252>=-11.0436 AND rs_market_20d>=9.5342 AND weekly_range_pct>=13.1496,pat_8230
6519,FALCPAT_6519,other,hit_15pc_20d,other,PROMOTED,16,452,0.061946902654867256,0.035398230088495575,116.5003254233246,31.43491568144992,13.11909373650243,3.13,distance from 50-DMA >= 5.5854 AND 60d relative strength vs market >= -13.9851 AND 60d relative strength vs sector >= 26.8539,dist_sma_50>=5.5854 AND rs_market_60d>=-13.9851 AND rs_sector_60d>=26.8539,pat_6519
8411,FALCPAT_8411,pullback_reversal,hit_25pc_30d,capitulation,PROMOTED,16,741,0.033738191632928474,0.021592442645074223,70.5855782879601,20.753205128205128,13.030841038736463,12.76,volatility (20d ATR%) >= 3.5179 AND distance from 120-day high <= -26.5584 AND distance from 200-DMA <= 15.007,atr_20_pct>=3.5179 AND dist_high_120<=-26.5584 AND dist_sma_200<=15.007,pat_8411
7621,FALCPAT_7621,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,15,173,0.1329479768786127,0.08670520231213873,387.296909614449,48.444231689803736,18.19495334791409,5.76,distance from 50-DMA >= 14.898 AND 5-day return >= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % >= 9.062,dist_sma_50>=14.898 AND roc_5>=3.643 AND weekly_close_loc>=0.5098 AND weekly_range_pct>=9.062,pat_7621
