trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable,rank_weight,profit_weight,teacher_weight
2025-01-13,JSWDULUX,5,GOLD-baseline,09:15,3750.0,09:16,3680.35,-1.86,HARD_STOP,-3.39,-16945,-3389.0,0,0.7333333333333333,0.35,0.25666666666666665
2025-01-13,PTCIL,6,GOLD-baseline,09:15,17200.0,09:16,17050.0,-0.87,HARD_STOP,-3.39,-16945,-3389.0,0,0.6666666666666666,0.35,0.2333333333333333
2025-01-13,VIJAYA,7,GOLD-baseline,09:15,1243.5,09:16,1260.9,1.4,HARD_STOP,-3.39,-16945,-3389.0,1,0.6,1.175,0.705
2025-01-13,UBL,9,GOLD,09:15,2012.0,09:16,2004.95,-0.35,HARD_STOP,-3.39,-16945,-3389.0,0,0.4666666666666667,0.35,0.16333333333333333
2025-01-13,BDL,11,ENTERPRISE-Dryup,09:15,1175.05,09:16,1168.5,-0.56,HARD_STOP,-3.39,-16945,-3389.0,0,0.3333333333333333,0.35,0.11666666666666665
2025-01-13,CONCORDBIO,13,GOLD-baseline,09:15,2255.9,09:16,2234.6,-0.94,HARD_STOP,-3.39,-16945,-3389.0,0,0.2,0.35,0.06999999999999999
2025-01-13,INDIAMART,14,GOLD,09:15,2314.1,09:16,2293.05,-0.91,HARD_STOP,-3.39,-16945,-3389.0,0,0.13333333333333333,0.35,0.04666666666666666
2025-01-14,IDEA,1,GOLD,09:15,7.8,09:26,7.97,2.18,TRAIL,1.65,8225,1645.0,1,1.0,1.2725,1.2725
2025-01-14,RAILTEL,2,PREMIUM-Pullback,09:15,365.0,09:26,364.7,-0.08,TRAIL,1.65,8225,1645.0,0,0.9333333333333333,0.35,0.32666666666666666
2025-01-14,RPOWER,3,PREMIUM-Pullback,09:15,37.39,09:26,36.77,-1.66,TRAIL,1.65,8225,1645.0,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-14,NBCC,4,PREMIUM-Pullback,09:15,80.0,09:26,80.29,0.36,TRAIL,1.65,8225,1645.0,1,0.8,1.045,0.836
2025-01-14,RVNL,5,PREMIUM-Pullback,09:15,360.95,09:26,366.25,1.47,TRAIL,1.65,8225,1645.0,1,0.7333333333333333,1.18375,0.8680833333333333
2025-01-14,ADANIGREEN,6,PREMIUM-Pullback,09:15,898.05,09:26,930.0,3.56,TRAIL,1.65,8225,1645.0,1,0.6666666666666666,1.445,0.9633333333333334
2025-01-14,BDL,7,PREMIUM-Pullback,09:15,1117.45,09:26,1104.7,-1.14,TRAIL,1.65,8225,1645.0,0,0.6,0.35,0.21
2025-01-14,GMDCLTD,8,PREMIUM-Pullback,09:15,285.0,09:26,285.45,0.16,TRAIL,1.65,8225,1645.0,1,0.5333333333333333,1.02,0.544
2025-01-14,IRCON,9,PREMIUM-Pullback,09:15,183.65,09:26,184.69,0.57,TRAIL,1.65,8225,1645.0,1,0.4666666666666667,1.07125,0.4999166666666667
2025-01-14,BLS,10,PREMIUM-Pullback,09:15,438.0,09:26,426.5,-2.63,TRAIL,1.65,8225,1645.0,0,0.4,0.35,0.13999999999999999
2025-01-14,INOXWIND,11,PREMIUM-Pullback,09:15,154.27,09:26,152.15,-1.37,TRAIL,1.65,8225,1645.0,0,0.3333333333333333,0.35,0.11666666666666665
2025-01-14,MINDACORP,12,GOLD,09:15,511.95,09:26,511.25,-0.14,TRAIL,1.65,8225,1645.0,0,0.26666666666666666,0.35,0.09333333333333332
2025-01-14,SWANCORP,13,PREMIUM-Pullback,09:15,608.0,09:26,616.65,1.42,TRAIL,1.65,8225,1645.0,1,0.2,1.1775,0.23550000000000001
2025-01-14,ADANIENSOL,14,PREMIUM-Pullback,09:15,702.95,09:26,718.35,2.19,TRAIL,1.65,8225,1645.0,1,0.13333333333333333,1.27375,0.16983333333333334
2025-01-14,HUDCO,15,PREMIUM-Pullback,09:15,207.48,09:26,209.56,1.0,TRAIL,1.65,8225,1645.0,1,0.06666666666666667,1.125,0.075
2025-01-16,RAILTEL,1,ENTERPRISE-Dryup,09:15,386.0,15:29,411.8,6.68,EOD,26.65,133274,26654.8,1,1.0,1.835,1.835
2025-01-16,GMDCLTD,2,GOLD,09:15,295.15,15:29,324.1,9.81,EOD,26.65,133274,26654.8,1,0.9333333333333333,2.2262500000000003,2.0778333333333334
2025-01-16,ADANIENSOL,3,GOLD,09:15,817.95,15:29,795.0,-2.81,EOD,26.65,133274,26654.8,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-16,RPOWER,5,GOLD,09:15,40.05,15:29,41.2,2.87,EOD,26.65,133274,26654.8,1,0.7333333333333333,1.3587500000000001,0.9964166666666667
2025-01-16,JWL,6,GOLD,09:15,438.0,15:29,491.65,12.25,EOD,26.65,133274,26654.8,1,0.6666666666666666,2.53125,1.6875
2025-01-16,RVNL,7,GOLD,09:15,391.85,15:29,412.0,5.14,EOD,26.65,133274,26654.8,1,0.6,1.6425,0.9855
2025-01-16,HUDCO,8,GOLD,09:15,218.0,15:29,225.5,3.44,EOD,26.65,133274,26654.8,1,0.5333333333333333,1.43,0.7626666666666666
2025-01-16,BDL,9,ENTERPRISE-Dryup,09:15,1140.0,15:29,1201.95,5.43,EOD,26.65,133274,26654.8,1,0.4666666666666667,1.67875,0.7834166666666667
2025-01-16,IDBI,11,GOLD-baseline,09:15,74.25,15:29,79.2,6.67,EOD,26.65,133274,26654.8,1,0.3333333333333333,1.83375,0.61125
2025-01-16,SWANCORP,12,ENTERPRISE-Dryup,09:15,670.05,15:29,686.0,2.38,EOD,26.65,133274,26654.8,1,0.26666666666666666,1.2974999999999999,0.346
2025-01-16,SAMMAANCAP,14,GOLD,09:15,144.0,15:29,154.66,7.4,EOD,26.65,133274,26654.8,1,0.13333333333333333,1.925,0.25666666666666665
2025-01-17,INOXWIND,1,GOLD,09:15,162.51,09:15,160.82,-1.04,HARD_STOP,-3.51,-17539,-3507.8,0,1.0,0.35,0.35
2025-01-17,NBCC,3,GOLD,09:15,87.55,09:15,87.3,-0.29,HARD_STOP,-3.51,-17539,-3507.8,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-20,HFCL,1,GOLD,09:15,104.58,09:15,103.55,-0.98,HARD_STOP,-5.15,-25746,-5149.2,0,1.0,0.35,0.35
2025-01-20,INOXWIND,2,GOLD,09:15,165.4,09:15,163.85,-0.94,HARD_STOP,-5.15,-25746,-5149.2,0,0.9333333333333333,0.35,0.32666666666666666
2025-01-20,SWANCORP,3,GOLD-baseline,09:15,687.9,09:15,668.1,-2.88,HARD_STOP,-5.15,-25746,-5149.2,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-20,PAYTM,6,GOLD,09:15,902.5,09:15,900.75,-0.19,HARD_STOP,-5.15,-25746,-5149.2,0,0.6666666666666666,0.35,0.2333333333333333
2025-01-20,NIACL,9,ENTERPRISE-Dryup,09:15,195.9,09:15,193.2,-1.38,HARD_STOP,-5.15,-25746,-5149.2,0,0.4666666666666667,0.35,0.16333333333333333
2025-01-20,JWL,10,GOLD-baseline,09:15,491.0,09:15,486.0,-1.02,HARD_STOP,-5.15,-25746,-5149.2,0,0.4,0.35,0.13999999999999999
2025-01-20,MINDACORP,11,GOLD-baseline,09:15,586.5,09:15,584.0,-0.43,HARD_STOP,-5.15,-25746,-5149.2,0,0.3333333333333333,0.35,0.11666666666666665
2025-01-20,ADANIGREEN,12,GOLD-baseline,09:15,1082.95,09:15,1071.2,-1.08,HARD_STOP,-5.15,-25746,-5149.2,0,0.26666666666666666,0.35,0.09333333333333332
2025-01-20,RAILTEL,13,GOLD,09:15,414.0,09:15,410.55,-0.83,HARD_STOP,-5.15,-25746,-5149.2,0,0.2,0.35,0.06999999999999999
2025-01-20,BSE,15,GOLD,09:15,2028.5,09:15,2028.0,-0.02,HARD_STOP,-5.15,-25746,-5149.2,0,0.06666666666666667,0.35,0.02333333333333333
2025-01-21,CGCL,2,GOLD,09:15,181.1,09:37,182.37,0.7,HARD_STOP,-3.32,-16625,-3325.0,1,0.9333333333333333,1.0875,1.015
2025-01-21,ZENSARTECH,3,ENTERPRISE-Dryup,09:15,755.0,09:37,754.8,-0.03,HARD_STOP,-3.32,-16625,-3325.0,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-21,COFORGE,4,ENTERPRISE-Dryup,09:15,1736.0,09:37,1716.5,-1.12,HARD_STOP,-3.32,-16625,-3325.0,0,0.8,0.35,0.27999999999999997
2025-01-21,FIVESTAR,6,ENTERPRISE-Dryup,09:15,663.45,09:37,663.45,0.0,HARD_STOP,-3.32,-16625,-3325.0,0,0.6666666666666666,0.35,0.2333333333333333
2025-01-21,ULTRACEMCO,7,PREMIUM-Compression,09:15,10677.5,09:37,10771.0,0.88,HARD_STOP,-3.32,-16625,-3325.0,1,0.6,1.11,0.666
