date,direction,rank,symbol,sector,entry_1000,exit_1515,move_pct_in_dir,hit_1pct,confidence,reliability_prior,why_picked
2026-02-19,LONG,4,GVT&D,Capital Goods,3575.0,3536.3,-1.08,0,0.22,0.23,"20d rel-strength high (+43.39, 100pct); morning move low (-4.08, 0pct); strength vs market low (-3.68, 0pct)"
2026-02-19,LONG,5,TIINDIA,Automobile and Auto Components,2503.4,2489.2,-0.57,0,0.214,0.26,"morning move high (+1.85, 100pct); strength vs market high (+2.24, 100pct); strength vs sector high (+1.80, 99pct)"
2026-02-20,LONG,1,HAL,Capital Goods,4200.2,4169.8,-0.72,0,0.405,0.49,"morning move high (+1.70, 91pct); strength vs market high (+1.16, 91pct); RSI low (+32.44, 9pct)"
2026-02-20,LONG,2,BDL,Capital Goods,1322.0,1311.0,-0.83,0,0.402,0.41,"morning move high (+4.01, 100pct); morning range high (+4.48, 100pct); strength vs market high (+3.47, 100pct)"
2026-02-20,LONG,3,POLICYBZR,Financial Services,1502.5,1514.1,0.77,0,0.371,0.42,"strength vs sector high (+1.82, 99pct); morning move high (+2.53, 98pct); strength vs market high (+1.99, 98pct)"
2026-02-20,LONG,4,PERSISTENT,Information Technology,5143.5,5082.0,-1.2,0,0.368,,"morning volatility high (+0.29, 100pct); morning move low (-1.75, 1pct); strength vs market low (-2.29, 1pct)"
2026-02-20,LONG,5,COCHINSHIP,Capital Goods,1539.0,1517.9,-1.37,0,0.367,0.34,"vs morning VWAP high (+1.14, 100pct); 9:45-10:00 push high (+1.33, 100pct); morning range high (+3.10, 96pct)"
2026-02-23,LONG,1,UPL,Chemicals,657.1,645.1,-1.83,0,0.401,0.31,"vs morning VWAP low (-2.72, 0pct); 9:45-10:00 push low (-2.96, 0pct); morning range high (+9.06, 100pct)"
2026-02-23,LONG,2,IDFCFIRSTB,Financial Services,68.65,70.0,1.97,1,0.38,,"morning volume high (+329285474.00, 100pct); morning volatility high (+1.14, 100pct); vs morning VWAP high (+1.13, 100pct)"
2026-02-23,LONG,3,COFORGE,Information Technology,1312.1,1288.9,-1.77,0,0.373,0.42,"20d rel-strength low (-21.49, 1pct); dist from 20d high low (-23.79, 1pct); vs morning VWAP low (-0.91, 4pct)"
2026-02-23,LONG,4,TECHM,Information Technology,1442.0,1439.5,-0.17,0,0.336,0.4,"RSI low (+10.78, 1pct); dist from 20d high low (-21.42, 3pct); 5d momentum low (-5.05, 4pct)"
2026-02-23,LONG,5,PERSISTENT,Information Technology,5055.0,4976.5,-1.55,0,0.326,0.3,"volume vs 20d high (+2.13, 99pct); 20d rel-strength low (-20.26, 1pct); dist from 20d high low (-22.29, 1pct)"
2026-02-24,LONG,1,COFORGE,Information Technology,1226.7,1212.4,-1.17,0,0.341,0.32,"morning move low (-4.01, 0pct); vs morning VWAP low (-1.42, 0pct); 9:45-10:00 push low (-0.87, 0pct)"
2026-02-24,LONG,2,IDFCFIRSTB,Financial Services,69.93,70.81,1.26,1,0.33,0.57,"volume vs 20d high (+11.62, 100pct); 5d momentum low (-15.52, 0pct); morning volume high (+68126672.00, 100pct)"
2026-02-24,LONG,3,TECHM,Information Technology,1398.3,1347.5,-3.63,0,0.326,0.3,"dist from 20d high low (-22.28, 3pct); RSI low (+10.52, 3pct); near morning high/low low (+0.12, 4pct)"
2026-02-24,LONG,4,INFY,Information Technology,1281.8,1277.4,-0.34,0,0.321,0.43,"RSI low (+6.88, 1pct); 20d rel-strength low (-23.20, 1pct); dist from 20d high low (-23.18, 2pct)"
2026-02-24,LONG,5,PERSISTENT,Information Technology,4768.0,4666.0,-2.14,0,0.311,0.23,"dist from 20d high low (-24.04, 1pct); 5d momentum low (-10.83, 1pct); vs morning VWAP low (-0.81, 2pct)"
2026-02-25,LONG,1,KPITTECH,Information Technology,803.0,787.7,-1.91,0,0.48,0.31,"20d rel-strength low (-32.22, 0pct); dist from 20d high low (-31.49, 0pct); morning move high (+5.09, 100pct)"
