bucket,symbol,patterns,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,weighted_avg_d1
1-2%,PGEL,46,665,1.3098913043478262,1.961,834.469,212.09757908767864,1.2548406015037592
1-2%,GLAXO,63,591,1.443031746031746,1.986,824.688,262.9603930659197,1.3954111675126906
1-2%,PRESTIGE,52,655,1.2818846153846155,1.801,816.628,222.82630078921878,1.2467603053435115
1-2%,CARTRADE,52,616,1.3831538461538462,1.98,815.335,228.27097533780835,1.3235957792207793
1-2%,CAPLIPOINT,41,615,1.3856585365853658,1.989,809.986,203.49786931384764,1.3170504065040651
1-2%,FLUOROCHEM,56,591,1.3787857142857143,1.952,809.664,240.8949759768609,1.369989847715736
1-2%,TEGA,55,605,1.3897818181818182,1.961,801.69,239.27713843915987,1.3251074380165289
1-2%,AMBER,50,604,1.3906,1.987,800.612,228.51452568342322,1.3255165562913906
1-2%,NEULANDLAB,36,594,1.391,1.965,791.556,190.79297719980303,1.3325858585858588
1-2%,FINCABLES,41,576,1.3889756097560975,1.905,791.011,205.268604783615,1.373282986111111
1-2%,JYOTICNC,51,643,1.2953529411764706,1.972,778.412,216.83698553080967,1.2105940902021775
1-2%,ACUTAAS,43,598,1.3300232558139535,1.942,776.847,198.54484953027452,1.2990752508361203
1-2%,MOTILALOFS,41,616,1.313780487804878,1.95,765.8919999999999,194.5289623767527,1.2433311688311688
1-2%,ECLERX,42,605,1.3244761904761906,1.958,763.443,193.19422429193028,1.261889256198347
1-2%,MRPL,40,561,1.4029500000000001,1.981,762.1610000000001,195.03216806362386,1.3585757575757578
1-2%,PPLPHARMA,44,572,1.3803409090909091,1.959,760.445,206.79295660331243,1.329449300699301
1-2%,SHYAMMETL,48,564,1.4255208333333333,1.96,759.467,215.51638619020605,1.346572695035461
1-2%,SYRMA,45,591,1.3481333333333332,1.981,759.288,201.1574496353107,1.284751269035533
1-2%,SONATSOFTW,37,596,1.3120270270270271,1.977,758.743,184.63531959876593,1.2730587248322147
1-2%,TATAELXSI,57,527,1.4407719298245614,1.979,756.441,242.41823889933104,1.435371916508539
