pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier,prior_score
FALCPAT_9149,TATAINVEST,35,1.298,1-2%,45.43,7.679071558463302,hit_10pc_20d,other,47.037263286499694,35.380587245184216,11.656676041315478,PROMOTED,volatility (20d ATR%) <= 4.4687 AND volatility (20d ATR%) >= 3.33 AND days with sub-75% volume in last 20 <= 11.5 AND 20d relative strength vs market >= -10.4124,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge,4.651407582116031
FALCPAT_6744,WOCKPHARMA,33,1.319,1-2%,43.527,7.57707813078366,hit_25pc_30d,other,21.38200782268579,9.458155042142677,11.923852780543111,PROMOTED,volatility (20d ATR%) >= 5.1709 AND 60d relative strength vs market >= 22.8979 AND RSI(14) <= 55.01,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",oversold|volatility_expansion|relative_strength,B_broad_edge,4.651269531968717
FALCPAT_7758,KFINTECH,22,1.482,1-2%,32.604,6.951196156058323,hit_10pc_20d,breakout,52.95584651136428,30.24927834188964,22.70656816947464,PROMOTED,5-day return <= 2.5905 AND close position in weekly range >= 0.4818 AND weekly range % <= 16.4858 AND weekly range % >= 6.772,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|compression|recent_weakness|weekly_strength,B_broad_edge,4.646802428007
FALCPAT_8144,JUBLPHARMA,22,1.482,1-2%,32.604,6.951196156058323,hit_15pc_20d,breakout,43.266171792152704,15.52565995111252,27.74051184104018,PROMOTED,volatility (20d ATR%) >= 2.9944 AND close position in weekly range >= 0.53 AND distance from 20-week SMA >= 8.142 AND weekly range % >= 11.9348,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.646802428007
FALCPAT_8248,JUBLPHARMA,22,1.482,1-2%,32.604,6.951196156058323,hit_25pc_30d,breakout,26.31812140008861,7.722364089468664,18.59575731061995,PROMOTED,volatility (20d ATR%) >= 3.475 AND close position in weekly range >= 0.5303 AND distance from 20-week SMA >= 8.1322 AND weekly range % >= 11.9613,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.646802428007
FALCPAT_6721,BDL,98,1.011,1-2%,99.07799999999999,10.008389380914393,hit_15pc_20d,breakout,35.587770758122744,17.450644806122114,18.13712595200063,PROMOTED,volatility (20d ATR%) >= 3.0418 AND 5-day avg volume vs 20-day <= 1.5849 AND close position in weekly range >= 0.6892 AND weekly range % >= 5.6823,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.64566616848607
FALCPAT_7781,ERIS,23,1.46,1-2%,33.58,7.001914024036569,hit_10pc_20d,other,50.7763511495969,30.24927834188964,20.52707280770726,PROMOTED,days with sub-2.5% range in last 7 <= 0.5 AND 5-day return >= -6.6651 AND distance from 20-week SMA <= 3.0555 AND weekly range % <= 9.6609,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",compression,B_broad_edge,4.639958592308001
FALCPAT_8178,ACE,27,1.392,1-2%,37.583999999999996,7.233044172407631,hit_25pc_30d,mean_reversion,15.385307076701734,7.722364089468664,7.6629429872330705,PROMOTED,volatility (20d ATR%) >= 3.0061 AND short-term vol vs longer-term >= 0.8729 AND distance from year-high <= -15.2403 AND RSI(14) <= 33.6661,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high|volatility_expansion,B_broad_edge,4.6384286781638835
FALCPAT_7624,RAILTEL,32,1.326,1-2%,42.432,7.500988734826897,hit_25pc_30d,momentum,10.262257696693272,7.722364089468664,2.539893607224608,PROMOTED,volatility (20d ATR%) >= 3.7134 AND 20d relative strength vs sector <= 0.1828 AND slope of 50-DMA >= 1.7257 AND close position in weekly range <= 0.4448,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close|relative_strength,B_broad_edge,4.636369026504553
FALCPAT_9108,JMFINANCIL,25,1.423,1-2%,35.575,7.115,hit_10pc_20d,capitulation,42.0377358490566,35.380587245184216,6.657148603872387,PROMOTED,volatility (20d ATR%) >= 3.307 AND 60-day return <= -17.1495 AND 20d relative strength vs market <= -11.4042 AND close position in weekly range <= 0.7784,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_weak_close|relative_strength,B_broad_edge,4.636271373604569
