bucket,pattern,symbols,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,rule_family,rule,weighted_avg_d1
1-2%,FALCPAT_8448,35,442,1.3908857142857143,1.999,621.169,165.85100961628928,volatility_expansion|compression|recent_weakness|weekly_strength,days with sub-3% range in last 7 <= 1.5 AND 5-day return <= 10.4381 AND close position in weekly range >= 0.1574 AND weekly range % >= 12.8017,1.4053597285067871
1-2%,FALCPAT_7631,43,464,1.354093023255814,1.981,620.074,181.39366507840268,volatility_expansion|weekly_strength,distance from 200-DMA <= 7.1232 AND close position in weekly range >= 0.4448 AND distance from 20-week SMA <= 9.6939 AND weekly range % >= 9.9626,1.336366379310345
1-2%,FALCPAT_9185,55,452,1.3990727272727272,1.98,618.271,207.75969642463318,volatility_expansion|recent_weakness|relative_strength,volatility (20d ATR%) >= 3.169 AND 5-day return <= -2.0791 AND 60d relative strength vs market <= -10.3896 AND slope of 20-DMA <= -3.6565,1.3678561946902654
1-2%,FALCPAT_7184,40,439,1.428075,1.91,613.894,178.0589890148026,volatility_expansion,distance from 200-DMA <= 15.8607 AND distance from 20-week SMA >= 1.2025 AND weekly range % >= 8.786,1.398391799544419
1-2%,FALCPAT_8397,37,444,1.369081081081081,1.966,613.424,167.4094321321514,pullback_from_high|weekly_strength,distance from 20-day high <= -17.3947 AND distance from year-high <= -10.8368 AND distance from 200-DMA <= 30.4299 AND close position in weekly range >= 0.1992,1.3815855855855856
1-2%,FALCPAT_6819,22,482,1.2949545454545455,1.88,609.619,121.59038485265722,volatility_expansion|weekly_strength|relative_strength,volatility (20d ATR%) >= 2.3312 AND 60d relative strength vs market <= 28.9405 AND close position in weekly range >= 0.3113 AND weekly range % >= 10.1174,1.2647697095435684
1-2%,FALCPAT_7545,28,436,1.4540000000000002,1.889,604.637,149.2094675573708,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 3.6294 AND distance from 120-day high <= -27.4246 AND distance from 50-DMA <= -1.7213 AND 5-day avg volume vs 20-day >= 0.8186,1.3867821100917432
1-2%,FALCPAT_7466,37,453,1.329945945945946,1.881,602.937,168.24365963364696,pullback_from_high|compression|weekly_strength,distance from 10-day high <= -5.5767 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA <= -3.5206 AND weekly range % <= 10.0582,1.330986754966887
1-2%,FALCPAT_8066,42,424,1.42,1.906,601.753,178.85444402503643,oversold|pullback_from_high|volatility_expansion|weekly_weak_close,distance from 20-day high <= -16.1936 AND RSI(14) >= 30.4449 AND close position in weekly range <= 0.4857 AND weekly range % >= 7.862,1.4192287735849054
1-2%,FALCPAT_6288,37,483,1.2974324324324324,1.973,597.062,162.0262468759867,oversold|pullback_from_high,distance from year-high <= -25.9776 AND distance from 20-DMA <= -1.8876 AND RSI(14) <= 27.5641,1.236153209109731
1-2%,FALCPAT_6229,22,442,1.3338181818181818,1.98,590.752,127.80589542116388,pullback_from_high|recent_weakness|relative_strength,distance from 120-day high <= -7.3598 AND distance from 50-DMA <= -0.4667 AND 5-day return <= -5.5714 AND 60d relative strength vs sector <= -3.1676,1.3365429864253393
1-2%,FALCPAT_9188,30,439,1.3242,1.948,588.128,141.83793999160451,volatility_expansion|relative_strength,volatility (20d ATR%) >= 4.4699 AND 60d relative strength vs market <= -10.3896 AND slope of 20-DMA >= -3.6565,1.3396993166287017
1-2%,FALCPAT_6791,29,454,1.2922413793103449,1.981,587.563,141.59078920134905,pullback_from_high|volatility_expansion|weekly_weak_close,volatility (20d ATR%) >= 2.2162 AND distance from 20-day high <= -15.1797 AND close position in weekly range <= 0.6276 AND distance from 20-week SMA <= 9.4222,1.2941916299559468
1-2%,FALCPAT_8196,31,429,1.4256129032258065,1.992,586.4780000000001,153.7855831413928,pullback_from_high|volatility_expansion|weekly_weak_close,volatility (20d ATR%) >= 2.975 AND distance from 120-day high <= -25.2233 AND close position in weekly range <= 0.4434 AND weekly range % >= 6.6019,1.367081585081585
1-2%,FALCPAT_8645,51,442,1.371705882352941,1.984,583.502,193.46277649826308,volatility_expansion|recent_weakness|weekly_strength,volatility (20d ATR%) >= 3.4331 AND 5-day return <= 7.1233 AND close position in weekly range >= 0.6079 AND weekly range % >= 11.7238,1.320140271493213
1-2%,FALCPAT_7941,34,443,1.341029411764706,1.98,583.145,153.1978087617079,pullback_from_high|volatility_expansion|recent_weakness|weekly_strength,distance from 10-day high <= -3.8795 AND 60-day return <= 12.7797 AND close position in weekly range >= 0.4131 AND weekly range % >= 7.8994,1.316354401805869
1-2%,FALCPAT_8199,29,446,1.309896551724138,1.996,578.622,143.14256904912324,pullback_from_high|volatility_expansion|weekly_strength|relative_strength,volatility (20d ATR%) >= 2.975 AND distance from 120-day high <= -26.1604 AND 60d relative strength vs market >= -22.1244 AND close position in weekly range >= 0.4434,1.2973587443946188
1-2%,FALCPAT_6575,36,429,1.3662777777777777,1.949,574.744,160.78332474731317,recent_weakness,distance from 200-DMA <= -16.3941 AND 60-day return <= -12.5577,1.3397296037296038
1-2%,FALCPAT_6295,28,439,1.3444285714285713,1.959,574.498,141.25191037142758,recent_weakness|relative_strength,distance from 200-DMA <= -7.8665 AND 60-day return <= -15.5387 AND 60d relative strength vs market <= -12.8744,1.3086514806378131
1-2%,FALCPAT_9005,25,450,1.3248,1.936,568.962,125.24500432705578,volatility_expansion|relative_strength,volatility (20d ATR%) >= 4.1414 AND 60d relative strength vs sector <= 15.164 AND weekly range % >= 9.1665,1.26436
1-2%,FALCPAT_8171,36,433,1.360388888888889,1.93,568.91,159.73518712163684,volatility_expansion|weekly_strength,volatility (20d ATR%) >= 3.3699 AND slope of 50-DMA <= -1.3271 AND close position in weekly range >= 0.5672 AND distance from 20-week SMA <= -0.524,1.3138799076212473
1-2%,FALCPAT_7086,26,415,1.417769230769231,1.952,568.577,136.28192612535645,volatility_expansion|weekly_strength,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high >= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,1.3700650602409639
1-2%,FALCPAT_9494,23,418,1.3485652173913043,1.949,567.192,124.3227536462973,volatility_expansion|recent_weakness|relative_strength,volatility (20d ATR%) >= 3.0551 AND days with sub-75% volume in last 20 >= 7.5 AND 60-day return <= -12.4053 AND 60d relative strength vs sector >= -20.1105,1.356918660287081
1-2%,FALCPAT_7618,45,441,1.3260444444444444,1.999,566.907,174.12910480697528,volatility_expansion|compression|recent_weakness|weekly_strength,5-day return <= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % <= 14.1572 AND weekly range % >= 9.062,1.285503401360544
1-2%,FALCPAT_8079,38,417,1.3980526315789472,1.999,560.892,165.36547993341358,volatility_expansion|recent_weakness,volatility (20d ATR%) >= 3.2695 AND 20-day return <= -13.6233 AND 5-day avg volume vs 20-day >= 0.6358 AND distance from 20-week SMA <= 3.4062,1.345064748201439
1-2%,FALCPAT_8546,45,428,1.3568666666666667,1.884,558.219,173.14544979485044,volatility_expansion|weekly_strength|weekly_weak_close,volatility (20d ATR%) >= 3.4337 AND close position in weekly range <= 0.7802 AND close position in weekly range >= 0.282 AND weekly range % >= 13.9527,1.30425
1-2%,FALCPAT_8373,32,402,1.3741875,1.97,557.742,150.15894648351505,pullback_from_high|volatility_expansion|relative_strength,distance from 120-day high <= -14.4514 AND 20d relative strength vs market >= -5.828 AND distance from 20-week SMA <= 30.0974 AND weekly range % >= 9.6165,1.387417910447761
1-2%,FALCPAT_9528,38,391,1.425842105263158,1.97,556.368,166.7307968877156,pullback_from_high|volatility_expansion|relative_strength,volatility (20d ATR%) >= 3.347 AND distance from 120-day high <= -28.3924 AND 20d relative strength vs market <= -10.0472,1.422936061381074
1-2%,FALCPAT_8450,26,422,1.3145,1.941,555.933,125.82317596500822,volatility_expansion|weekly_strength,5-day return >= 10.4381 AND close position in weekly range >= 0.1574 AND weekly range % >= 12.8017,1.3173767772511846
1-2%,FALCPAT_7112,29,444,1.284344827586207,1.75,552.367,136.85517374313474,pullback_from_high|volatility_expansion|weekly_strength,distance from 10-day high <= -8.1051 AND days with sub-75% volume in last 7 >= 2.5 AND close position in weekly range >= 0.2193 AND weekly range % >= 5.8433,1.2440698198198197
1-2%,FALCPAT_7561,34,435,1.374235294117647,1.915,552.2,149.90669135604224,pullback_from_high,distance from 120-day high <= -32.6468 AND distance from year-high >= -59.8465 AND distance from 20-week SMA <= 12.5677,1.2694252873563214
1-2%,FALCPAT_9545,34,453,1.2782647058823529,1.945,551.717,145.7368975082867,pullback_from_high|volatility_expansion|compression|weekly_strength,volatility (20d ATR%) >= 3.3204 AND distance from year-high <= -19.8681 AND close position in weekly range >= 0.6786 AND weekly range % <= 8.9567,1.2179183222958059
1-2%,FALCPAT_7786,26,427,1.326769230769231,1.924,550.4350000000001,131.4909939385341,compression,days with sub-2.5% range in last 7 <= 0.5 AND distance from 20-week SMA <= 3.0555 AND weekly range % <= 9.0613,1.2890749414519904
1-2%,FALCPAT_8269,30,416,1.3744666666666667,1.947,545.956,141.93401347140966,pullback_from_high|compression|relative_strength,distance from year-high <= -32.38 AND distance from 60-day high <= -19.3918 AND days with sub-3% range in last 7 <= 3.5 AND 60d relative strength vs sector <= 1.7032,1.3123942307692311
1-2%,FALCPAT_8065,47,400,1.3973829787234044,1.917,542.578,183.36311444270507,oversold|pullback_from_high|volatility_expansion|weekly_weak_close,distance from 20-day high <= -16.1936 AND RSI(14) <= 30.4449 AND close position in weekly range <= 0.4857 AND weekly range % >= 7.862,1.356445
1-2%,FALCPAT_8445,25,416,1.33412,1.981,541.49,126.68713991317925,volatility_expansion|compression|relative_strength,60d relative strength vs market <= -12.6624 AND distance from 20-week SMA <= -1.5679 AND weekly range % <= 12.8017 AND weekly range % >= 5.5108,1.3016586538461539
1-2%,FALCPAT_8455,45,411,1.3584222222222222,1.904,538.57,174.73701376564856,pullback_from_high|volatility_expansion|weekly_strength,volatility (20d ATR%) >= 3.5945 AND distance from 60-day high <= -22.0998 AND slope of 20-DMA <= -1.3013 AND close position in weekly range >= 0.7018,1.310389294403893
1-2%,FALCPAT_7972,37,421,1.2882972972972973,1.844,534.793,151.205263202423,volatility_expansion|weekly_strength|weekly_weak_close,days with sub-75% volume in last 20 <= 10.5 AND close position in weekly range <= 0.7255 AND close position in weekly range >= 0.2793 AND weekly range % >= 9.1882,1.2702921615201903
1-2%,FALCPAT_9123,35,405,1.3720857142857141,1.971,531.369,152.86883648016084,pullback_from_high|volatility_expansion|weekly_strength,volatility (20d ATR%) >= 3.4326 AND distance from year-high <= -21.3469 AND close position in weekly range >= 0.8244 AND distance from 20-week SMA <= 3.36,1.312022222222222
1-2%,FALCPAT_8646,27,395,1.3442222222222222,1.909,523.625,126.61127818525844,volatility_expansion|weekly_strength,volatility (20d ATR%) >= 3.4331 AND 5-day return >= 7.1233 AND close position in weekly range >= 0.6079 AND weekly range % >= 11.7238,1.3256329113924048
1-2%,FALCPAT_6346,27,421,1.2673333333333332,1.933,523.079,121.3525872002284,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 3.6491 AND distance from 20-day high <= -9.0485 AND distance from year-high <= -24.4198 AND distance from year-high >= -45.8435,1.2424679334916864
1-2%,FALCPAT_7208,34,401,1.3171176470588235,1.75,520.659,145.25863384078312,volatility_expansion,distance from 200-DMA <= 17.8236 AND days with sub-75% volume in last 7 >= 3.5 AND distance from 20-week SMA <= 2.9036 AND weekly range % >= 8.017,1.2984014962593515
1-2%,FALCPAT_7740,45,379,1.365911111111111,1.94,519.8969999999999,171.45378454902811,volatility_expansion|recent_weakness|weekly_strength,5-day return <= 4.1146 AND close position in weekly range >= 0.7385 AND weekly range % >= 8.6398,1.3717598944591027
1-2%,FALCPAT_8364,17,403,1.3136470588235294,1.899,517.626,99.79351527134257,volatility_expansion|recent_weakness|weekly_strength,60-day return <= 32.9608 AND close position in weekly range >= 0.6135 AND distance from 20-week SMA <= 36.7502 AND weekly range % >= 9.6242,1.2844317617866003
1-2%,FALCPAT_7712,19,429,1.339157894736842,1.755,515.501,102.11226340538184,volatility_expansion|weekly_weak_close,volatility (20d ATR%) >= 2.6034 AND close position in weekly range <= 0.58 AND distance from 20-week SMA >= 17.526 AND weekly range % >= 8.5261,1.2016340326340327
1-2%,FALCPAT_8097,25,392,1.32848,1.93,515.1610000000001,123.17654864797987,pullback_from_high|volatility_expansion|weekly_weak_close,volatility (20d ATR%) >= 3.1155 AND distance from 120-day high <= -26.859 AND distance from 120-day high >= -40.3071 AND close position in weekly range <= 0.53,1.3141862244897957
1-2%,FALCPAT_9517,32,389,1.36790625,1.951,514.677,145.39419727868932,volatility_expansion|weekly_strength,volatility (20d ATR%) >= 3.3726 AND days with sub-75% volume in last 7 >= 0.5 AND slope of 20-DMA <= -1.942 AND close position in weekly range >= 0.7978,1.323077120822622
1-2%,FALCPAT_7471,34,388,1.3840588235294118,1.944,512.351,146.97972054555842,volatility_expansion|weekly_strength|relative_strength,60d relative strength vs sector >= -5.1916 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA <= 19.4889 AND weekly range % >= 10.0582,1.3204922680412372
1-2%,FALCPAT_7799,35,409,1.3385714285714285,1.972,511.664,141.68086561164924,oversold|volatility_expansion|weekly_strength,volatility (20d ATR%) >= 2.6195 AND RSI(14) <= 75.3615 AND close position in weekly range >= 0.5082 AND weekly range % >= 10.9427,1.2510122249388753
1-2%,FALCPAT_6657,37,406,1.3074054054054054,1.96,508.66700000000003,150.69827118617349,volatility_expansion,volatility (20d ATR%) >= 3.2273 AND days with sub-75% volume in last 7 <= 3.5 AND slope of 50-DMA <= -2.14 AND distance from 20-week SMA <= -7.067,1.2528743842364534
1-2%,FALCPAT_9567,35,365,1.4452857142857143,1.978,507.43399999999997,153.58294084638436,pullback_from_high|volatility_expansion|recent_weakness|weekly_weak_close,volatility (20d ATR%) >= 3.5761 AND distance from year-high <= -27.4711 AND 60-day return <= -25.4389 AND close position in weekly range <= 0.767,1.3902301369863013
1-2%,FALCPAT_8668,29,369,1.4095862068965517,1.916,506.864,136.2343211998461,pullback_from_high|volatility_expansion|relative_strength,volatility (20d ATR%) >= 4.2698 AND distance from year-high <= -30.0108 AND 60d relative strength vs sector <= -0.0247,1.3736151761517617
1-2%,FALCPAT_9170,29,408,1.2811724137931033,1.687,505.871,127.82974778009263,pullback_from_high|volatility_expansion|relative_strength,volatility (20d ATR%) >= 3.3868 AND distance from 120-day high <= -32.2658 AND distance from year-high <= -26.8517 AND 60d relative strength vs sector >= -32.2112,1.2398799019607845
1-2%,FALCPAT_7976,29,391,1.3058620689655172,1.779,501.329,131.75966581111214,volatility_expansion|compression|weekly_strength,volatility (20d ATR%) >= 2.9808 AND days with sub-3% range in last 7 <= 3.5 AND close position in weekly range >= 0.7255 AND distance from 20-week SMA <= -3.6827,1.282171355498721
1-2%,FALCPAT_8811,24,405,1.3334583333333334,1.891,500.01800000000003,120.1595828738269,pullback_from_high|volatility_expansion|weekly_strength,volatility (20d ATR%) >= 4.0778 AND distance from year-high <= -38.1461 AND days with sub-75% volume in last 20 <= 15.5 AND close position in weekly range >= 0.057,1.2346123456790123
1-2%,FALCPAT_9108,44,359,1.3881818181818182,1.954,499.817,167.04672081407887,volatility_expansion|recent_weakness|weekly_weak_close|relative_strength,volatility (20d ATR%) >= 3.307 AND 60-day return <= -17.1495 AND 20d relative strength vs market <= -11.4042 AND close position in weekly range <= 0.7784,1.39224791086351
1-2%,FALCPAT_9460,34,396,1.278294117647059,1.901,497.636,136.15847984187772,volatility_expansion|weekly_strength,volatility (20d ATR%) >= 2.5731 AND distance from year-high >= -52.5716 AND close position in weekly range >= 0.4709 AND weekly range % >= 12.3243,1.2566565656565658
1-2%,FALCPAT_6251,35,350,1.4334857142857143,1.979,496.421,150.56969470258835,volatility_expansion|recent_weakness|relative_strength,volatility (20d ATR%) >= 2.2352 AND distance from 50-DMA <= -12.9875 AND 60-day return <= -3.7201 AND 60d relative strength vs sector <= -4.494,1.418345714285714
1-2%,FALCPAT_9445,26,400,1.279923076923077,1.866,496.141,121.60637297136769,volatility_expansion|relative_strength,volatility (20d ATR%) >= 4.2366 AND distance from 200-DMA <= 4.8483 AND 20d relative strength vs market <= 9.0401 AND 60d relative strength vs sector <= -10.5818,1.2403525
1-2%,FALCPAT_8733,31,373,1.360516129032258,1.975,494.698,138.72647817727935,volatility_expansion|recent_weakness|weekly_weak_close,volatility (20d ATR%) >= 4.3311 AND 60-day return <= -20.5526 AND close position in weekly range <= 0.7189,1.3262680965147453
1-2%,FALCPAT_8789,26,399,1.2568846153846154,1.669,492.88599999999997,118.96152518213589,volatility_expansion|recent_weakness,volatility (20d ATR%) >= 3.7914 AND distance from 200-DMA <= -4.7543 AND 60-day return <= 41.0247 AND slope of 20-DMA >= -0.7126,1.2353032581453631
1-2%,FALCPAT_8406,34,346,1.4248823529411765,1.981,488.873,147.1702571105136,volatility_expansion|recent_weakness|weekly_strength,60-day return <= 31.9685 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA <= 8.8666 AND weekly range % >= 9.4741,1.41292774566474
1-2%,FALCPAT_7870,32,379,1.32921875,1.856,487.08299999999997,137.2984068323257,volatility_expansion|weekly_weak_close,slope of 20-DMA <= -0.8982 AND close position in weekly range <= 0.5692 AND weekly range % >= 9.2163,1.2851794195250659
1-2%,FALCPAT_8744,26,378,1.3894615384615383,1.981,483.988,122.09189788995955,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 4.0285 AND distance from year-high <= -34.3354 AND distance from year-high >= -42.9337 AND days with sub-75% volume in last 20 <= 15.5,1.2803915343915344
1-2%,FALCPAT_8766,35,329,1.5114,1.982,482.532,154.89200534474907,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 3.6888 AND distance from 20-day high <= -19.8967 AND distance from year-high >= -45.8202 AND distance from 60-day high <= -28.1363,1.4666626139817631
