pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_9568,ZENSARTECH,50,1.06,1-2%,53.0,7.495331880577404,hit_15pc_20d,capitulation,29.835552075176192,19.56237142322798,10.273180651948213,PROMOTED,volatility (20d ATR%) >= 3.5761 AND distance from year-high <= -27.4711 AND 60-day return >= -25.4389 AND close position in weekly range <= 0.767,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close,B_broad_edge
FALCPAT_7086,HUDCO,33,1.606,1-2%,52.998000000000005,9.225767610340075,hit_10pc_20d,breakout,52.87215020116227,32.698883353500555,20.173266847661715,PROMOTED,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high >= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_8043,KALYANKJIL,47,1.123,1-2%,52.781,7.698900116250372,hit_15pc_20d,breakout,35.85526315789473,15.52565995111252,20.329603206782217,PROMOTED,days with sub-3% range in last 7 <= 3.5 AND slope of 50-DMA >= 1.6719 AND close position in weekly range >= 0.841,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",compression|weekly_strength,B_broad_edge
FALCPAT_8000,KALYANKJIL,47,1.123,1-2%,52.781,7.698900116250372,hit_10pc_20d,breakout,56.213017751479285,30.24927834188964,25.96373940958965,PROMOTED,days with sub-3% range in last 7 <= 3.5 AND slope of 50-DMA >= 1.6679 AND close position in weekly range >= 0.841,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",compression|weekly_strength,B_broad_edge
FALCPAT_7086,IOB,13,4.056,2-5%,52.728,14.62411597328194,hit_10pc_20d,breakout,52.87215020116227,32.698883353500555,20.173266847661715,PROMOTED,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high >= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge
FALCPAT_8805,MMTC,27,1.949,1-2%,52.623000000000005,10.127301071855227,hit_40pc_40d,other,9.295570079883806,4.088422971741112,5.207147108142693,PROMOTED,volatility (20d ATR%) >= 4.0043 AND distance from 60-day high >= -14.6925 AND 20d relative strength vs sector <= 3.4595 AND slope of 50-DMA >= -0.3461,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge
FALCPAT_9542,VIJAYA,46,1.143,1-2%,52.578,7.752203170712182,hit_10pc_20d,capitulation,46.35887672536887,35.380587245184216,10.978289480184657,PROMOTED,volatility (20d ATR%) >= 3.3204 AND distance from 120-day high <= -25.8628 AND 60-day return >= -24.9121 AND close position in weekly range <= 0.6786,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close,B_broad_edge
FALCPAT_9367,PAYTM,49,1.071,1-2%,52.479,7.497,hit_15pc_20d,other,32.49036608863199,19.56237142322798,12.927994665404006,PROMOTED,volatility (20d ATR%) <= 5.2642 AND volatility (20d ATR%) >= 4.3375 AND close position in weekly range <= 0.7694 AND weekly range % >= 6.038,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close,B_broad_edge
FALCPAT_7509,ITI,34,1.543,1-2%,52.461999999999996,8.997158773746298,hit_10pc_20d,breakout,62.89053885172389,32.698883353500555,30.19165549822333,PROMOTED,20d relative strength vs sector >= -6.5723 AND close position in weekly range >= 0.5525 AND distance from 20-week SMA >= 9.1498 AND weekly range % >= 9.6217,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|relative_strength,B_broad_edge
FALCPAT_6166,HBLENGINE,46,1.14,1-2%,52.44,7.731856180762805,hit_15pc_20d,capitulation,29.876298345425127,18.31582194494749,11.560476400477636,PROMOTED,volatility (20d ATR%) >= 2.3998 AND distance from 10-day high <= -10.5311 AND distance from year-high <= -22.7827 AND distance from 200-DMA <= 26.4245,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_6431,HBLENGINE,43,1.219,1-2%,52.417,7.993517561124139,hit_15pc_20d,other,24.274961257471773,18.31582194494749,5.959139312524281,PROMOTED,volatility (20d ATR%) >= 2.6908 AND distance from 60-day high <= -15.9195 AND 60d relative strength vs market <= -12.3114 AND close position in weekly range <= 0.7316,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close|relative_strength,B_broad_edge
FALCPAT_7179,FACT,44,1.19,1-2%,52.36,7.893567001045851,hit_15pc_20d,breakout,38.99428694621106,17.450644806122114,21.543642140088945,PROMOTED,volatility (20d ATR%) >= 2.9331 AND close position in weekly range >= 0.6044 AND distance from 20-week SMA <= 21.1347 AND weekly range % >= 9.6857,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_6335,GRSE,49,1.067,1-2%,52.282999999999994,7.468999999999999,hit_10pc_20d,breakout,45.24786019971469,34.00746195228712,11.24039824742758,PROMOTED,distance from year-high >= -29.2888 AND distance from 200-DMA >= -21.0968 AND 20d relative strength vs market >= -3.6469 AND close position in weekly range >= 0.8003,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",weekly_strength|relative_strength,B_broad_edge
FALCPAT_8580,CREDITACC,43,1.215,1-2%,52.245000000000005,7.967287807026931,hit_10pc_20d,other,42.05048352729061,30.24927834188964,11.80120518540097,PROMOTED,volatility (20d ATR%) >= 4.2758 AND close position in weekly range <= 0.3549,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close,B_broad_edge
FALCPAT_7927,DOMS,48,1.087,1-2%,52.176,7.530956911309477,hit_40pc_40d,other,8.756319514661275,2.9651372889629943,5.79118222569828,PROMOTED,volatility (20d ATR%) >= 4.4601 AND distance from 200-DMA <= 95.5379 AND RSI(14) <= 52.874,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",oversold|volatility_expansion,B_broad_edge
FALCPAT_8687,VIJAYA,35,1.49,1-2%,52.15,8.814958876818428,hit_15pc_20d,other,28.155339805825243,19.56237142322798,8.592968382597263,PROMOTED,volatility (20d ATR%) >= 4.2731 AND 60d relative strength vs sector <= -5.334 AND close position in weekly range <= 0.4939,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close|relative_strength,B_broad_edge
FALCPAT_8414,PGEL,25,2.084,2-5%,52.1,10.42,hit_25pc_30d,other,10.30358785648574,7.722364089468664,2.581223767017077,PROMOTED,volatility (20d ATR%) >= 3.5179 AND distance from 200-DMA >= 15.007 AND 60-day return <= 14.8289 AND weekly range % >= 10.4517,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness,A_high_edge
FALCPAT_9128,GRSE,35,1.488,1-2%,52.08,8.803126717252228,hit_15pc_20d,breakout,40.94025465230167,19.56237142322798,21.37788322907369,PROMOTED,volatility (20d ATR%) >= 3.4326 AND distance from year-high >= -21.3469 AND close position in weekly range >= 0.7406 AND weekly range % >= 10.6698,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_8259,JUBLPHARMA,50,1.041,1-2%,52.05,7.360981592151959,hit_10pc_20d,breakout,45.7293868921776,30.24927834188964,15.480108550287952,PROMOTED,volatility (20d ATR%) <= 4.4758 AND close position in weekly range >= 0.7137 AND distance from 20-week SMA >= 5.5234 AND weekly range % >= 6.0735,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_8964,FACT,29,1.792,1-2%,51.968,9.650215334385031,hit_25pc_30d,breakout,21.247113163972287,10.408532325017468,10.83858083895482,PROMOTED,volatility (20d ATR%) >= 3.3871 AND distance from 200-DMA <= 45.8366 AND distance from 200-DMA >= 28.1487 AND distance from 20-week SMA >= 12.7635,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,B_broad_edge
FALCPAT_6346,ACE,50,1.039,1-2%,51.949999999999996,7.346839456528229,hit_15pc_20d,capitulation,30.382466695315856,18.31582194494749,12.066644750368368,PROMOTED,volatility (20d ATR%) >= 3.6491 AND distance from 20-day high <= -9.0485 AND distance from year-high <= -24.4198 AND distance from year-high >= -45.8435,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_8964,IDEA,28,1.854,1-2%,51.912000000000006,9.810445861427503,hit_25pc_30d,breakout,21.247113163972287,10.408532325017468,10.83858083895482,PROMOTED,volatility (20d ATR%) >= 3.3871 AND distance from 200-DMA <= 45.8366 AND distance from 200-DMA >= 28.1487 AND distance from 20-week SMA >= 12.7635,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,B_broad_edge
FALCPAT_8456,ERIS,47,1.102,1-2%,51.794000000000004,7.554931369641951,hit_10pc_20d,breakout,58.11772315653299,30.24927834188964,27.868444814643347,PROMOTED,volatility (20d ATR%) >= 3.5945 AND distance from 200-DMA <= 49.2549 AND slope of 20-DMA >= -1.3013 AND close position in weekly range >= 0.7018,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_9446,DOMS,32,1.616,1-2%,51.712,9.141476467179688,hit_25pc_30d,other,21.788502484031227,10.408532325017468,11.37997015901376,PROMOTED,volatility (20d ATR%) >= 4.2366 AND distance from 200-DMA <= 4.8483 AND 20d relative strength vs market <= 9.0401 AND 60d relative strength vs sector >= -10.5818,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge
FALCPAT_6166,POLICYBZR,28,1.846,1-2%,51.688,9.76811384045047,hit_15pc_20d,capitulation,29.876298345425127,18.31582194494749,11.560476400477636,PROMOTED,volatility (20d ATR%) >= 2.3998 AND distance from 10-day high <= -10.5311 AND distance from year-high <= -22.7827 AND distance from 200-DMA <= 26.4245,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_8597,GRAVITA,48,1.076,1-2%,51.648,7.454746675776448,hit_15pc_20d,other,44.631117604090576,19.56237142322798,25.0687461808626,PROMOTED,volatility (20d ATR%) >= 4.4669 AND days with sub-75% volume in last 20 >= 12.5 AND close position in weekly range >= 0.4229,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_8211,WOCKPHARMA,46,1.122,1-2%,51.612,7.609774241066551,hit_15pc_20d,other,37.890338660020525,15.52565995111252,22.364678708908,PROMOTED,volatility (20d ATR%) >= 2.8187 AND slope of 50-DMA <= 3.0696 AND close position in weekly range >= 0.4392 AND weekly range % >= 10.3769,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_7694,SOBHA,25,2.062,2-5%,51.55,10.309999999999999,hit_10pc_20d,breakout,49.31007550117157,32.698883353500555,16.611192147671012,PROMOTED,volatility (20d ATR%) >= 2.5871 AND close position in weekly range <= 0.6838 AND close position in weekly range >= 0.498 AND weekly range % >= 8.5178,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,A_high_edge
FALCPAT_7200,IFCI,45,1.145,1-2%,51.525,7.680893502711778,hit_25pc_30d,breakout,29.44900014386419,9.458155042142677,19.990845101721515,PROMOTED,distance from 50-DMA <= 31.3804 AND close position in weekly range >= 0.2462 AND distance from 20-week SMA >= 21.4949 AND weekly range % >= 10.7355,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_8966,LAURUSLABS,27,1.908,1-2%,51.516,9.914258822524253,hit_10pc_20d,capitulation,48.081324895651,35.380587245184216,12.700737650466786,PROMOTED,volatility (20d ATR%) >= 3.5669 AND distance from 120-day high <= -15.7106 AND days with sub-3% range in last 7 <= 3.5 AND close position in weekly range <= 0.6536,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|compression|weekly_weak_close,B_broad_edge
FALCPAT_8198,FACT,35,1.471,1-2%,51.485,8.702553360939536,hit_10pc_20d,capitulation,63.69467607440667,30.24927834188964,33.44539773251704,PROMOTED,volatility (20d ATR%) >= 2.975 AND distance from 120-day high <= -26.1604 AND 60d relative strength vs market <= -22.1244 AND close position in weekly range >= 0.4434,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength|relative_strength,B_broad_edge
FALCPAT_7621,JINDALSAW,40,1.287,1-2%,51.48,8.139702697273409,hit_10pc_20d,breakout,48.444231689803736,30.24927834188964,18.19495334791409,PROMOTED,distance from 50-DMA >= 14.898 AND 5-day return >= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % >= 9.062,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_6229,VIJAYA,26,1.98,1-2%,51.48,10.096058636913714,hit_25pc_30d,mean_reversion,15.949290673105946,10.722915258072424,5.226375415033521,PROMOTED,distance from 120-day high <= -7.3598 AND distance from 50-DMA <= -0.4667 AND 5-day return <= -5.5714 AND 60d relative strength vs sector <= -3.1676,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|recent_weakness|relative_strength,B_broad_edge
FALCPAT_8618,GODREJIND,32,1.608,1-2%,51.456,9.096221633183749,hit_25pc_30d,other,23.007730147575543,7.722364089468664,15.28536605810688,PROMOTED,volatility (20d ATR%) >= 4.5898 AND close position in weekly range >= 0.3905 AND weekly range % <= 12.8291,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|compression|weekly_strength,B_broad_edge
FALCPAT_7514,KFINTECH,45,1.142,1-2%,51.38999999999999,7.660768890914279,hit_15pc_20d,capitulation,32.985991304947895,17.450644806122114,15.535346498825785,PROMOTED,volatility (20d ATR%) >= 3.6302 AND distance from year-high <= -24.7275 AND slope of 50-DMA <= -0.072 AND distance from 20-week SMA <= 13.8145,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_8371,LODHA,34,1.51,1-2%,51.34,8.804737361216404,hit_25pc_30d,other,15.17162905366964,7.722364089468664,7.4492649642009745,PROMOTED,distance from 200-DMA <= 33.9899 AND 20d relative strength vs market <= -5.828 AND distance from 20-week SMA <= 30.0974 AND weekly range % >= 9.6165,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge
FALCPAT_6871,SAREGAMA,41,1.251,1-2%,51.291,8.010308421028492,hit_25pc_30d,other,17.85739623980135,9.458155042142677,8.399241197658673,PROMOTED,volatility (20d ATR%) >= 2.3083 AND distance from 20-day high <= -16.8359 AND distance from 200-DMA <= 20.5254 AND distance from 20-week SMA <= 8.4893,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_6288,OLECTRA,46,1.115,1-2%,51.29,7.562297931184674,hit_15pc_20d,capitulation,23.063533507397736,18.31582194494749,4.747711562450246,PROMOTED,distance from year-high <= -25.9776 AND distance from 20-DMA <= -1.8876 AND RSI(14) <= 27.5641,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high,B_broad_edge
FALCPAT_6514,VIJAYA,21,2.442,2-5%,51.282000000000004,11.190649847082161,hit_15pc_20d,other,28.28100008418217,18.31582194494749,9.965178139234682,PROMOTED,distance from 10-day high <= -5.1995 AND 60d relative strength vs market <= -13.9851 AND weekly range % >= 5.3499,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|relative_strength,A_high_edge
FALCPAT_8970,IOB,10,5.123,5-10%,51.230000000000004,16.200348453042608,,,,,,,,,other,A_high_edge
