pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_7160,AEGISLOG,4,4.249,2-5%,16.996,8.498,hit_10pc_20d,capitulation,47.661141804788215,32.698883353500555,14.962258451287658,PROMOTED,volatility (20d ATR%) >= 2.2284 AND distance from 120-day high <= -32.8368 AND close position in weekly range <= 0.5467 AND distance from 20-week SMA <= 8.4216,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close,ignore
FALCPAT_9403,AEGISLOG,4,4.249,2-5%,16.996,8.498,hit_15pc_20d,capitulation,46.963824289405686,19.56237142322798,27.40145286617771,PROMOTED,volatility (20d ATR%) >= 3.3506 AND distance from 120-day high <= -34.8035 AND slope of 50-DMA <= 0.2647,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,ignore
FALCPAT_8525,HINDCOPPER,5,4.245,2-5%,21.225,9.492108564486609,,,,,,,,,other,ignore
FALCPAT_9210,POWERINDIA,4,4.239,2-5%,16.956,8.478,hit_10pc_20d,other,66.83006535947712,35.380587245184216,31.449478114292905,PROMOTED,volatility (20d ATR%) >= 3.2014 AND 60d relative strength vs market <= -9.7985 AND slope of 20-DMA <= -5.1315 AND close position in weekly range >= 0.1404,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|relative_strength,ignore
FALCPAT_8138,PGEL,4,4.238,2-5%,16.952,8.476,hit_15pc_20d,capitulation,32.26495726495727,15.52565995111252,16.739297313844748,PROMOTED,volatility (20d ATR%) >= 3.7778 AND distance from year-high <= -38.3916 AND close position in weekly range <= 0.53,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close,ignore
FALCPAT_7764,POONAWALLA,7,4.237,2-5%,29.659,11.21004830498067,hit_15pc_20d,other,43.37478559176672,15.52565995111252,27.849125640654204,PROMOTED,volatility (20d ATR%) >= 3.4791 AND close position in weekly range >= 0.2163 AND distance from 20-week SMA <= 11.1709 AND weekly range % >= 13.6861,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8547,POONAWALLA,7,4.237,2-5%,29.659,11.21004830498067,hit_40pc_40d,breakout,16.18874773139746,2.9651372889629943,13.223610442434468,PROMOTED,volatility (20d ATR%) >= 3.4337 AND close position in weekly range >= 0.7802 AND weekly range % >= 13.9527,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_9528,LAURUSLABS,4,4.236,2-5%,16.944,8.472,hit_25pc_30d,capitulation,18.63636363636364,10.408532325017468,8.227831311346169,PROMOTED,volatility (20d ATR%) >= 3.347 AND distance from 120-day high <= -28.3924 AND 20d relative strength vs market <= -10.0472,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|relative_strength,ignore
FALCPAT_7764,INTELLECT,6,4.235,2-5%,25.410000000000004,10.37358906068676,hit_15pc_20d,other,43.37478559176672,15.52565995111252,27.849125640654204,PROMOTED,volatility (20d ATR%) >= 3.4791 AND close position in weekly range >= 0.2163 AND distance from 20-week SMA <= 11.1709 AND weekly range % >= 13.6861,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8462,GODFRYPHLP,7,4.231,2-5%,29.616999999999997,11.194173797114283,hit_15pc_20d,other,42.62422360248447,15.52565995111252,27.09856365137196,PROMOTED,slope of 50-DMA <= 0.4452 AND close position in weekly range >= 0.2196 AND weekly range % >= 12.8017,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_9061,CGPOWER,3,4.229,2-5%,12.687000000000001,7.324842865208782,hit_15pc_20d,other,44.18604651162791,19.56237142322798,24.623675088399928,PROMOTED,volatility (20d ATR%) >= 5.9082 AND distance from 20-week SMA <= -16.5781,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,ignore
FALCPAT_7004,TATAINVEST,3,4.228,2-5%,12.684,7.323110814401212,hit_10pc_20d,capitulation,62.5378864417054,32.698883353500555,29.83900308820484,PROMOTED,distance from year-high <= -41.9877 AND distance from 60-day high <= -24.9727 AND close position in weekly range >= 0.1497 AND distance from 20-week SMA <= 2.2342,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|weekly_strength,ignore
