tag,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,avg_score,avg_patterns
short_0915_top10_min10,2026-02-09,2026-02-10,-0.782058552115678,10,"3MINDIA,RAMCOCEM,SWIGGY,TORNTPOWER,WELSPUNLIV,WOCKPHARMA,IKS,ADANIENSOL,ADANIPORTS,HCLTECH","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-2.2831,-0.4224,-5.8491,-2.8908,3.6138,-0.0684,-4.1422,1.8283,0.8631,1.5301",25.580033300841578,7.2
short_0915_top10_min10,2026-02-10,2026-02-11,0.00115062410922826,10,"UBL,POONAWALLA,WOCKPHARMA,RAILTEL,PFIZER,LINDEINDIA,ATUL,DIVISLAB,EMMVEE,JWL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.7179,-1.0918,2.0364,1.8540,-4.8824,1.8156,0.0978,-3.2903,0.3532,1.4011",10.906019916896621,6.8
short_0915_top10_min10,2026-02-11,2026-02-12,0.7924024548485719,10,"SJVN,JPPOWER,TARIL,MOTHERSON,UTIAMC,KIMS,SUMICHEM,MEDANTA,JKTYRE,BRITANNIA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.8045,2.4016,1.4324,-1.8389,0.3776,-0.8944,2.6674,-0.3260,3.8531,-0.5534",27.423042811543763,6.6
short_0915_top10_min10,2026-02-12,2026-02-13,0.519596874546929,10,"LENSKART,SUNDARMFIN,IPCALAB,ONESOURCE,SJVN,EMMVEE,KIRLOSENG,PIIND,FIVESTAR,NATCOPHARM","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","6.3382,3.0683,-1.1702,1.4349,1.4561,-0.0872,-2.3763,-4.3313,-0.0143,0.8778",38.223135623219854,9.0
short_0915_top10_min10,2026-02-13,2026-02-16,-2.4989065760429776,10,"AEGISVOPAK,ENGINERSIN,HONASA,KIMS,LENSKART,SCI,TRAVELFOOD,GRAPHITE,TENNIND,VTL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.4577,-14.7154,-2.3470,-0.2882,-0.3524,-1.2512,-4.1847,-4.7868,-0.0823,0.5612",7.031428912972021,4.3
short_0915_top10_min10,2026-02-16,2026-02-17,0.6515318417339808,10,"ENGINERSIN,HSCL,IPCALAB,AIIL,RHIM,ZFCVINDIA,BLS,CPPLUS,NATCOPHARM,AJANTPHARM","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","7.0677,0.4477,1.1718,-0.0824,-2.2525,0.2488,1.1602,-1.8713,0.0802,0.5452",59.35701339687635,11.8
short_0915_top10_min10,2026-02-17,2026-02-18,-0.38405799219223613,10,"COCHINSHIP,PAYTM,ENGINERSIN,JWL,USHAMART,ONESOURCE,GODIGIT,BLUEJET,ECLERX,NEWGEN","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.1062,-2.3010,0.8377,0.6016,-0.0944,-2.9545,0.4126,2.7497,-0.6489,-2.5497",3.542448841876123,2.8
short_0915_top10_min10,2026-02-18,2026-02-19,1.3166866070886796,10,"IDFCFIRSTB,SCHAEFFLER,3MINDIA,ONESOURCE,ANGELONE,MAPMYINDIA,EMMVEE,NETWEB,TECHNOE,FORCEMOT","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.6719,2.0510,-0.3332,0.0468,3.4031,3.5390,-0.0870,-3.5912,2.2699,3.1964",4.274663864173423,2.8
short_0915_top10_min10,2026-02-19,2026-02-20,-0.26662415774177983,10,"NATCOPHARM,TARIL,TATAINVEST,BLUEJET,FLUOROCHEM,INTELLECT,FORCEMOT,IDFCFIRSTB,RHIM,EMMVEE","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.7492,-4.2452,-2.3576,4.5447,-0.9520,-0.5830,-1.0413,-0.8690,2.2825,1.3037",2.2385083990637744,2.4
short_0915_top10_min10,2026-02-23,2026-02-24,-0.43662365989532237,10,"FLUOROCHEM,SUNDARMFIN,LTFOODS,WELSPUNLIV,GODFRYPHLP,PCBL,DALBHARAT,IIFL,IPCALAB,MFSL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-2.8142,-3.1141,2.1907,1.8725,3.4385,-2.2407,0.1864,-0.2506,-4.7187,1.0840",5.574937850994258,3.6
