tag,month,baskets,avg_positions,win_pct,avg_basket_pct,month_ret_pct,end_equity
short_mr_0915_top12_min10,2026-03,13,11.692307692307692,76.92307692307693,0.6172833753315832,8.205783340915996,1393779.4366948286
short_mr_0915_top12_min10,2026-04,14,11.857142857142858,35.714285714285715,-0.5666933483930008,-7.727000977141641,1286082.08600222
short_mr_0915_top12_min10,2026-05,5,11.4,40.0,-0.7086700065802882,-3.5279404600985664,1240709.875740068
short_mr_0915_top12_min10,2026-06,3,11.333333333333334,33.33333333333333,0.35298792189048006,1.050644565184533,1253745.3266192388
short_0915_top10_min8_diag,2025-07,19,9.68421052631579,68.42105263157895,0.29815310813887086,5.724407453110425,1057244.0745311042
short_0915_top10_min8_diag,2025-08,18,9.833333333333334,61.111111111111114,0.45103757799992017,8.305343580511583,1145051.8274055123
short_0915_top10_min8_diag,2025-09,16,9.875,81.25,0.6944054713912926,11.661613364154055,1278583.3443367237
short_0915_top10_min8_diag,2025-10,18,9.88888888888889,55.55555555555556,0.21387441060904197,3.824156032732229,1327478.366432686
short_0915_top10_min8_diag,2025-11,15,9.8,60.0,0.4749272300075336,7.229671578300989,1423450.6925987643
short_0915_top10_min8_diag,2025-12,17,10.0,76.47058823529412,0.3806390090652318,6.629234774250281,1517814.5809068282
short_0915_top10_min8_diag,2026-01,16,9.6875,75.0,0.5353316190293194,8.806714394216808,1651484.1760810714
short_0915_top10_min8_diag,2026-02,20,10.0,45.0,-0.07101156696902826,-1.5524439983862215,1625845.8091052026
short_0915_top10_min8_diag,2026-03,18,10.0,72.22222222222221,0.8791511998104093,16.851594095636923,1899826.7454765353
short_0915_top10_min8_diag,2026-04,20,9.95,35.0,-0.32223593050737454,-6.402343497861274,1778193.311366889
short_0915_top10_min8_diag,2026-05,9,9.666666666666666,33.33333333333333,-0.6027878818419449,-5.336280638356117,1683303.925979874
short_0915_top10_min8_diag,2026-06,4,9.5,50.0,0.6471957636748228,2.5868505398964903,1726848.4826771833
