config_id,profile,tier,fast_mem,slow_mem,lane,train_prof_capture,train_capture,valid_prof_capture,valid_capture,valid_days_ge70
V15W0167,2.0,1.5,0.0,0.0,0.0,3.076923076923077,2.4709302325581395,3.9473684210526314,2.5449101796407185,0
V15W0168,2.0,1.5,0.0,0.0,0.5,3.3333333333333335,3.0523255813953485,3.9473684210526314,2.5449101796407185,0
V15W0169,2.0,1.5,0.0,2.0,0.0,13.846153846153847,15.406976744186046,13.684210526315791,12.425149700598801,2
V15W0170,2.0,1.5,0.0,2.0,0.5,14.102564102564102,15.406976744186046,13.421052631578947,12.874251497005988,2
V15W0171,2.0,1.5,0.0,5.0,0.0,14.615384615384617,15.69767441860465,13.684210526315791,13.17365269461078,2
V15W0172,2.0,1.5,0.0,5.0,0.5,14.358974358974358,15.843023255813954,13.684210526315791,13.47305389221557,2
V15W0173,2.0,1.5,3.0,0.0,0.0,27.94871794871795,29.21511627906977,23.684210526315788,24.70059880239521,7
V15W0174,2.0,1.5,3.0,0.0,0.5,27.94871794871795,30.23255813953488,23.684210526315788,24.40119760479042,7
V15W0175,2.0,1.5,3.0,2.0,0.0,24.615384615384617,26.598837209302324,22.36842105263158,22.305389221556887,6
V15W0176,2.0,1.5,3.0,2.0,0.5,24.871794871794872,27.03488372093023,22.63157894736842,22.45508982035928,7
V15W0177,2.0,1.5,3.0,5.0,0.0,22.564102564102566,25.1453488372093,19.210526315789473,19.01197604790419,4
V15W0178,2.0,1.5,3.0,5.0,0.5,22.564102564102566,25.436046511627907,19.210526315789473,18.862275449101794,4
V15W0179,2.0,1.5,6.0,0.0,0.0,28.46153846153846,31.3953488372093,25.0,25.898203592814372,7
V15W0180,2.0,1.5,6.0,0.0,0.5,28.717948717948715,31.540697674418606,24.736842105263158,25.449101796407188,7
V15W0181,2.0,1.5,6.0,2.0,0.0,26.923076923076923,29.069767441860467,23.94736842105263,23.652694610778443,6
V15W0182,2.0,1.5,6.0,2.0,0.5,26.410256410256412,29.360465116279073,23.94736842105263,23.502994011976046,7
V15W0183,2.0,1.5,6.0,5.0,0.0,24.615384615384617,27.180232558139533,21.578947368421055,21.25748502994012,6
V15W0184,2.0,1.5,6.0,5.0,0.5,24.102564102564102,26.598837209302324,21.052631578947366,20.808383233532936,5
V15W0185,2.0,1.5,10.0,0.0,0.0,29.230769230769234,31.831395348837212,24.736842105263158,25.449101796407188,7
V15W0186,2.0,1.5,10.0,0.0,0.5,29.230769230769234,31.976744186046513,24.736842105263158,25.449101796407188,7
V15W0187,2.0,1.5,10.0,2.0,0.0,27.94871794871795,30.813953488372093,24.47368421052632,24.550898203592812,7
V15W0188,2.0,1.5,10.0,2.0,0.5,27.94871794871795,30.813953488372093,24.47368421052632,24.251497005988025,7
V15W0189,2.0,1.5,10.0,5.0,0.0,25.8974358974359,28.488372093023255,23.157894736842106,22.604790419161677,6
V15W0190,2.0,1.5,10.0,5.0,0.5,25.8974358974359,28.488372093023255,23.157894736842106,22.604790419161677,6
V15W0191,2.0,3.0,0.0,0.0,0.0,5.128205128205128,4.069767441860465,5.0,4.191616766467066,0
V15W0192,2.0,3.0,0.0,0.0,0.5,4.615384615384616,4.651162790697675,5.263157894736842,4.491017964071856,0
V15W0193,2.0,3.0,0.0,2.0,0.0,13.846153846153847,15.55232558139535,14.210526315789473,12.874251497005988,1
V15W0194,2.0,3.0,0.0,2.0,0.5,14.358974358974358,16.424418604651162,14.736842105263156,13.323353293413174,1
V15W0195,2.0,3.0,0.0,5.0,0.0,14.871794871794872,16.424418604651162,14.736842105263156,14.071856287425149,2
V15W0196,2.0,3.0,0.0,5.0,0.5,14.615384615384617,16.424418604651162,15.0,14.071856287425149,2
V15W0197,2.0,3.0,3.0,0.0,0.0,26.153846153846157,27.906976744186046,22.105263157894736,22.45508982035928,6
V15W0198,2.0,3.0,3.0,0.0,0.5,26.666666666666668,28.63372093023256,21.842105263157897,22.15568862275449,5
V15W0199,2.0,3.0,3.0,2.0,0.0,24.871794871794872,26.889534883720927,22.63157894736842,22.305389221556887,7
V15W0200,2.0,3.0,3.0,2.0,0.5,24.871794871794872,27.47093023255814,22.105263157894736,21.55688622754491,6
V15W0201,2.0,3.0,3.0,5.0,0.0,22.82051282051282,25.1453488372093,19.736842105263158,19.610778443113773,5
V15W0202,2.0,3.0,3.0,5.0,0.5,23.333333333333332,25.581395348837212,19.736842105263158,19.16167664670659,5
V15W0203,2.0,3.0,6.0,0.0,0.0,28.717948717948715,31.3953488372093,24.47368421052632,25.299401197604794,7
V15W0204,2.0,3.0,6.0,0.0,0.5,28.46153846153846,31.3953488372093,24.210526315789473,25.149700598802394,7
V15W0205,2.0,3.0,6.0,2.0,0.0,26.666666666666668,29.069767441860467,23.94736842105263,23.952095808383234,7
V15W0206,2.0,3.0,6.0,2.0,0.5,26.410256410256412,29.069767441860467,23.94736842105263,23.952095808383234,7
V15W0207,2.0,3.0,6.0,5.0,0.0,24.615384615384617,27.03488372093023,21.31578947368421,21.25748502994012,5
V15W0208,2.0,3.0,6.0,5.0,0.5,24.615384615384617,27.325581395348834,21.31578947368421,21.25748502994012,5
V15W0209,2.0,3.0,10.0,0.0,0.0,29.230769230769234,31.831395348837212,24.736842105263158,25.59880239520958,7
V15W0210,2.0,3.0,10.0,0.0,0.5,28.974358974358978,31.831395348837212,24.47368421052632,25.59880239520958,7
V15W0211,2.0,3.0,10.0,2.0,0.0,28.205128205128204,30.813953488372093,24.736842105263158,24.550898203592812,7
V15W0212,2.0,3.0,10.0,2.0,0.5,28.205128205128204,30.668604651162788,24.47368421052632,24.251497005988025,7
V15W0213,2.0,3.0,10.0,5.0,0.0,26.410256410256412,28.63372093023256,23.42105263157895,23.053892215568865,7
V15W0214,2.0,3.0,10.0,5.0,0.5,26.410256410256412,28.77906976744186,23.42105263157895,23.053892215568865,7
