pattern_id,avg1,win1,avg2,win2,avg3,win3,avg5,win5,avg6,win6,n,last_date,n_recent,best_hold,best_avg,best_win,nstocks,n_consistent_stocks
8258,-0.06,46.0,-0.0,48.0,0.15,50.0,0.41,52.0,0.45,51.0,10948,2024-12-31,5134,6,0.45,51.0,441,189
8259,-0.08,45.0,0.1,48.0,0.3,50.0,0.76,51.0,0.87,51.0,19974,2024-12-31,12220,6,0.87,51.0,440,166
8260,-0.1,44.0,0.19,47.0,1.53,48.0,4.29,51.0,5.48,52.0,12162,2024-12-31,3004,6,5.48,52.0,341,148
8261,-0.03,45.0,0.42,49.0,0.79,50.0,1.76,53.0,2.23,54.0,5556,2024-12-31,3519,6,2.23,54.0,312,132
8262,-0.06,45.0,0.12,48.0,0.33,50.0,0.75,52.0,1.01,53.0,21398,2024-12-31,11173,6,1.01,53.0,393,172
8263,-0.18,41.0,-0.02,45.0,0.1,46.0,0.42,48.0,0.6,48.0,4607,2024-12-31,3729,6,0.6,48.0,176,42
8269,-0.12,44.0,0.73,47.0,1.64,48.0,3.5,49.0,4.46,50.0,19106,2024-12-31,3650,6,4.46,50.0,343,132
8270,-0.0,46.0,0.33,51.0,0.61,54.0,1.1,56.0,1.36,57.0,9605,2024-12-31,6279,6,1.36,57.0,400,202
8273,-0.18,42.0,0.08,47.0,0.37,49.0,0.88,52.0,1.13,52.0,8590,2024-12-31,6943,6,1.13,52.0,224,70
8274,-0.19,42.0,-0.05,46.0,0.16,47.0,0.5,48.0,0.66,49.0,7528,2024-12-31,5024,6,0.66,49.0,360,103
8275,-0.54,39.0,-0.47,42.0,-0.39,42.0,-0.19,45.0,-0.08,45.0,2014,2024-12-31,1754,6,-0.08,45.0,109,21
8278,-0.16,44.0,0.07,47.0,0.24,47.0,0.49,49.0,0.66,51.0,2866,2024-12-31,1522,6,0.66,51.0,412,126
8286,-0.35,40.0,0.12,45.0,0.65,46.0,1.39,48.0,1.57,48.0,2441,2024-12-27,2284,6,1.57,48.0,135,35
8291,-0.08,44.0,0.74,48.0,1.54,50.0,3.19,52.0,4.05,54.0,26637,2024-12-31,10417,6,4.05,54.0,391,200
8292,-0.1,44.0,0.08,48.0,0.3,49.0,0.71,52.0,0.91,52.0,23187,2024-12-31,12708,6,0.91,52.0,387,161
8293,-0.13,44.0,0.02,46.0,-0.0,46.0,0.61,47.0,0.84,48.0,1695,2024-12-31,1480,6,0.84,48.0,127,34
8312,-0.16,43.0,-0.01,47.0,0.36,48.0,1.02,51.0,1.38,52.0,14088,2024-12-31,4068,6,1.38,52.0,389,178
8315,-0.05,45.0,0.21,48.0,0.42,49.0,0.82,51.0,1.15,52.0,55266,2024-12-31,20796,6,1.15,52.0,446,150
8316,-0.08,44.0,0.15,48.0,0.36,49.0,0.81,52.0,1.01,53.0,28524,2024-12-31,20409,6,1.01,53.0,418,142
8317,-0.21,41.0,-0.06,44.0,0.16,47.0,0.62,52.0,0.79,52.0,2715,2024-12-27,2164,6,0.79,52.0,195,72
8318,-0.19,43.0,0.1,46.0,0.46,48.0,1.29,51.0,1.66,52.0,10354,2024-12-31,8149,6,1.66,52.0,287,79
8321,-0.1,44.0,0.11,47.0,0.32,49.0,0.8,51.0,0.98,52.0,60288,2024-12-31,32376,6,0.98,52.0,443,127
8324,-0.06,45.0,0.08,48.0,0.29,50.0,0.63,51.0,0.76,52.0,43941,2024-12-31,22595,6,0.76,52.0,447,122
8325,-0.05,42.0,0.21,47.0,0.49,48.0,1.05,51.0,1.37,51.0,1589,2024-12-30,1166,6,1.37,51.0,237,74
