agent,stock,entry_date,entry,exit_date,exit,ret,reason
7164,NUVOCO,2026-07-15,348.85,2026-07-15,383.73500000000007,9.850000000000012,target+10%
7164,KALYANKJIL,2026-07-16,544.95,2026-07-20,569.95,4.437576841912101,OPEN(mtm)
7164,NUVOCO,2026-07-16,377.25,2026-07-20,346.0,-8.43363154406892,OPEN(mtm)
7164,SONATSOFTW,2026-07-17,306.6,2026-07-20,307.9,0.27400521852575166,OPEN(mtm)
7164,ATHERENERG,2026-07-17,1270.0,2026-07-20,1296.5,1.9366141732283464,OPEN(mtm)
7164,ABB,2026-07-17,7667.5,2026-07-20,7532.0,-1.9171992174763612,OPEN(mtm)
7164,CHENNPETRO,2026-07-17,1251.0,2026-07-20,1214.0,-3.1076338928856915,OPEN(mtm)
7164,MAPMYINDIA,2026-07-20,1173.0,2026-07-20,1105.0,-5.947101449275363,OPEN(mtm)
7619,CHENNPETRO,2026-07-20,1209.6,2026-07-20,1214.0,0.21375661375662128,OPEN(mtm)
7164,ABB,2026-07-20,7495.5,2026-07-20,7532.0,0.3369588419718498,OPEN(mtm)
7164,BHEL,2026-07-20,422.4,2026-07-20,417.45,-1.3218749999999972,OPEN(mtm)
7164,AEGISLOG,2026-07-20,1344.0,2026-07-20,1383.0,2.7517857142857145,OPEN(mtm)
7164,ATHERENERG,2026-07-20,1282.2,2026-07-20,1296.5,0.9652706286070779,OPEN(mtm)
7164,AIIL,2026-07-20,564.4,2026-07-20,549.5,-2.789971651311123,OPEN(mtm)
7164,CHENNPETRO,2026-07-20,1209.6,2026-07-20,1214.0,0.21375661375662128,OPEN(mtm)
7164,ECLERX,2026-07-20,1926.0,2026-07-20,1882.6,-2.403374870197305,OPEN(mtm)
7164,KALYANKJIL,2026-07-20,573.9,2026-07-20,569.95,-0.8382732183307078,OPEN(mtm)
7164,SONATSOFTW,2026-07-20,306.0,2026-07-20,307.9,0.4709150326797311,OPEN(mtm)
