symbol,tier,side,days,win%,avg%,sharpe
BEL,STANDARD,SHORT,70.0,52.857,-0.217,-1.759
BEL,STANDARD-weak,SHORT,4.0,25.0,-1.412,-13.315
BHARATFORG,AVOID,SHORT,1.0,100.0,1.476,
BHARATFORG,ENTERPRISE-Dryup,SHORT,250.0,59.6,0.114,1.123
BHARATFORG,GOLD,SHORT,119.0,41.176,-0.238,-2.546
BHARATFORG,GOLD-baseline,SHORT,87.0,57.471,-0.047,-0.368
BHARATFORG,PREMIUM-Compression,LONG,1.0,100.0,2.833,
BHARATFORG,STANDARD,SHORT,59.0,50.847,0.226,1.727
BHARATFORG,STANDARD-weak,SHORT,10.0,70.0,0.025,0.179
BHARTIARTL,ENTERPRISE-Dryup,SHORT,246.0,48.78,-0.043,-0.611
BHARTIARTL,GOLD,SHORT,119.0,52.101,0.055,0.813
BHARTIARTL,GOLD-baseline,SHORT,126.0,42.857,-0.1,-1.031
BHARTIARTL,STANDARD,SHORT,36.0,36.111,-0.119,-2.335
BHARTIARTL,STANDARD-weak,SHORT,1.0,0.0,-0.97,
BHEL,AVOID,SHORT,2.0,50.0,-0.641,-3.643
BHEL,ENTERPRISE-Dryup,SHORT,252.0,55.159,0.155,1.234
BHEL,GOLD,SHORT,125.0,52.0,-0.026,-0.185
BHEL,GOLD-baseline,SHORT,47.0,42.553,-0.226,-1.721
BHEL,PREMIUM-Compression,LONG,2.0,50.0,-0.043,-0.147
BHEL,PREMIUM-Pullback,LONG,2.0,50.0,0.415,5.297
BHEL,STANDARD,SHORT,84.0,39.286,-0.186,-1.001
BHEL,STANDARD-weak,SHORT,13.0,53.846,0.61,4.565
BIOCON,AVOID,SHORT,2.0,100.0,0.523,14.534
BIOCON,ENTERPRISE-Dryup,SHORT,262.0,51.908,0.042,0.4
BIOCON,GOLD,SHORT,118.0,50.847,0.089,0.707
BIOCON,GOLD-baseline,SHORT,72.0,48.611,0.216,1.889
BIOCON,PREMIUM-Compression,LONG,1.0,100.0,4.535,
BIOCON,PREMIUM-Pullback,LONG,1.0,100.0,3.672,
BIOCON,STANDARD,SHORT,65.0,55.385,-0.002,-0.019
BIOCON,STANDARD-weak,SHORT,5.0,40.0,-0.29,-2.149
BLUESTARCO,AVOID,SHORT,4.0,25.0,0.273,0.848
BLUESTARCO,ENTERPRISE-Dryup,SHORT,259.0,52.124,0.071,0.522
BLUESTARCO,GOLD,SHORT,90.0,44.444,-0.254,-1.802
BLUESTARCO,GOLD-baseline,SHORT,94.0,55.319,0.09,0.506
BLUESTARCO,PREMIUM-Compression,LONG,1.0,100.0,4.506,
BLUESTARCO,PREMIUM-Pullback,LONG,2.0,0.0,-2.055,-123.833
BLUESTARCO,STANDARD,SHORT,71.0,47.887,-0.05,-0.385
BLUESTARCO,STANDARD-weak,SHORT,13.0,46.154,-0.584,-4.11
BOSCHLTD,AVOID,SHORT,2.0,0.0,-0.58,-12.169
BOSCHLTD,ENTERPRISE-Dryup,SHORT,243.0,52.675,-0.048,-0.544
BOSCHLTD,GOLD,SHORT,143.0,55.245,0.209,2.179
BOSCHLTD,GOLD-baseline,SHORT,89.0,51.685,-0.024,-0.234
BOSCHLTD,PREMIUM-Compression,LONG,3.0,66.667,0.182,6.943
BOSCHLTD,STANDARD,SHORT,51.0,50.98,0.11,1.197
BOSCHLTD,STANDARD-weak,SHORT,2.0,0.0,-5.755,-41.433
BPCL,AVOID,SHORT,1.0,0.0,-0.672,
BPCL,ENTERPRISE-Dryup,SHORT,208.0,52.885,0.084,0.84
BPCL,GOLD,SHORT,166.0,54.819,0.005,0.054
BPCL,GOLD-baseline,SHORT,85.0,57.647,0.076,0.677
BPCL,PREMIUM-Compression,LONG,2.0,100.0,1.114,18.363
BPCL,STANDARD,SHORT,61.0,55.738,-0.015,-0.16
BPCL,STANDARD-weak,SHORT,5.0,80.0,3.041,10.905
BRITANNIA,ENTERPRISE-Dryup,SHORT,255.0,45.882,-0.08,-1.128
BRITANNIA,GOLD,SHORT,139.0,46.763,0.003,0.038
BRITANNIA,GOLD-baseline,SHORT,101.0,40.594,-0.056,-0.638
BRITANNIA,STANDARD,SHORT,33.0,66.667,0.236,2.636
BSE,AVOID,SHORT,12.0,58.333,-0.017,-0.1
BSE,ENTERPRISE-Dryup,SHORT,209.0,51.675,-0.128,-0.737
BSE,GOLD,SHORT,113.0,61.062,0.318,1.895
BSE,GOLD-baseline,SHORT,80.0,40.0,-0.589,-2.712
BSE,PREMIUM-Compression,LONG,1.0,100.0,3.165,
BSE,PREMIUM-Pullback,LONG,3.0,66.667,-0.994,-3.941
BSE,STANDARD,SHORT,92.0,52.174,0.045,0.276
BSE,STANDARD-weak,SHORT,24.0,45.833,-0.084,-0.579
CAMS,AVOID,SHORT,3.0,33.333,0.466,2.955
CAMS,ENTERPRISE-Dryup,SHORT,231.0,54.545,-0.016,-0.132
CAMS,GOLD,SHORT,124.0,54.032,0.184,1.56
CAMS,GOLD-baseline,SHORT,83.0,56.627,0.211,1.403
CAMS,PREMIUM-Compression,LONG,2.0,50.0,0.511,4.385
CAMS,PREMIUM-Pullback,LONG,1.0,100.0,7.461,
CAMS,STANDARD,SHORT,80.0,52.5,-0.206,-1.999
CAMS,STANDARD-weak,SHORT,10.0,60.0,0.237,0.84
CANBK,AVOID,SHORT,2.0,100.0,5.797,11.628
CANBK,ENTERPRISE-Dryup,SHORT,221.0,54.299,0.179,1.771
CANBK,GOLD,SHORT,144.0,49.306,-0.211,-1.896
CANBK,GOLD-baseline,SHORT,81.0,55.556,0.092,0.856
CANBK,STANDARD,SHORT,76.0,51.316,-0.084,-0.807
CANBK,STANDARD-weak,SHORT,4.0,50.0,1.166,5.49
CDSL,AVOID,SHORT,7.0,42.857,0.221,2.246
CDSL,ENTERPRISE-Dryup,SHORT,244.0,59.016,0.157,1.265
CDSL,GOLD,SHORT,131.0,49.618,0.052,0.366
CDSL,GOLD-baseline,SHORT,64.0,51.562,-0.171,-1.114
CDSL,PREMIUM-Compression,LONG,4.0,50.0,1.548,9.567
CDSL,PREMIUM-Pullback,LONG,1.0,100.0,0.476,
CDSL,STANDARD,SHORT,73.0,50.685,-0.239,-1.742
CDSL,STANDARD-weak,SHORT,9.0,55.556,-0.6,-4.636
CGPOWER,AVOID,SHORT,3.0,66.667,-0.122,-1.512
CGPOWER,ENTERPRISE-Dryup,SHORT,234.0,52.137,-0.016,-0.119
CGPOWER,GOLD,SHORT,112.0,51.786,0.01,0.089
CGPOWER,GOLD-baseline,SHORT,90.0,57.778,0.2,1.742
CGPOWER,PREMIUM-Compression,LONG,1.0,0.0,-1.813,
CGPOWER,PREMIUM-Pullback,LONG,3.0,66.667,2.92,7.52
CGPOWER,STANDARD,SHORT,80.0,51.25,-0.073,-0.518
CGPOWER,STANDARD-weak,SHORT,11.0,81.818,1.323,9.194
CHOLAFIN,AVOID,SHORT,2.0,50.0,-1.222,-7.855
CHOLAFIN,ENTERPRISE-Dryup,SHORT,222.0,51.351,-0.036,-0.352
CHOLAFIN,GOLD,SHORT,119.0,48.739,-0.165,-1.48
CHOLAFIN,GOLD-baseline,SHORT,91.0,58.242,0.07,0.611
CHOLAFIN,PREMIUM-Compression,LONG,2.0,100.0,3.904,15.22
CHOLAFIN,PREMIUM-Pullback,LONG,1.0,100.0,3.356,
CHOLAFIN,STANDARD,SHORT,79.0,65.823,0.347,3.14
CHOLAFIN,STANDARD-weak,SHORT,12.0,16.667,-1.188,-9.36
CIPLA,AVOID,SHORT,1.0,100.0,0.446,
CIPLA,ENTERPRISE-Dryup,SHORT,257.0,44.747,-0.098,-1.365
CIPLA,GOLD,SHORT,133.0,52.632,0.061,0.783
CIPLA,GOLD-baseline,SHORT,102.0,47.059,-0.118,-1.503
CIPLA,PREMIUM-Compression,LONG,1.0,0.0,-0.353,
CIPLA,PREMIUM-Pullback,LONG,1.0,100.0,0.796,
CIPLA,STANDARD,SHORT,31.0,48.387,0.134,1.297
CIPLA,STANDARD-weak,SHORT,2.0,50.0,1.279,6.803
COALINDIA,ENTERPRISE-Dryup,SHORT,258.0,51.55,0.034,0.42
COALINDIA,GOLD,SHORT,154.0,53.896,0.057,0.745
COALINDIA,GOLD-baseline,SHORT,76.0,51.316,-0.028,-0.232
COALINDIA,PREMIUM-Compression,LONG,1.0,100.0,3.016,
COALINDIA,STANDARD,SHORT,34.0,58.824,0.565,4.27
COALINDIA,STANDARD-weak,SHORT,5.0,80.0,0.738,7.513
COCHINSHIP,AVOID,SHORT,15.0,60.0,0.714,2.376
COCHINSHIP,ENTERPRISE-Dryup,SHORT,251.0,57.371,0.119,0.779
COCHINSHIP,GOLD,SHORT,129.0,62.016,0.345,2.701
COCHINSHIP,GOLD-baseline,SHORT,41.0,53.659,0.096,0.417
COCHINSHIP,PREMIUM-Pullback,LONG,4.0,75.0,3.171,13.842
COCHINSHIP,STANDARD,SHORT,80.0,57.5,-0.066,-0.313
COCHINSHIP,STANDARD-weak,SHORT,14.0,42.857,-2.061,-6.67
COFORGE,AVOID,SHORT,6.0,66.667,0.704,6.048
COFORGE,ENTERPRISE-Dryup,SHORT,223.0,53.812,0.054,0.481
COFORGE,GOLD,SHORT,122.0,50.0,0.029,0.266
COFORGE,GOLD-baseline,SHORT,101.0,52.475,-0.015,-0.1
COFORGE,PREMIUM-Pullback,LONG,1.0,100.0,4.947,
COFORGE,STANDARD,SHORT,68.0,50.0,0.075,0.629
COFORGE,STANDARD-weak,SHORT,7.0,42.857,-0.075,-0.863
COLPAL,ENTERPRISE-Dryup,SHORT,254.0,51.181,0.111,1.344
COLPAL,GOLD,SHORT,155.0,45.806,-0.204,-2.202
COLPAL,GOLD-baseline,SHORT,86.0,39.535,0.072,0.933
COLPAL,STANDARD,SHORT,30.0,53.333,0.05,0.391
COLPAL,STANDARD-weak,SHORT,2.0,50.0,-0.218,-7.162
CONCOR,AVOID,SHORT,1.0,100.0,17.472,
CONCOR,ENTERPRISE-Dryup,SHORT,247.0,53.846,0.159,1.598
CONCOR,GOLD,SHORT,163.0,50.307,0.002,0.024
CONCOR,GOLD-baseline,SHORT,62.0,59.677,0.113,1.22
CONCOR,STANDARD,SHORT,50.0,56.0,0.003,0.023
CONCOR,STANDARD-weak,SHORT,5.0,40.0,0.171,2.363
CROMPTON,AVOID,SHORT,4.0,75.0,-0.168,-1.406
CROMPTON,ENTERPRISE-Dryup,SHORT,234.0,57.692,0.175,1.658
CROMPTON,GOLD,SHORT,154.0,53.247,0.057,0.516
CROMPTON,GOLD-baseline,SHORT,87.0,50.575,-0.132,-1.291
CROMPTON,PREMIUM-Compression,LONG,3.0,33.333,0.557,7.273
CROMPTON,STANDARD,SHORT,42.0,47.619,-0.153,-1.22
CROMPTON,STANDARD-weak,SHORT,4.0,75.0,0.064,0.887
CUMMINSIND,AVOID,SHORT,1.0,100.0,2.693,
CUMMINSIND,ENTERPRISE-Dryup,SHORT,263.0,48.289,-0.067,-0.57
CUMMINSIND,GOLD,SHORT,99.0,46.465,-0.042,-0.473
CUMMINSIND,GOLD-baseline,SHORT,97.0,49.485,-0.178,-1.431
CUMMINSIND,PREMIUM-Compression,LONG,2.0,100.0,1.005,30.018
CUMMINSIND,STANDARD,SHORT,68.0,54.412,0.203,1.463
CUMMINSIND,STANDARD-weak,SHORT,4.0,25.0,-0.482,-4.299
DABUR,ENTERPRISE-Dryup,SHORT,254.0,54.331,0.058,0.876
DABUR,GOLD,SHORT,164.0,43.293,-0.135,-1.536
DABUR,GOLD-baseline,SHORT,78.0,55.128,-0.104,-1.133
DABUR,STANDARD,SHORT,30.0,53.333,0.268,2.772
DABUR,STANDARD-weak,SHORT,2.0,0.0,-1.059,-14.739
DALBHARAT,ENTERPRISE-Dryup,SHORT,248.0,52.419,0.142,1.48
DALBHARAT,GOLD,SHORT,152.0,57.895,-0.033,-0.346
DALBHARAT,GOLD-baseline,SHORT,73.0,53.425,-0.072,-0.762
DALBHARAT,STANDARD,SHORT,59.0,50.847,-0.157,-1.396
DALBHARAT,STANDARD-weak,SHORT,1.0,100.0,0.17,
DELHIVERY,AVOID,SHORT,3.0,100.0,0.626,27.619
DELHIVERY,ENTERPRISE-Dryup,SHORT,253.0,50.198,-0.022,-0.205
DELHIVERY,GOLD,SHORT,116.0,50.862,-0.08,-0.587
DELHIVERY,GOLD-baseline,SHORT,90.0,44.444,0.023,0.176
DELHIVERY,STANDARD,SHORT,66.0,59.091,0.321,2.622
