symbol,signal,side,days,win,raw,neutral,retained,sector
BANKBARODA,TIER:ENTERPRISE-Dryup,SHORT,224,50.893,-0.006,-0.117,0.0,Financial Services
BANKBARODA,TIER:ENTERPRISE-Dryup,LONG,224,46.875,-0.084,0.027,0.0,Financial Services
BANKBARODA,TIER:GOLD,SHORT,165,51.515,-0.145,-0.067,0.0,Financial Services
BANKBARODA,TIER:GOLD,LONG,165,46.667,0.055,-0.023,-40.738,Financial Services
BANKBARODA,TIER:GOLD-baseline,SHORT,78,53.846,0.236,0.205,87.2,Financial Services
BANKBARODA,TIER:GOLD-baseline,LONG,78,42.308,-0.325,-0.295,0.0,Financial Services
BANKBARODA,TIER:STANDARD,SHORT,56,57.143,0.15,-0.087,-58.307,Financial Services
BANKBARODA,TIER:STANDARD,LONG,56,39.286,-0.239,-0.002,0.0,Financial Services
BANKINDIA,TIER:ENTERPRISE-Dryup,SHORT,256,54.297,0.168,0.04,23.851,Financial Services
BANKINDIA,TIER:ENTERPRISE-Dryup,LONG,256,42.188,-0.258,-0.129,0.0,Financial Services
BANKINDIA,TIER:GOLD,SHORT,135,54.074,0.103,0.047,46.103,Financial Services
BANKINDIA,TIER:GOLD,LONG,135,43.704,-0.192,-0.137,0.0,Financial Services
BANKINDIA,TIER:GOLD-baseline,SHORT,62,50.0,0.085,0.28,330.934,Financial Services
BANKINDIA,TIER:GOLD-baseline,LONG,62,48.387,-0.174,-0.369,0.0,Financial Services
BANKINDIA,TIER:STANDARD,SHORT,71,49.296,-0.108,-0.115,0.0,Financial Services
BANKINDIA,TIER:STANDARD,LONG,71,46.479,0.019,0.025,134.044,Financial Services
BDL,TIER:ENTERPRISE-Dryup,SHORT,243,53.498,0.059,-0.028,-48.339,Capital Goods
BDL,TIER:ENTERPRISE-Dryup,LONG,243,45.679,-0.148,-0.061,0.0,Capital Goods
BDL,TIER:GOLD,SHORT,132,52.273,-0.043,-0.077,0.0,Capital Goods
BDL,TIER:GOLD,LONG,132,46.97,-0.047,-0.012,0.0,Capital Goods
BDL,TIER:GOLD-baseline,SHORT,48,72.917,0.847,0.86,101.56,Capital Goods
BDL,TIER:GOLD-baseline,LONG,48,22.917,-0.936,-0.949,0.0,Capital Goods
BDL,TIER:STANDARD,SHORT,78,47.436,-0.445,-0.582,0.0,Capital Goods
BDL,TIER:STANDARD,LONG,78,48.718,0.355,0.493,138.729,Capital Goods
BEL,TIER:ENTERPRISE-Dryup,SHORT,240,59.583,0.139,-0.025,-17.947,Capital Goods
BEL,TIER:ENTERPRISE-Dryup,LONG,240,39.167,-0.228,-0.064,0.0,Capital Goods
BEL,TIER:GOLD,SHORT,136,45.588,-0.039,-0.09,0.0,Capital Goods
BEL,TIER:GOLD,LONG,136,52.941,-0.051,0.0,0.0,Capital Goods
BEL,TIER:GOLD-baseline,SHORT,69,46.377,-0.144,-0.009,0.0,Capital Goods
BEL,TIER:GOLD-baseline,LONG,69,49.275,0.054,-0.08,-147.925,Capital Goods
BEL,TIER:STANDARD,SHORT,70,52.857,-0.217,-0.099,0.0,Capital Goods
BEL,TIER:STANDARD,LONG,70,47.143,0.128,0.01,7.435,Capital Goods
BHARATFORG,TIER:ENTERPRISE-Dryup,SHORT,250,59.6,0.114,-0.053,-46.223,Automobile and Auto Components
BHARATFORG,TIER:ENTERPRISE-Dryup,LONG,250,39.2,-0.204,-0.036,0.0,Automobile and Auto Components
BHARATFORG,TIER:GOLD,SHORT,119,41.176,-0.238,-0.113,0.0,Automobile and Auto Components
BHARATFORG,TIER:GOLD,LONG,119,56.303,0.149,0.023,15.768,Automobile and Auto Components
BHARATFORG,TIER:GOLD-baseline,SHORT,87,57.471,-0.047,-0.13,0.0,Automobile and Auto Components
BHARATFORG,TIER:GOLD-baseline,LONG,87,42.529,-0.042,0.041,0.0,Automobile and Auto Components
BHARATFORG,TIER:STANDARD,SHORT,59,50.847,0.226,0.17,75.298,Automobile and Auto Components
BHARATFORG,TIER:STANDARD,LONG,59,45.763,-0.315,-0.259,0.0,Automobile and Auto Components
BHARTIARTL,TIER:ENTERPRISE-Dryup,SHORT,246,48.78,-0.043,-0.169,0.0,Telecommunication
BHARTIARTL,TIER:ENTERPRISE-Dryup,LONG,246,48.78,-0.046,0.079,0.0,Telecommunication
BHARTIARTL,TIER:GOLD,SHORT,119,52.101,0.055,-0.061,-110.049,Telecommunication
BHARTIARTL,TIER:GOLD,LONG,119,42.857,-0.144,-0.029,0.0,Telecommunication
BHARTIARTL,TIER:GOLD-baseline,SHORT,126,42.857,-0.1,-0.092,0.0,Telecommunication
BHARTIARTL,TIER:GOLD-baseline,LONG,126,54.762,0.011,0.003,27.171,Telecommunication
BHEL,TIER:ENTERPRISE-Dryup,SHORT,252,55.159,0.155,0.043,28.015,Capital Goods
BHEL,TIER:ENTERPRISE-Dryup,LONG,252,42.857,-0.244,-0.133,0.0,Capital Goods
BHEL,TIER:GOLD,SHORT,125,52.0,-0.026,-0.045,0.0,Capital Goods
BHEL,TIER:GOLD,LONG,125,48.0,-0.064,-0.044,0.0,Capital Goods
BHEL,TIER:GOLD-baseline,SHORT,47,42.553,-0.226,-0.265,0.0,Capital Goods
BHEL,TIER:GOLD-baseline,LONG,47,53.191,0.136,0.175,128.589,Capital Goods
BHEL,TIER:STANDARD,SHORT,84,39.286,-0.186,-0.219,0.0,Capital Goods
BHEL,TIER:STANDARD,LONG,84,57.143,0.096,0.129,134.547,Capital Goods
BIOCON,TIER:ENTERPRISE-Dryup,SHORT,262,51.908,0.042,-0.025,-58.706,Healthcare
BIOCON,TIER:ENTERPRISE-Dryup,LONG,262,44.656,-0.131,-0.065,0.0,Healthcare
BIOCON,TIER:GOLD,SHORT,118,50.847,0.089,0.034,37.622,Healthcare
BIOCON,TIER:GOLD,LONG,118,47.458,-0.179,-0.123,0.0,Healthcare
BIOCON,TIER:GOLD-baseline,SHORT,72,48.611,0.216,0.196,90.929,Healthcare
BIOCON,TIER:GOLD-baseline,LONG,72,48.611,-0.305,-0.285,0.0,Healthcare
BIOCON,TIER:STANDARD,SHORT,65,55.385,-0.002,-0.066,0.0,Healthcare
BIOCON,TIER:STANDARD,LONG,65,38.462,-0.087,-0.023,0.0,Healthcare
BLUESTARCO,TIER:ENTERPRISE-Dryup,SHORT,259,52.124,0.071,0.004,6.211,Consumer Durables
BLUESTARCO,TIER:ENTERPRISE-Dryup,LONG,259,45.946,-0.16,-0.094,0.0,Consumer Durables
BLUESTARCO,TIER:GOLD,SHORT,90,44.444,-0.254,-0.403,0.0,Consumer Durables
BLUESTARCO,TIER:GOLD,LONG,90,53.333,0.165,0.313,189.924,Consumer Durables
BLUESTARCO,TIER:GOLD-baseline,SHORT,94,55.319,0.09,0.11,121.981,Consumer Durables
BLUESTARCO,TIER:GOLD-baseline,LONG,94,44.681,-0.18,-0.199,0.0,Consumer Durables
BLUESTARCO,TIER:STANDARD,SHORT,71,47.887,-0.05,-0.15,0.0,Consumer Durables
BLUESTARCO,TIER:STANDARD,LONG,71,50.704,-0.039,0.061,0.0,Consumer Durables
BOSCHLTD,TIER:ENTERPRISE-Dryup,SHORT,243,52.675,-0.048,-0.128,0.0,Automobile and Auto Components
BOSCHLTD,TIER:ENTERPRISE-Dryup,LONG,243,44.033,-0.041,0.039,0.0,Automobile and Auto Components
BOSCHLTD,TIER:GOLD,SHORT,143,55.245,0.209,0.121,57.864,Automobile and Auto Components
BOSCHLTD,TIER:GOLD,LONG,143,41.259,-0.299,-0.21,0.0,Automobile and Auto Components
BOSCHLTD,TIER:GOLD-baseline,SHORT,89,51.685,-0.024,-0.035,0.0,Automobile and Auto Components
BOSCHLTD,TIER:GOLD-baseline,LONG,89,44.944,-0.065,-0.054,0.0,Automobile and Auto Components
BOSCHLTD,TIER:STANDARD,SHORT,51,50.98,0.11,0.055,50.043,Automobile and Auto Components
BOSCHLTD,TIER:STANDARD,LONG,51,45.098,-0.199,-0.144,0.0,Automobile and Auto Components
