symbol,side,days,win,raw,neutral,retained,neut_sharpe,best_signal,bs_days,bs_neutral,sector
BLUESTARCO,SHORT,535,50.654,-0.011,-0.075,0.0,-0.571,extended_move,37,0.523,Consumer Durables
BLUESTARCO,LONG,535,47.664,-0.078,-0.014,0.0,-0.11,GOLD,90,0.313,Consumer Durables
BOSCHLTD,SHORT,534,52.622,0.019,-0.046,-245.999,-0.554,GOLD,143,0.121,Automobile and Auto Components
BOSCHLTD,LONG,534,43.82,-0.108,-0.044,0.0,-0.53,extended_move,47,0.132,Automobile and Auto Components
BPCL,SHORT,535,54.393,0.058,-0.006,-9.664,-0.065,GOLD-baseline,85,0.115,Oil Gas & Consumable Fuels
BPCL,LONG,535,42.991,-0.147,-0.084,0.0,-0.981,ENTERPRISE-Dryup,208,-0.043,Oil Gas & Consumable Fuels
BRITANNIA,SHORT,535,45.981,-0.048,-0.111,0.0,-1.34,STANDARD,33,0.262,Fast Moving Consumer Goods
BRITANNIA,LONG,535,49.346,-0.041,0.022,0.0,0.265,GOLD-baseline,101,0.085,Fast Moving Consumer Goods
BSE,SHORT,535,51.776,-0.065,-0.128,0.0,-0.817,GOLD,113,0.177,Financial Services
BSE,LONG,535,47.29,-0.025,0.039,0.0,0.247,GOLD-baseline,80,0.378,Financial Services
CAMS,SHORT,535,54.206,0.026,-0.037,-139.873,-0.352,GOLD-baseline,83,0.196,Financial Services
CAMS,LONG,535,44.112,-0.116,-0.052,0.0,-0.499,STANDARD,80,0.064,Financial Services
CANBK,SHORT,535,53.084,0.048,-0.015,-31.532,-0.185,extended_move,31,0.22,Financial Services
CANBK,LONG,535,44.673,-0.138,-0.074,0.0,-0.901,STANDARD,76,0.081,Financial Services
CDSL,SHORT,534,53.933,0.009,-0.056,-655.92,-0.53,ENTERPRISE-Dryup,244,0.03,Financial Services
CDSL,LONG,534,44.944,-0.098,-0.034,0.0,-0.319,STANDARD,73,0.234,Financial Services
CGPOWER,SHORT,535,53.645,0.036,-0.028,-78.515,-0.263,GOLD-baseline,90,0.131,Capital Goods
CGPOWER,LONG,535,44.486,-0.125,-0.061,0.0,-0.58,extended_move,68,0.201,Capital Goods
CHOLAFIN,SHORT,535,52.71,-0.054,-0.118,0.0,-1.222,extended_move,26,0.285,Financial Services
CHOLAFIN,LONG,535,45.234,-0.035,0.028,0.0,0.294,GOLD,119,0.075,Financial Services
CIPLA,SHORT,535,47.477,-0.045,-0.109,0.0,-1.384,STANDARD,31,0.114,Healthcare
CIPLA,LONG,535,49.533,-0.044,0.019,0.0,0.247,ENTERPRISE-Dryup,257,0.106,Healthcare
COALINDIA,SHORT,535,52.71,0.049,-0.014,-29.332,-0.186,STANDARD,34,0.513,Oil Gas & Consumable Fuels
COALINDIA,LONG,535,43.738,-0.138,-0.075,0.0,-0.972,ENTERPRISE-Dryup,258,-0.015,Oil Gas & Consumable Fuels
COCHINSHIP,SHORT,535,57.757,0.079,0.015,19.627,0.1,GOLD,129,0.253,Capital Goods
COCHINSHIP,LONG,535,40.0,-0.168,-0.105,0.0,-0.68,extended_move,98,0.122,Capital Goods
COFORGE,SHORT,535,51.963,0.034,-0.029,-84.635,-0.264,STANDARD,68,0.174,Information Technology
COFORGE,LONG,535,46.355,-0.124,-0.06,0.0,-0.548,GOLD-baseline,101,-0.008,Information Technology
COLPAL,SHORT,534,47.753,0.001,-0.063,-4611.621,-0.712,ENTERPRISE-Dryup,254,0.056,Fast Moving Consumer Goods
COLPAL,LONG,534,48.689,-0.091,-0.026,0.0,-0.3,GOLD,155,0.168,Fast Moving Consumer Goods
CONCOR,SHORT,535,53.645,0.129,0.066,50.897,0.788,extended_move,21,0.319,Services
CONCOR,LONG,535,41.682,-0.218,-0.155,0.0,-1.86,STANDARD,50,-0.046,Services
CROMPTON,SHORT,535,54.579,0.061,-0.002,-3.462,-0.023,ENTERPRISE-Dryup,234,0.107,Consumer Durables
CROMPTON,LONG,535,42.43,-0.151,-0.087,0.0,-0.935,extended_move,41,0.539,Consumer Durables
CUMMINSIND,SHORT,535,48.598,-0.053,-0.117,0.0,-1.181,extended_move,36,0.122,Capital Goods
CUMMINSIND,LONG,535,49.159,-0.036,0.027,0.0,0.276,GOLD-baseline,97,0.138,Capital Goods
DABUR,SHORT,535,50.654,-0.011,-0.075,0.0,-0.853,STANDARD,30,0.289,Fast Moving Consumer Goods
DABUR,LONG,535,45.794,-0.078,-0.015,0.0,-0.167,GOLD-baseline,78,0.182,Fast Moving Consumer Goods
DALBHARAT,SHORT,534,54.12,0.032,-0.032,-97.952,-0.371,ENTERPRISE-Dryup,248,0.061,Construction Materials
DALBHARAT,LONG,534,44.007,-0.122,-0.058,0.0,-0.671,STANDARD,59,0.204,Construction Materials
DELHIVERY,SHORT,535,50.654,0.001,-0.062,-6095.227,-0.596,STANDARD,66,0.263,Services
DELHIVERY,LONG,535,46.729,-0.09,-0.027,0.0,-0.258,ENTERPRISE-Dryup,253,0.043,Services
DIVISLAB,SHORT,535,50.28,-0.081,-0.144,0.0,-1.623,STANDARD,56,-0.013,Healthcare
DIVISLAB,LONG,535,46.916,-0.008,0.055,0.0,0.618,ENTERPRISE-Dryup,246,0.123,Healthcare
DIXON,SHORT,535,50.093,0.062,-0.002,-2.992,-0.015,GOLD,92,0.232,Consumer Durables
DIXON,LONG,535,47.664,-0.151,-0.087,0.0,-0.715,ENTERPRISE-Dryup,247,0.019,Consumer Durables
DLF,SHORT,535,53.645,0.122,0.059,48.128,0.743,ENTERPRISE-Dryup,221,0.127,Realty
DLF,LONG,535,43.551,-0.212,-0.148,0.0,-1.872,extended_move,25,0.231,Realty
DMART,SHORT,535,55.327,0.112,0.049,43.593,0.515,GOLD-baseline,94,0.271,Consumer Services
DMART,LONG,535,42.617,-0.202,-0.138,0.0,-1.454,STANDARD,36,0.328,Consumer Services
DRREDDY,SHORT,535,47.103,-0.042,-0.105,0.0,-1.317,GOLD-baseline,100,0.036,Healthcare
DRREDDY,LONG,535,47.664,-0.048,0.016,0.0,0.196,STANDARD,30,0.304,Healthcare
EICHERMOT,SHORT,535,49.907,-0.097,-0.16,0.0,-2.092,GOLD-baseline,117,-0.059,Automobile and Auto Components
EICHERMOT,LONG,535,47.103,0.007,0.071,961.571,0.924,ENTERPRISE-Dryup,229,0.093,Automobile and Auto Components
ETERNAL,SHORT,535,47.85,-0.091,-0.154,0.0,-1.254,extended_move,47,0.256,Consumer Services
ETERNAL,LONG,535,49.533,0.002,0.065,4244.503,0.528,GOLD,100,0.174,Consumer Services
EXIDEIND,SHORT,535,52.336,0.014,-0.049,-345.242,-0.568,extended_move,29,0.107,Automobile and Auto Components
EXIDEIND,LONG,535,45.421,-0.104,-0.04,0.0,-0.464,GOLD,141,-0.004,Automobile and Auto Components
FEDERALBNK,SHORT,535,49.346,-0.103,-0.167,0.0,-2.156,extended_move,22,-0.032,Financial Services
FEDERALBNK,LONG,535,49.159,0.014,0.077,561.304,0.999,GOLD-baseline,83,0.292,Financial Services
FORCEMOT,SHORT,534,57.116,0.14,0.075,54.012,0.459,GOLD-baseline,71,0.406,Automobile and Auto Components
FORCEMOT,LONG,534,41.573,-0.229,-0.165,0.0,-1.002,STANDARD,82,0.477,Automobile and Auto Components
FORTIS,SHORT,535,51.776,0.006,-0.058,-1041.837,-0.559,STANDARD,78,0.325,Healthcare
FORTIS,LONG,535,45.981,-0.095,-0.032,0.0,-0.305,GOLD,105,0.113,Healthcare
GAIL,SHORT,534,52.247,0.028,-0.036,-131.288,-0.44,STANDARD,53,0.135,Oil Gas & Consumable Fuels
