pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,rule
5467,179,0.4972067039106145,0.05293721112606258,-0.025935405240713333,2.5586502776944555,-2.050292051842652,0.4247914421798011,0.021551118147397852,0.24933769255283134,0.5195530726256983,0.5810179690571727,0.29297745566048594,3.8637580724824545,-2.7551227739100828,0.4467214681709506,-0.014124616437510229,0.6221513886421635,0.5195530726256983,0.6641560000864463,0.1695932678822,4.794583435152534,-3.4090273321265427,0.4467214681709506,-0.014124616437510229,0.5547601188263074,1.0,0.006760061968431791,atr_20_pct > 2.8213 AND dist_high_60 <= -7.2401 AND n_sub_75v_20d <= 10.5000 AND weekly_close_loc > 0.2391
9594,28,0.6071428571428571,1.5155544854853473,0.8191327430999752,3.8995037547955147,-1.3905030599748431,0.42408726034906297,0.020846936316659737,1.7119549669121161,0.6428571428571429,2.9799077207413207,1.7751289565252781,6.021267193449707,-1.8835578345339576,0.4582997758222724,-0.002546308786188445,3.0210411403263113,0.6785714285714286,4.030045280186044,3.502761261978542,7.764291728967393,-2.210325459809529,0.4933850455563118,0.03253896094785097,3.920649398925905,1.0,3.0350183992362063,atr_20_pct <= 3.7156 AND atr_20_pct > 2.2704 AND weekly_close_loc > 0.8857 AND weekly_close_vs_sma20 > 14.0750
8038,212,0.49056603773584906,0.11095716037036624,-0.01594681472821366,2.670477455825478,-2.156686660259557,0.4240405916719126,0.020800267639509373,0.307357641797135,0.5613207547169812,,,4.129093974331405,-2.966988333569727,0.49401889416228095,0.033172809553820126,,0.5566037735849056,,,5.225954282764169,-3.574171356521419,0.4893124749734605,0.02846639036499965,,1.0,0.4548966555987365,atr_20_pct > 2.5300 AND slope_sma_20 > -1.6316 AND weekly_close_loc > 0.5730 AND weekly_range_pct > 5.5463
6299,119,0.5126050420168067,0.2988145803484231,0.1461224489795844,2.6546150030071654,-1.815813572298682,0.4238174936455648,0.020577169613161583,0.49521506177519187,0.5714285714285714,1.14964928011778,0.510616576600036,4.3105664995803865,-2.414900272114109,0.4816526217171051,0.020806537108644274,1.1907826997027708,0.5798319327731093,1.501417142144441,0.8798230088495497,5.566397783377006,-2.9872958443934152,0.49001340101862806,0.029167316410167232,1.3920212608843023,1.0,0.7835970340897584,dist_high_120 <= -6.4176 AND dist_sma_200 > -7.8665 AND rs_market_60d > -3.8366 AND weekly_close_loc > 0.4856
5527,54,0.5555555555555556,0.2716285364611822,0.5223939025646708,3.4437501096530587,-2.8171136773350067,0.4237541391136446,0.020513815081241393,0.4680290178879509,0.5555555555555556,0.8976725581547605,0.4907667900581659,5.110029520689943,-4.0267683929131275,0.4237541391136446,-0.0370919454948162,0.9388059777397513,0.5925925925925926,1.668330566356561,1.0592403199627445,6.4497467194017455,-4.676130605198857,0.45966610248851525,-0.0011799821199455773,1.5589346850964223,0.0,-0.17087548482953974,atr_20_pct > 4.8214 AND dist_high_60 > -36.4358 AND dist_sma_200 <= 50.2078 AND weekly_close_vs_sma20 > 3.0215
8030,221,0.48868778280542985,0.11368587753501232,-0.04428745432398337,2.688221241398089,-1.9954358703125135,0.42354116143017156,0.020300837397768334,0.31008635896178105,0.5610859728506787,,,4.111799784572744,-2.84674924786222,0.4951671185543104,0.034321033945849566,,0.5248868778280543,,,5.153315397502185,-3.4386862465538943,0.4591849456897505,-0.0016611389187103365,,1.0,0.4214516671685594,atr_20_pct > 2.3496 AND dist_high_120 <= -1.7477 AND weekly_close_loc > 0.5745 AND weekly_range_pct > 4.8080
9511,52,0.5576923076923077,0.24503176195734375,0.26441458755233527,2.5007866261056857,-1.8411844044025707,0.4233952499151638,0.020154925882760577,0.44143224338411247,0.6346153846153846,0.9049267516470311,0.9007018400095036,3.7269642070517217,-2.2212702157747364,0.49871428584801164,0.037868201239550814,0.9460601712320218,0.6346153846153846,1.2238973993162552,1.4591326530612172,4.9478698660727325,-2.483636161231417,0.49871428584801164,0.037868201239550814,1.1145015180561164,1.0,0.607205329309639,dist_high_120 > -24.3888 AND n_sub_2_5_range_7d <= 2.5000 AND slope_sma_20 <= 1.0098 AND weekly_close_loc > 0.7060
4501,40,0.575,0.24328207340512922,0.3152157732586748,2.3036815602371,-1.6146799109290035,0.4219480043605999,0.018707680328196696,0.439682554831898,0.525,0.8066007128540477,0.31402971143679637,3.315681098179886,-2.1006915036071403,0.37497106853929735,-0.08587501606916348,0.8477341324390384,0.6,1.1465901338874356,1.0630536709815777,4.363396451169663,-2.535492626855845,0.44595619827393507,-0.01488988633452576,1.0371942526272968,0.0,0.939511464607572,dist_high_120 > -23.5392 AND dist_high_60 <= -9.6368 AND weekly_close_loc > 0.7358
8182,135,0.5037037037037037,0.16253550294580277,0.027220678825950057,2.838816411629273,-2.0396986886316113,0.42043352727523053,0.017193203242827304,0.3589359843725715,0.5777777777777777,0.7011933751795328,0.5916339869281019,4.067202548182804,-2.887513915391501,0.49344006662744605,0.032593982018985224,0.7423267947645236,0.5925925925925926,1.2011800664839882,0.7145644599303048,5.114156303314102,-3.414884828433673,0.5082591296112864,0.04741304500282556,1.0917841852238495,1.0,0.33381269694158294,atr_20_pct > 3.6964 AND dist_high_120 > -19.2429 AND dist_sma_50 <= 4.5396
3193,71,0.5352112676056338,0.21165177298373994,0.5242505409673016,3.05817392106298,-2.0069023980145206,0.4203903355696419,0.017150011537238663,0.4080522544105087,0.5915492957746479,0.6541935027509704,0.5916339869281019,4.465823180042078,-2.950607903555946,0.47538570815444975,0.014539623545988922,0.6953269223359612,0.5915492957746479,0.893290022102632,1.0687581699346407,5.316784752758527,-3.526657158295584,0.47538570815444975,0.014539623545988922,0.7838941408424931,1.0,0.7710857370384085,atr_20_pct > 4.0278 AND rs_market_60d <= 20.2142 AND weekly_range_pct <= 8.6578
3675,57,0.543859649122807,0.8081401763490917,0.7880519480519422,3.3640872996492,-2.114424397787468,0.4159046083127224,0.012664284280319182,1.0045406577758604,0.631578947368421,1.63939549612893,1.0191940967951887,4.994250477130657,-2.8345474603690737,0.5017755948554761,0.040929510247015244,1.680528915713921,0.6842105263157895,2.3839956040607397,1.5841099476439793,5.937292874788704,-3.2473875110204102,0.5551998120281706,0.09435372741970977,2.274599722800601,1.0,1.135131875238597,dist_high_20 <= -9.7274 AND dist_high_252 > -24.9965 AND n_sub_2_5_range_7d <= 0.5000 AND roc_20 > -13.8908
2859,117,0.5042735042735043,0.03487929361757585,0.027220678825950057,2.7875486711528916,-2.0439930417559395,0.41499152028206293,0.011751196249659701,0.2312797750443446,0.5811965811965812,0.7144991034503978,0.5916339869281019,4.022585360026189,-2.7931685240582795,0.4906115223409662,0.029765437732505395,0.7556325230353885,0.5811965811965812,0.9985343843003611,0.7134939759036164,4.954790120482491,-3.373499357369314,0.4906115223409662,0.029765437732505395,0.8891385030402222,1.0,0.2523970236003092,atr_20_pct > 3.6767 AND dist_high_120 > -15.6026 AND dist_sma_50 <= 4.6136 AND rs_market_60d <= 49.0845
