pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,lift_over_best_single
3923+6508,118,0.5,0.17190674701758693,0.0006426367926183618,2.5946994795919927,-1.9449209301164483,0.41121731418502067,0.007976990152617436,0.3683072284443557,0.5677966101694916,0.8321580286663531,0.5511252817640689,4.028813685572586,-2.5339536310258657,0.4776703089507045,0.016824224342243677,0.8732914482513439,0.6186440677966102,1.3692758187151595,1.0240776330498738,5.072441397401167,-2.971779582670547,0.5285752066363015,0.0677291220278407,1.2598799374550207,1.0,0.30378373932105757,0.002652737483105294
3675+7246,41,0.5609756097560976,1.0567487061473715,1.0366998856395961,3.5743994410868485,-2.0613648731389715,0.41040265151757305,0.007162327485169817,1.2531491875741403,0.6585365853658537,2.210473754832918,1.8113142094729853,5.466923457005272,-2.7243128974572763,0.5054955435372689,0.04464945892880806,2.2516071744179085,0.7317073170731707,2.894441135808692,1.9829318094707162,6.551326865629438,-3.0849839639527747,0.5806617472399707,0.11981566263150983,2.785045254548553,1.0,1.619885950466316,-0.005501956795149365
2712+2692,92,0.5108695652173914,0.22126427716116143,0.2228778523485843,3.0548969085578563,-2.2444681966232456,0.41035314036206955,0.007112816329666316,0.4176647585879302,0.5869565217391305,0.8571543919422553,0.9394635749885462,4.7622700934779445,-3.1643617308687375,0.48483148595056913,0.023985401342108303,0.898287811527246,0.6413043478260869,1.6139374681374188,1.56205193611783,6.094651361999603,-3.6886880753647215,0.5394508158914832,0.07860473128302242,1.50454158687728,0.0,1.0463290883088547,-0.016498566444211937
2913+7562,176,0.48295454545454547,0.08620269049587191,-0.20873720645444668,2.5303137342404582,-1.9167997754247947,0.41028317494954947,0.007042850917146237,0.2826031719226407,0.4943181818181818,0.4313922276656745,-0.09553180074082887,3.884350973866299,-2.795710374702656,0.421367120665671,-0.039478963942789824,0.47252564725066526,0.48295454545454547,0.734130891051807,-0.16415142841167504,5.016508032235091,-3.4936798250602936,0.41028317494954947,-0.05056290965891136,0.6247350097916681,1.0,0.38140390105844985,0.00020227515463383527
2454+7562,383,0.4595300261096606,0.03886339900969097,-0.2227615062761544,2.443389292192022,-1.9398402054213035,0.4102673780258336,0.007027053993430343,0.2352638804364597,0.5195822454308094,0.37048598888617,0.28044997321588394,3.6918517436026956,-2.772473366140908,0.46959923089284195,0.00875314628438112,0.4116194084711608,0.5300261096605744,0.7886076678777767,0.48463484292125447,4.777299077492377,-3.385034676101467,0.4799905632992314,0.019144478690770572,0.6792117866176378,1.0,0.33658434766511197,0.0028977468606626866
2454+6201,62,0.532258064516129,0.3165006349472925,0.2228778523485843,3.085486966836423,-1.8862261532833668,0.4098381737584801,0.006597849726076854,0.5129011163740613,0.5967741935483871,1.0982394673902758,0.7441556762698355,4.935253352567188,-2.7537301687514524,0.4725024243632989,0.011656339754838096,1.1393728869752666,0.6290322580645161,2.0187558351943395,1.780887667131552,6.447890782763577,-3.317958150027721,0.504577349121774,0.04373126451331316,1.9093599539342008,1.0,0.07414754016205682,0.0024685425933091976
8030+4846,39,0.5641025641025641,0.28377368642666245,0.5636077012533925,3.0963428659859913,-2.017712338262352,0.4097542347452211,0.006513910712817872,0.4801741678534312,0.5897435897435898,1.005074646825326,1.100999099286364,5.127383249143825,-3.151389383124544,0.4341834847334491,-0.02666259987501174,1.0462080664103168,0.6153846153846154,2.292404910868942,1.6318367346938747,6.89856145552683,-3.6693455066693232,0.45898781310078474,-0.0018582715076760903,2.183009029608803,1.0,0.34469276106538976,-0.013786926684950462
8030+9511,39,0.5641025641025641,0.32198413111665314,0.24194372787809573,2.5262633473004503,-1.812842147686627,0.4097542347452211,0.006513910712817872,0.5183846125434219,0.6410256410256411,1.0930928160952438,0.9595439403825613,3.805601639843085,-2.1489335445223494,0.484178631846895,0.023332547238434198,1.1342262356802346,0.6666666666666666,1.4920396825208364,1.6318367346938747,5.140751321862831,-2.3830539218546583,0.5097710432024052,0.04892495859394436,1.3826438012606976,1.0,0.6397528957129421,-0.013786926684950462
4783+6201,37,0.5675675675675675,0.5091725374563044,0.5351219512195239,3.4798337444055654,-1.7747122383615086,0.40913906334200717,0.00589873930960394,0.7055730188830731,0.7027027027027027,2.319245063376086,1.5293894487255424,5.858739832961583,-2.4175540644610187,0.5421656082795642,0.08131952367110334,2.3603784829610768,0.8378378378378378,4.529107791618257,3.2769602763385075,7.994121408684074,-2.569224809682654,0.6886320070454415,0.22778592243698065,4.419711910358118,1.0,0.0531190546225529,0.004105279365173187
8030+4118,37,0.5675675675675675,0.5116568222480843,0.8169278736229569,3.5773958888537436,-2.0337501010181818,0.40913906334200717,0.00589873930960394,0.708057303674853,0.6486486486486487,1.870090139340642,1.9544578313252894,5.772753575616634,-2.742114510854351,0.48758729517569566,0.02674121056723483,1.9112235589256328,0.6486486486486487,3.0733074722041724,3.2496385542168538,7.432503388407724,-3.285581275563642,0.48758729517569566,0.02674121056723483,2.9639115909440337,1.0,0.21538073843870104,-0.014402098088164395
