rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0444,pair,down_day_streak__pct,lo,0.1,ret5_pct__pct,hi,0.7,20,330,0.06060606060606061,3.563227208796829,4.845328224918954,63.33333333333333,69.82100339807202
R0449,pair,down_day_streak__pct,lo,0.1,ret2_pct__pct,hi,0.7,24,445,0.05393258426966292,3.1708718532214477,4.851199569069541,64.71910112359551,68.53093701548221
R0452,pair,down_day_streak__pct,lo,0.1,up_day_streak__pct,hi,0.9,22,364,0.06043956043956044,3.5534381230583763,4.518805960286531,61.53846153846154,65.09807216773719
R0439,pair,down_day_streak__pct,lo,0.1,ret2_pct__pct,hi,0.8,20,363,0.05509641873278237,3.239297462542572,4.791408164287772,63.63636363636363,60.63417017781041
R0453,pair,down_day_streak__pct,lo,0.1,last30_ret_pct__pct,lo,0.3,8,154,0.05194805194805195,3.0541947503972824,5.956961494615357,70.77922077922078,59.00781488723932
R0131,atom,down_day_streak__pct,lo,0.1,,,,27,552,0.04891304347826087,2.8757567418822236,4.596159152086417,63.58695652173913,57.18617426436656
R0426,pair,down_day_streak__pct,lo,0.1,ret3_pct__pct,hi,0.8,18,307,0.05863192182410423,3.4471611759369973,4.349953886541283,62.21498371335505,57.11170827774549
R0558,pair,trend3_20__pct,hi,0.95,vol_avg20__pct,lo,0.2,25,296,0.08445945945945946,4.965646025772608,2.451304633201061,54.054054054054056,55.550382267650086
R0424,pair,down_day_streak__pct,lo,0.1,ret_std_20d__pct,hi,0.7,10,148,0.06756756756756757,3.9725168206180865,4.349854823833482,59.45945945945946,53.99220448392078
R0624,pair,ret3_pct__pct,hi,0.95,last60_volume__pct,lo,0.1,9,84,0.10714285714285714,6.299276672694393,2.3460149408706092,53.57142857142857,49.92840741882085
R0429,pair,down_day_streak__pct,lo,0.1,ret3_pct__pct,hi,0.7,20,390,0.05128205128205128,3.0150384074434706,4.229769131149334,63.33333333333333,48.19189206378959
R0589,pair,trend3_20__pct,hi,0.95,last30_volume__pct,lo,0.2,17,187,0.09090909090909091,5.344840813195244,2.174625276108895,52.406417112299465,46.884402371928836
R0441,pair,down_day_streak__pct,lo,0.1,intra_range_pct__pct,hi,0.8,10,118,0.0847457627118644,4.982478724165057,3.244447862499105,54.23728813559322,46.38468438283636
R0540,pair,trend3_20__pct,hi,0.95,down_day_streak__pct,lo,0.2,15,141,0.10638297872340426,6.254600951611455,2.0320011976522063,50.35460992907801,45.84762921882451
R0489,pair,ret5_pct__pct,hi,0.95,vol_avg20__pct,lo,0.2,19,242,0.07851239669421488,4.615998884123165,2.276179568549575,54.54545454545454,43.89279551061399
R0661,pair,ret3_pct__pct,hi,0.95,last30_volume__pct,lo,0.2,19,174,0.10919540229885058,6.419952471021873,1.5481863860270204,51.14942528735632,43.55602347698129
R0508,pair,ret5_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.3,52,670,0.07761194029850746,4.563058127086088,1.8688332022516003,52.98507462686567,43.41925883564581
R0633,pair,ret3_pct__pct,hi,0.95,last15_volume__pct,lo,0.1,8,86,0.09302325581395349,5.469139436757923,2.476218668020572,53.48837209302325,42.16970705052132
R0764,pair,ret3_pct__pct,hi,0.9,first60_ret_pct__pct,lo,0.05,13,126,0.10317460317460317,6.065970129261268,1.748671859696952,53.17460317460318,41.56001306362656
R0648,pair,ret3_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.3,54,654,0.08256880733944955,4.854488445012194,1.4799206355980823,52.752293577981646,41.06516453737228
R0454,pair,down_day_streak__pct,lo,0.1,last30_ret_pct__pct,lo,0.2,5,106,0.04716981132075472,2.7732664596767775,6.731746635012793,70.75471698113208,40.515866775715
R0480,pair,ret5_pct__pct,hi,0.95,last60_ret_pct__pct,lo,0.05,15,148,0.10135135135135136,5.95877523092713,1.858529116181537,50.67567567567568,40.15822133693033
R0422,pair,down_day_streak__pct,lo,0.1,ret_std_20d__pct,hi,0.8,7,101,0.06930693069306931,4.0747796298617205,3.6069256686311144,58.415841584158414,39.81289672934427
R0451,pair,down_day_streak__pct,lo,0.1,day_range_pct__pct,hi,0.9,7,77,0.09090909090909091,5.344840813195244,3.6503298071180854,51.94805194805194,39.75671234205197
