config_id,entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,avg_symbol_prior,high_tier_only,top_n,min_rules,rule_weight,profile_weight,symbol_prior_weight
C000,2025-03-25,2025-03-24,10,"HONAUT,RHIM,BLUEDART,RKFORGE,DCMSHRIRAM,CRISIL,ERIS,SUNDARMFIN,KEC,AIAENG",557.6347714275049,23.9,0.20416911332941864,1,10,0,1.0,2.0,4.0
C000,2025-03-26,2025-03-25,10,"FORCEMOT,JBMA,IREDA,TARIL,MRPL,TEJASNET,ZENTEC,JWL,HONAUT,TEGA",1080.457174620149,42.6,0.30907711880994326,1,10,0,1.0,2.0,4.0
C000,2025-03-27,2025-03-26,10,"GALLANTT,BLUEDART,FORCEMOT,GRAPHITE,JWL,JBMA,PARADEEP,MRPL,JSWDULUX,IGIL",1278.8076492404355,49.8,0.2592434918770797,1,10,0,1.0,2.0,4.0
C000,2025-03-28,2025-03-27,10,"ZFCVINDIA,PTCIL,BLUEDART,HEG,GALLANTT,FORCEMOT,SHREECEM,SPLPETRO,GRAPHITE,JWL",1000.8183911850567,38.7,0.2935380141487012,1,10,0,1.0,2.0,4.0
C000,2025-04-01,2025-03-28,10,"JSWDULUX,RPOWER,RAINBOW,RHIM,FSL,PTCIL,ERIS,NEULANDLAB,DCMSHRIRAM,SPLPETRO",1110.761353229585,41.8,0.3485996700500517,1,10,0,1.0,2.0,4.0
C000,2025-04-02,2025-04-01,10,"JSWDULUX,ZFCVINDIA,NAVA,BEML,MAPMYINDIA,RPOWER,NEULANDLAB,RAMCOCEM,BSE,ASTERDM",1062.182794195938,41.8,0.2973615188882364,1,10,0,1.0,2.0,4.0
C000,2025-04-03,2025-04-02,10,"ZFCVINDIA,IDEA,HBLENGINE,NAVA,BAYERCROP,GODFRYPHLP,PARADEEP,AIIL,WHIRLPOOL,HONAUT",852.0742285668694,34.9,0.26975141906439615,1,10,0,1.0,2.0,4.0
C000,2025-04-04,2025-04-03,10,"GALLANTT,BBTC,EMCURE,GODFRYPHLP,MAPMYINDIA,NAVINFLUOR,FORCEMOT,GLAND,PERSISTENT,BSE",640.9957757659752,26.8,0.14209238598551574,1,10,0,1.0,2.0,4.0
C000,2025-04-07,2025-04-04,10,"TATACONSUM,PNBHOUSING,PARADEEP,RAMCOCEM,MAXHEALTH,INDUSTOWER,ADANIPOWER,SBFC,LALPATHLAB,RBLBANK",2793.5479431743415,44.6,0.3165541201800744,1,10,0,1.0,2.0,4.0
C000,2025-04-08,2025-04-07,10,"GMRAIRPORT,RAINBOW,ASAHIINDIA,PNBHOUSING,MARICO,TORNTPHARM,GODREJCP,PARADEEP,BRITANNIA,RAMCOCEM",3593.5550168489654,59.7,0.17157956547269523,1,10,0,1.0,2.0,4.0
C000,2025-04-09,2025-04-08,10,"ASAHIINDIA,VTL,SIEMENS,BAJAJHLDNG,FORCEMOT,JSWINFRA,IGL,DELHIVERY,SARDAEN,IGIL",423.8444383261566,19.1,0.20283812879232727,1,10,0,1.0,2.0,4.0
C000,2025-04-11,2025-04-09,10,"GMRAIRPORT,BERGEPAINT,AADHARHFC,RAINBOW,SUNDARMFIN,AIAENG,PARADEEP,FORCEMOT,SHREECEM,EMCURE",672.6831058967356,26.6,0.11697005284791544,1,10,0,1.0,2.0,4.0
C000,2025-04-15,2025-04-11,10,"GMRAIRPORT,GODREJCP,PTCIL,HINDPETRO,ONESOURCE,MUTHOOTFIN,CRISIL,ECLERX,HEG,VIJAYA",355.5027386810385,16.2,0.22899505075077595,1,10,0,1.0,2.0,4.0
C000,2025-04-16,2025-04-15,10,"PAGEIND,ASAHIINDIA,ATUL,PIIND,ABDL,DOMS,BHARTIHEXA,FORCEMOT,LALPATHLAB,SPLPETRO",399.6681248307725,16.7,0.1571980818164024,1,10,0,1.0,2.0,4.0
C000,2025-04-17,2025-04-16,10,"NEULANDLAB,MRF,INTELLECT,SYRMA,SAILIFE,ATUL,DATAPATTNS,GRAVITA,3MINDIA,FORCEMOT",873.2235804723545,35.1,0.14956155803484045,1,10,0,1.0,2.0,4.0
C000,2025-04-21,2025-04-17,10,"MRF,GMDCLTD,DOMS,GALLANTT,INDUSINDBK,JBMA,NEULANDLAB,KAYNES,HONAUT,IREDA",751.2644086923281,30.9,0.22127617929144647,1,10,0,1.0,2.0,4.0
C000,2025-04-22,2025-04-21,10,"DOMS,FACT,GALLANTT,JBMA,EMCURE,NBCC,POWERINDIA,BLUEJET,NTPCGREEN,MRF",549.6911727245408,21.6,0.32031708749266,1,10,0,1.0,2.0,4.0
C000,2025-04-23,2025-04-22,10,"FACT,DELHIVERY,EMCURE,GMDCLTD,TECHNOE,SUZLON,CHOLAHLDNG,FORCEMOT,POLYMED,KAYNES",497.50687176635455,20.5,0.162507339988256,1,10,0,1.0,2.0,4.0
C000,2025-04-24,2025-04-23,10,"DATAPATTNS,KFINTECH,FORCEMOT,AAVAS,AIAENG,TARIL,ITI,GALLANTT,J&KBANK,NAM-INDIA",538.2307929769063,23.9,0.26995693873556464,1,10,0,1.0,2.0,4.0
C000,2025-04-25,2025-04-24,10,"WAAREEENER,OFSS,MOTILALOFS,DATAPATTNS,KFINTECH,AIAENG,GILLETTE,ASAHIINDIA,MRF,360ONE",702.548128350649,29.1,0.07085731062830299,1,10,0,1.0,2.0,4.0
C000,2025-04-28,2025-04-25,10,"CHOICEIN,TECHM,REDINGTON,SPLPETRO,ANURAS,DELHIVERY,CARTRADE,APARINDS,COFORGE,POLYMED",3134.1277447087114,51.6,0.19478371501272265,1,10,0,1.0,2.0,4.0
C000,2025-04-29,2025-04-28,10,"JSWDULUX,NEWGEN,CHOICEIN,NATCOPHARM,CARTRADE,NAVINFLUOR,PERSISTENT,ATUL,FORCEMOT,AIAENG",794.6990499890413,31.6,0.07979056566842826,1,10,0,1.0,2.0,4.0
C000,2025-04-30,2025-04-29,10,"MRF,FORCEMOT,CRISIL,RBLBANK,CHOICEIN,COFORGE,GODFRYPHLP,NAVINFLUOR,GODIGIT,JUBLINGREA",391.61170389581366,16.7,0.08075944411822274,1,10,0,1.0,2.0,4.0
C000,2025-05-02,2025-04-30,10,"MAZDOCK,DATAPATTNS,POWERINDIA,COCHINSHIP,GRSE,MRF,BDL,WHIRLPOOL,FORCEMOT,INDUSINDBK",1418.8070861915182,57.2,0.19416911332941864,1,10,0,1.0,2.0,4.0
