poll_ist,fn,symbol,exchange,periodicity,bars,newest_bar_ist,close,oi,volume,reply_ms,error
2026-09-23 11:52:50,GetExchangeSnapshot,NFO,NFO,1minute,2908,2026-09-23 11:37:00,2576,622530,2908,26031,
2026-09-23 11:54:30,GetHistory,NIFTY 50,NSE_IDX,1minute,151,2026-09-23 11:39:00,23436.75,0,0,1812,
2026-09-23 11:54:31,GetHistory,RELIANCE,NSE,1minute,145,2026-09-23 11:39:00,1248.6,0,25720,869,
2026-09-23 11:54:32,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,145,2026-09-23 11:39:00,23447.0,16237390,4485,1391,
2026-09-23 11:54:34,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,145,2026-09-23 11:39:00,175.05,3096210,79820,1133,
2026-09-23 11:55:00,GetExchangeSnapshot,NFO,NFO,1minute,3107,2026-09-23 11:39:00,2763,665344,3107,26465,
2026-09-23 11:55:23,GetExchangeSnapshot,NSE,NSE,1minute,1699,2026-09-23 11:40:00,2,319511,1699,23035,
2026-09-23 11:55:34,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,62,2026-09-23 11:30:00,56708.2,1886580,4140,2068,
2026-09-23 11:55:35,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,62,2026-09-23 11:30:00,23450.0,16234725,62010,1553,
2026-09-23 11:55:37,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,62,2026-09-23 11:30:00,1251.4,113231000,561500,1461,
2026-09-23 11:55:38,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,62,2026-09-23 11:30:00,631.9,138330,18210,1166,
2026-09-23 11:55:39,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,62,2026-09-23 11:30:00,142.9,314760,29880,1250,
2026-09-23 11:55:43,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,62,2026-09-23 11:30:00,176.55,3078985,1924845,3632,
2026-09-23 11:55:44,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,62,2026-09-23 11:30:00,75.5,7717645,2117570,1485,
2026-09-23 11:55:47,GetHistory,HDFCBANK,NSE,15minute,64,2026-09-23 11:30:00,741.6,0,679666,2372,
2026-09-23 11:55:49,GetHistory,RELIANCE,NSE,15minute,64,2026-09-23 11:30:00,1248.2,0,429028,2409,
2026-09-23 11:55:52,GetHistory,NIFTY 50,NSE_IDX,15minute,108,2026-09-23 11:30:00,23438.8,0,0,3328,
2026-09-23 11:55:56,GetHistory,NIFTY BANK,NSE_IDX,15minute,108,2026-09-23 11:30:00,56583.25,0,0,3262,
2026-09-23 11:56:36,GetHistory,NIFTY 50,NSE_IDX,1minute,153,2026-09-23 11:41:00,23437.0,0,0,1467,
2026-09-23 11:56:37,GetHistory,RELIANCE,NSE,1minute,147,2026-09-23 11:41:00,1248.7,0,13706,874,
2026-09-23 11:56:37,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,147,2026-09-23 11:41:00,23450.0,16235310,6240,608,
2026-09-23 11:56:39,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,147,2026-09-23 11:41:00,174.5,3089710,45305,1587,
2026-09-23 11:57:06,GetExchangeSnapshot,NFO,NFO,1minute,3065,2026-09-23 11:41:00,2678,656243,3065,26557,
2026-09-23 11:58:45,GetHistory,NIFTY 50,NSE_IDX,1minute,155,2026-09-23 11:43:00,23438.45,0,0,1103,
2026-09-23 11:58:47,GetHistory,RELIANCE,NSE,1minute,149,2026-09-23 11:43:00,1248.3,0,11041,1839,
2026-09-23 11:58:50,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,149,2026-09-23 11:43:00,23448.3,16234400,1950,2879,
2026-09-23 11:58:51,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,149,2026-09-23 11:43:00,175.75,3077100,59735,1253,
2026-09-23 11:59:18,GetExchangeSnapshot,NFO,NFO,1minute,2854,2026-09-23 11:44:00,2542,611132,2854,26768,
2026-09-23 11:59:41,GetExchangeSnapshot,NSE,NSE,1minute,1623,2026-09-23 11:44:00,1,305504,1623,23184,
2026-09-23 12:01:01,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,56680.2,1885440,3480,2001,
2026-09-23 12:01:03,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,23448.0,16217890,48945,1464,
2026-09-23 12:01:04,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,1251.9,113246500,365500,1463,
2026-09-23 12:01:05,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,63,2026-09-23 11:45:00,613.85,138660,15240,1131,
2026-09-23 12:01:08,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,63,2026-09-23 11:45:00,153.4,316710,35550,3024,
2026-09-23 12:01:09,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,63,2026-09-23 11:45:00,172.6,2891720,1599650,1017,
2026-09-23 12:01:13,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,63,2026-09-23 11:45:00,76.1,7952230,2660255,4094,
2026-09-23 12:01:16,GetHistory,HDFCBANK,NSE,15minute,65,2026-09-23 11:45:00,741.55,0,436175,2383,
2026-09-23 12:01:18,GetHistory,RELIANCE,NSE,15minute,65,2026-09-23 11:45:00,1249.0,0,369878,2525,
2026-09-23 12:01:23,GetHistory,NIFTY 50,NSE_IDX,15minute,109,2026-09-23 11:45:00,23429.45,0,0,4838,
2026-09-23 12:01:26,GetHistory,NIFTY BANK,NSE_IDX,15minute,109,2026-09-23 11:45:00,56530.9,0,0,3386,
2026-09-23 12:01:27,GetHistory,NIFTY 50,NSE_IDX,1minute,158,2026-09-23 11:46:00,23440.95,0,0,1034,
2026-09-23 12:01:29,GetHistory,RELIANCE,NSE,1minute,152,2026-09-23 11:46:00,1250.2,0,39996,1943,
2026-09-23 12:01:32,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,152,2026-09-23 11:46:00,23458.0,16233035,3120,2173,
2026-09-23 12:01:33,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,152,2026-09-23 11:46:00,181.1,3029845,154895,1009,
2026-09-23 12:02:01,GetExchangeSnapshot,NFO,NFO,1minute,3245,2026-09-23 11:46:00,2923,694646,3245,28787,
2026-09-23 12:03:13,GetHistory,NIFTY 50,NSE_IDX,1minute,160,2026-09-23 11:48:00,23438.35,0,0,1332,
2026-09-23 12:03:14,GetHistory,RELIANCE,NSE,1minute,154,2026-09-23 11:48:00,1249.9,0,36046,1514,
2026-09-23 12:03:15,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,154,2026-09-23 11:48:00,23450.0,16232515,5200,498,
2026-09-23 12:03:16,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,154,2026-09-23 11:48:00,176.75,2997995,164710,1239,
2026-09-23 12:03:44,GetExchangeSnapshot,NFO,NFO,1minute,3150,2026-09-23 11:48:00,2788,674372,3150,27725,
2026-09-23 12:04:07,GetExchangeSnapshot,NSE,NSE,1minute,1622,2026-09-23 11:49:00,2,305054,1622,23673,
2026-09-23 12:05:34,GetHistory,NIFTY 50,NSE_IDX,1minute,162,2026-09-23 11:50:00,23428.85,0,0,987,
2026-09-23 12:05:36,GetHistory,RELIANCE,NSE,1minute,156,2026-09-23 11:50:00,1249.0,0,41395,2004,
2026-09-23 12:05:37,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,156,2026-09-23 11:50:00,23444.7,16232385,3380,1054,
2026-09-23 12:05:37,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,156,2026-09-23 11:50:00,170.5,2908035,352040,543,
2026-09-23 12:06:06,GetExchangeSnapshot,NFO,NFO,1minute,3129,2026-09-23 11:50:00,2790,670509,3129,28079,
2026-09-23 12:06:16,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,56680.2,1885440,3480,1557,
2026-09-23 12:06:21,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,23448.0,16217890,48945,4925,
2026-09-23 12:06:25,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,1251.9,113246500,365500,3363,
2026-09-23 12:06:26,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,63,2026-09-23 11:45:00,613.85,138660,15240,1117,
2026-09-23 12:06:27,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,63,2026-09-23 11:45:00,153.4,316710,35550,1240,
2026-09-23 12:06:28,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,63,2026-09-23 11:45:00,172.6,2891720,1599650,950,
2026-09-23 12:06:30,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,63,2026-09-23 11:45:00,76.1,7952230,2660255,1576,
2026-09-23 12:06:35,GetHistory,HDFCBANK,NSE,15minute,65,2026-09-23 11:45:00,741.55,0,436175,5032,
2026-09-23 12:06:37,GetHistory,RELIANCE,NSE,15minute,65,2026-09-23 11:45:00,1249.0,0,369878,2894,
