date,month,n_stocks,portfolio_ret_pct_cash,portfolio_pnl_rs,basket_MFE_pct,basket_MAE_pct,basket_EOD_pct,armed,capture_pct,hit_+1pct,basket_exit_reason
2024-10-07,2024-10,5,-1.197,-1186.0,0.729,-4.788,-4.503,no,0.0,no,mixed/stops
2024-10-08,2024-10,5,2.477,2443.0,6.058,-0.552,5.858,YES,41.0,YES,TRAIL
2024-10-09,2024-10,5,0.925,900.0,2.111,0.163,0.796,YES,44.0,no,mixed/stops
2024-10-10,2024-10,5,0.448,442.0,2.226,-0.035,1.508,YES,20.0,no,mixed/stops
2024-10-11,2024-10,5,1.539,1508.0,3.877,-0.384,3.173,YES,40.0,YES,TRAIL
2024-10-14,2024-10,5,-0.862,-850.0,0.913,-1.586,-1.421,no,0.0,no,mixed/stops
2024-10-15,2024-10,5,0.782,749.0,1.701,-0.832,1.202,no,46.0,no,mixed/stops
2024-10-16,2024-10,5,-0.202,-193.0,1.123,-0.88,0.147,no,0.0,no,mixed/stops
2024-10-17,2024-10,5,-0.658,-635.0,1.044,-0.952,-0.027,no,0.0,no,mixed/stops
2024-10-18,2024-10,5,-1.5,-1477.0,6.093,-2.365,5.226,YES,0.0,no,BASKET_STOP
2024-10-21,2024-10,5,-1.328,-1252.0,0.832,-2.539,-2.159,no,0.0,no,mixed/stops
2024-10-22,2024-10,5,-1.356,-1339.0,0.756,-1.486,-1.321,no,0.0,no,mixed/stops
2024-10-23,2024-10,5,0.999,988.0,5.988,-0.759,4.965,YES,17.0,no,mixed/stops
2024-10-24,2024-10,5,2.102,2092.0,3.772,1.012,3.035,YES,56.0,YES,TRAIL
2024-10-25,2024-10,5,-0.195,-194.0,1.217,-2.9,0.689,no,0.0,no,mixed/stops
2024-10-28,2024-10,5,-0.892,-862.0,0.491,-1.835,-1.483,no,0.0,no,mixed/stops
2024-10-29,2024-10,5,-1.5,-1482.0,2.779,-1.503,2.297,YES,0.0,no,BASKET_STOP
2024-10-30,2024-10,5,1.28,1272.0,7.59,-0.423,6.253,YES,17.0,YES,TRAIL
2024-10-31,2024-10,5,-1.113,-1096.0,1.133,-1.535,0.79,no,0.0,no,mixed/stops
2024-11-04,2024-11,5,-1.5,-1497.0,0.189,-4.589,-4.277,no,0.0,no,mixed/stops
2024-11-05,2024-11,5,2.827,2702.0,4.125,-0.459,3.712,YES,69.0,YES,TRAIL
2024-11-06,2024-11,4,1.757,1344.0,3.91,0.923,3.824,YES,45.0,YES,TRAIL
2024-11-07,2024-11,4,2.162,1678.0,3.786,0.213,3.464,YES,57.0,YES,TRAIL
2024-11-08,2024-11,5,0.18,176.0,3.995,-1.183,2.429,YES,5.0,no,mixed/stops
