tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v18_best,2025-05-02,8,6,4,3,50.0,50.0,"MARUTI,INDIACEM,CEATLTD,HONASA,TIMKEN,FORCEMOT,SCHAEFFLER,IGL,ACUTAAS,ATUL,GODFRYPHLP,REDINGTON,APARINDS,MPHASIS,AUBANK","TIMKEN,FORCEMOT,ELECON,INDIACEM,CREDITACC,MAZDOCK,POWERINDIA,HONASA","CREDITACC,ELECON,POWERINDIA"
v18_best,2025-05-05,9,5,6,3,66.66666666666666,60.0,"FORCEMOT,ELECON,INDIACEM,CREDITACC,MARUTI,POWERINDIA,TIMKEN,HONASA,CEATLTD,MAZDOCK,SCHAEFFLER,IGL,ACUTAAS,GODFRYPHLP,ATUL","TIINDIA,CEATLTD,INDIACEM,SONATSOFTW,IGL,GRSE,MAZDOCK,MARUTI,POWERINDIA","GRSE,TIINDIA"
v18_best,2025-05-06,11,3,1,0,9.090909090909092,0.0,"TIINDIA,IGL,CEATLTD,MAZDOCK,GRSE,FORCEMOT,ELECON,INDIACEM,CREDITACC,POWERINDIA,SONATSOFTW,HONASA,TIMKEN,MARUTI,GODFRYPHLP","WELSPUNLIV,KPRMILL,CONCORDBIO,ENDURANCE,YESBANK,CCL,SPLPETRO,IIFL,TIMKEN,KAJARIACER,TMPV","KAJARIACER,SPLPETRO,WELSPUNLIV"
v18_best,2025-05-07,15,14,9,9,60.0,64.28571428571429,"WELSPUNLIV,SPLPETRO,TIINDIA,IGL,CEATLTD,KAJARIACER,GRSE,MAZDOCK,KPRMILL,CONCORDBIO,ENDURANCE,YESBANK,CCL,IIFL,TIMKEN","WELSPUNLIV,YESBANK,KPRMILL,ENDURANCE,CONCORDBIO,APARINDS,IIFL,SPLPETRO,TIMKEN,CEMPRO,TMPV,ZEEL,GVT&D,KAJARIACER,CRAFTSMAN","APARINDS,CEMPRO,GVT&D,TMPV,ZEEL"
v18_best,2025-05-08,5,1,3,1,60.0,100.0,"WELSPUNLIV,ENDURANCE,IIFL,KPRMILL,YESBANK,APARINDS,SPLPETRO,TIMKEN,CONCORDBIO,CEMPRO,TMPV,GVT&D,ZEEL,KAJARIACER,CCL","CONCORDBIO,YESBANK,SPLPETRO,CRAFTSMAN,RRKABEL",
v18_best,2025-05-09,10,10,7,7,70.0,70.0,"CONCORDBIO,WELSPUNLIV,ENDURANCE,YESBANK,IIFL,KPRMILL,APARINDS,SPLPETRO,TIMKEN,CEMPRO,TMPV,GVT&D,ZEEL,KAJARIACER,CRAFTSMAN","YESBANK,SPLPETRO,ENDURANCE,KAJARIACER,IIFL,CRAFTSMAN,ELECON,RRKABEL,UNIONBANK,TMPV","ELECON,RRKABEL,UNIONBANK"
v18_best,2025-05-12,6,3,4,2,66.66666666666666,66.66666666666666,"YESBANK,SPLPETRO,KAJARIACER,ENDURANCE,CRAFTSMAN,IIFL,ELECON,CONCORDBIO,RRKABEL,UNIONBANK,TMPV,WELSPUNLIV,APARINDS,KPRMILL,TIINDIA","CONCORDBIO,APARINDS,TIMKEN,ENDURANCE,ELECON,CCL",CCL
v18_best,2025-05-13,1,1,0,0,0.0,0.0,"ENDURANCE,YESBANK,ELECON,SPLPETRO,KAJARIACER,CRAFTSMAN,IIFL,RRKABEL,UNIONBANK,CONCORDBIO,APARINDS,CCL,TIMKEN,TMPV,WELSPUNLIV",GRSE,GRSE
v18_best,2025-05-14,11,10,0,0,0.0,0.0,"ENDURANCE,GRSE,ELECON,CONCORDBIO,APARINDS,CCL,TIMKEN,YESBANK,SPLPETRO,WELSPUNLIV,IIFL,KAJARIACER,KPRMILL,CRAFTSMAN,TIINDIA","IRCON,PTCIL,RVNL,TITAGARH,HBLENGINE,IFCI,BAJAJHLDNG,SCI,IRFC,RITES,GESHIP","BAJAJHLDNG,GESHIP,HBLENGINE,IFCI,IRCON,IRFC,PTCIL,RITES,RVNL,TITAGARH"
v18_best,2025-05-15,6,5,2,1,33.33333333333333,20.0,"IRCON,PTCIL,HBLENGINE,TITAGARH,RVNL,IFCI,IRFC,BAJAJHLDNG,RITES,GESHIP,GRSE,SCI,ENDURANCE,YESBANK,SPLPETRO","BAJAJHLDNG,KPIL,SCI,ANANTRAJ,KEC,ECLERX","ANANTRAJ,ECLERX,KEC,KPIL"
