entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2024-12-24,2024-12-23,15,"ACE,GICRE,AEGISLOG,ANANTRAJ,TECHNOE,ZENTEC,FIVESTAR,NEWGEN,KFINTECH,POWERINDIA,KPRMILL,IPCALAB,HONASA,CARTRADE,PGEL",43.07856959256422,"{""continuation"": 9, ""pullback_reversal"": 6}",15:29,EOD,15,-2.23735,-2.55375666514274,1582.0333257136997
2024-12-26,2024-12-24,15,"ACUTAAS,ELECON,ACE,HSCL,SOLARINDS,ANANTRAJ,SIGNATURE,AJANTPHARM,GRSE,KFINTECH,POWERINDIA,IPCALAB,KPRMILL,HONASA,GICRE",22.41321136175996,"{""continuation"": 8, ""dryup_compression"": 2, ""pullback_reversal"": 5}",15:29,EOD,15,2.8027600000000557,2.4858604062464558,1584.497968768
2024-12-27,2024-12-26,15,"INTELLECT,DEVYANI,ACUTAAS,AWL,ELECON,AJANTPHARM,HSCL,SOLARINDS,GRSE,PTCIL,SIGNATURE,PGEL,CAPLIPOINT,GICRE,AEGISLOG",18.288913128985243,"{""continuation"": 10, ""fresh_breakout"": 1, ""pullback_reversal"": 4}",15:29,EOD,15,15.737267999999972,15.41629797120506,1604.85014397456
2024-12-30,2024-12-27,15,"PTCIL,GRSE,AJANTPHARM,DEVYANI,CAPLIPOINT,PGEL,INTELLECT,CEATLTD,AWL,DCMSHRIRAM,ACUTAAS,GICRE,ANANTRAJ,AEGISLOG,ZENTEC",43.703123135978984,"{""continuation"": 12, ""fresh_breakout"": 1, ""pullback_reversal"": 2}",09:21,HARD_STOP,15,-4.102855999999866,-4.41804217109597,1575.9308554805198
2024-12-31,2024-12-30,15,"PTCIL,GRSE,AJANTPHARM,INTELLECT,DEVYANI,CAPLIPOINT,PGEL,CEATLTD,ACUTAAS,AMBER,SOLARINDS,DCMSHRIRAM,HSCL,ELECON,KFINTECH",34.38487939673262,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}",09:27,HARD_STOP,15,-3.0476259999999775,-3.3628495385777017,1576.1176928886202
2025-01-01,2024-12-31,15,"MAHABANK,RAILTEL,DMART,SAMMAANCAP,LATENTVIEW,SHYAMMETL,OIL,SAREGAMA,HUDCO,INTELLECT,TARIL,CHOLAHLDNG,SUNDARMFIN,PTCIL,AMBER",39.97701871702817,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 4, ""recovery"": 2}",15:29,EOD,15,4.036881999999937,3.719235264563044,1588.23367718446
2025-01-02,2025-01-01,15,"SHYAMMETL,SAREGAMA,DMART,SAMMAANCAP,AWL,MAHABANK,POLYMED,RAILTEL,LATENTVIEW,PTCIL,OIL,VIJAYA,CHOLAHLDNG,HUDCO,TARIL",41.06243346339521,"{""continuation"": 11, ""dryup_compression"": 1, ""pullback_reversal"": 3}",15:29,EOD,15,7.761445999999997,7.442205163789896,1596.2041810505
2025-01-03,2025-01-02,15,"SUNDARMFIN,FORCEMOT,OIL,CHOLAHLDNG,DMART,EICHERMOT,HUDCO,CARTRADE,SAREGAMA,SHYAMMETL,AWL,SAMMAANCAP,IGL,POLYMED,PTCIL",46.16190782892317,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}",15:29,EOD,15,14.813816000000108,14.492753863748211,1605.3106812594801
2025-01-06,2025-01-03,15,"SAREGAMA,DMART,SHYAMMETL,ITI,IREDA,SUNDARMFIN,FORCEMOT,OIL,CHOLAHLDNG,HUDCO,EICHERMOT,MAHABANK,CARTRADE,IGL,RITES",40.423056316062585,"{""continuation"": 14, ""fresh_breakout"": 1}",10:45,HARD_STOP,15,-3.173219999999925,-3.489075488259213,1579.2774412964397
2025-01-07,2025-01-06,15,"SAREGAMA,DMART,SHYAMMETL,ITI,AWL,IREDA,MAHABANK,TARIL,FORCEMOT,HUDCO,SUNDARMFIN,RITES,CREDITACC,OIL,SAMMAANCAP",37.635966753488795,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 3}",09:54,HARD_STOP,15,-3.773265999999922,-4.089503829986918,1581.1891499349804
