memory_days,mode,entry_date,signal_date,n_positions,symbols
3,all_prev_manual,2024-12-17,2024-12-16,15,"PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM,TITAGARH,LATENTVIEW,GODFRYPHLP,DELHIVERY,SYRMA"
3,all_prev_manual,2024-12-18,2024-12-17,15,"PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,TARIL,MANAPPURAM,BLS,POWERINDIA,MAXHEALTH,CHALET"
3,all_prev_manual,2024-12-19,2024-12-18,15,"LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA,AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,KPRMILL"
3,all_prev_manual,2024-12-20,2024-12-19,15,"AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,POWERINDIA,KPRMILL,TECHNOE,GICRE,HONASA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D"
3,all_prev_manual,2024-12-23,2024-12-20,15,"TECHNOE,KFINTECH,AEGISLOG,GICRE,CARTRADE,KPRMILL,HONASA,POWERINDIA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D,ACE,KEC"
3,all_prev_manual,2024-12-24,2024-12-23,15,"AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA,ACE,TECHNOE,GICRE,KPRMILL,KFINTECH,IPCALAB,HONASA"
3,all_prev_manual,2024-12-26,2024-12-24,15,"ACE,AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,KPRMILL,ANANTRAJ,KFINTECH,POWERINDIA,IPCALAB,HONASA,AJANTPHARM,GRSE"
3,all_prev_manual,2024-12-27,2024-12-26,15,"ACE,ANANTRAJ,KFINTECH,POWERINDIA,IPCALAB,KPRMILL,HONASA,AJANTPHARM,GRSE,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,PTCIL"
3,all_prev_manual,2024-12-30,2024-12-27,15,"AJANTPHARM,GRSE,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,PTCIL,PGEL,INTELLECT,DEVYANI,CAPLIPOINT,AWL,CEATLTD,DCMSHRIRAM"
3,all_prev_manual,2024-12-31,2024-12-30,15,"AJANTPHARM,GRSE,PTCIL,PGEL,INTELLECT,DEVYANI,CAPLIPOINT,AWL,ACUTAAS,CEATLTD,DCMSHRIRAM,AMBER,SOLARINDS,HSCL,ELECON"
3,all_prev_manual,2025-01-01,2024-12-31,15,"GRSE,AJANTPHARM,PTCIL,PGEL,DEVYANI,CAPLIPOINT,ACUTAAS,CEATLTD,DCMSHRIRAM,INTELLECT,AMBER,SOLARINDS,HSCL,ELECON,KFINTECH"
3,all_prev_manual,2025-01-02,2025-01-01,15,"INTELLECT,AMBER,ACUTAAS,SOLARINDS,HSCL,ELECON,KFINTECH,MAHABANK,DMART,CHOLAHLDNG,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL"
3,all_prev_manual,2025-01-03,2025-01-02,15,"MAHABANK,DMART,CHOLAHLDNG,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL,LATENTVIEW,SUNDARMFIN,PTCIL,HUDCO,TARIL,VIJAYA,AWL"
3,all_prev_manual,2025-01-06,2025-01-03,15,"CHOLAHLDNG,SHYAMMETL,DMART,SAREGAMA,SAMMAANCAP,AWL,SUNDARMFIN,POLYMED,PTCIL,VIJAYA,FORCEMOT,OIL,HUDCO,EICHERMOT,CARTRADE"
3,all_prev_manual,2025-01-07,2025-01-06,15,"FORCEMOT,OIL,DMART,CHOLAHLDNG,SUNDARMFIN,HUDCO,EICHERMOT,CARTRADE,IGL,MAHABANK,SAREGAMA,SHYAMMETL,IREDA,RITES,ITI"
3,all_prev_manual,2025-01-08,2025-01-07,15,"DMART,SAREGAMA,SHYAMMETL,IREDA,RITES,ITI,MAHABANK,HUDCO,TARIL,FORCEMOT,SUNDARMFIN,AWL,CREDITACC,SRF,JSWDULUX"
3,all_prev_manual,2025-01-09,2025-01-08,15,"TARIL,FORCEMOT,SUNDARMFIN,AWL,RITES,CREDITACC,HUDCO,SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,AARTIIND"
3,all_prev_manual,2025-01-10,2025-01-09,15,"SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,AARTIIND,RKFORGE,NAVINFLUOR,UBL,MARICO,CONCORDBIO,PTCIL,ITI"
3,all_prev_manual,2025-01-13,2025-01-10,15,"SRF,ANANDRATHI,AARTIIND,CONCORDBIO,RKFORGE,UBL,SHYAMMETL,JSWDULUX,PTCIL,VIJAYA,LLOYDSME,BDL,NAVINFLUOR,MARICO,INDIAMART"
3,all_prev_manual,2025-01-14,2025-01-13,15,"SHYAMMETL,SRF,JSWDULUX,ANANDRATHI,AARTIIND,PTCIL,VIJAYA,LLOYDSME,UBL,RKFORGE,BDL,NAVINFLUOR,MARICO,INDIAMART,CONCORDBIO"
3,all_prev_manual,2025-01-16,2025-01-15,15,"SHYAMMETL,LLOYDSME,PTCIL,VIJAYA,UBL,RKFORGE,BDL,INDIAMART,SRF,JSWDULUX,CONCORDBIO,IDEA,RAILTEL,RPOWER,NBCC"
3,all_prev_manual,2025-01-17,2025-01-16,15,"SHYAMMETL,SRF,LLOYDSME,JSWDULUX,PTCIL,VIJAYA,UBL,BDL,CONCORDBIO,INDIAMART,IDEA,RAILTEL,RPOWER,NBCC,RVNL"
3,all_prev_manual,2025-01-20,2025-01-17,15,"IDEA,RAILTEL,RPOWER,NBCC,RVNL,ADANIGREEN,BDL,GMDCLTD,IRCON,BLS,INOXWIND,MINDACORP,SWANCORP,ADANIENSOL,HUDCO"
3,all_prev_manual,2025-01-21,2025-01-20,15,"RAILTEL,GMDCLTD,ADANIENSOL,RPOWER,JWL,RVNL,HUDCO,BDL,IDBI,SWANCORP,SAMMAANCAP,INOXWIND,NBCC,HFCL,PAYTM"
3,all_prev_manual,2025-01-22,2025-01-21,15,"INOXWIND,NBCC,HFCL,SWANCORP,PAYTM,NIACL,JWL,MINDACORP,ADANIGREEN,RAILTEL,BSE,CGCL,ZENSARTECH,COFORGE,FIVESTAR"
3,all_prev_manual,2025-01-23,2025-01-22,15,"HFCL,INOXWIND,SWANCORP,PAYTM,NIACL,JWL,MINDACORP,ADANIGREEN,RAILTEL,BSE,CGCL,ZENSARTECH,COFORGE,FIVESTAR,ULTRACEMCO"
3,all_prev_manual,2025-01-24,2025-01-23,15,"CGCL,ZENSARTECH,COFORGE,FIVESTAR,ULTRACEMCO,MPHASIS,WOCKPHARMA,POLICYBZR,MCX,KFINTECH,KEI,NAVA,PERSISTENT,AMBER,LAURUSLABS"
3,all_prev_manual,2025-01-27,2025-01-24,15,"PERSISTENT,CGCL,COFORGE,ZENSARTECH,AMBER,FIVESTAR,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KEI,NAVA,KFINTECH,MCX"
3,all_prev_manual,2025-01-28,2025-01-27,15,"CGCL,COFORGE,PERSISTENT,ZENSARTECH,AMBER,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KFINTECH,NAVA,FIVESTAR,MCX,BBTC"
3,all_prev_manual,2025-01-29,2025-01-28,15,"CGCL,FIVESTAR,PERSISTENT,ZENSARTECH,COFORGE,WOCKPHARMA,POLICYBZR,ULTRACEMCO,MCX,NAVA,BBTC,POLYMED,ZENTEC,GRAVITA,KPITTECH"
3,all_prev_manual,2025-01-30,2025-01-29,15,"PERSISTENT,ZENSARTECH,COFORGE,WOCKPHARMA,POLICYBZR,ULTRACEMCO,MCX,NAVA,BBTC,POLYMED,ZENTEC,GRAVITA,KPITTECH,PCBL,JMFINANCIL"
3,all_prev_manual,2025-01-31,2025-01-30,15,"POLYMED,ZENTEC,GRAVITA,KPITTECH,PCBL,JMFINANCIL,JUBLFOOD,PGEL,TRENT,KALYANKJIL,BRIGADE,OLECTRA,NETWEB,GODFRYPHLP,SYRMA"
3,prof_prev_manual,2024-12-02,2024-11-29,15,"ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER,HONASA,ADANIENT,TRITURBINE,PREMIERENE,OLAELEC,FACT,HUDCO,TTML,CAPLIPOINT,WOCKPHARMA,NEULANDLAB"
3,prof_prev_manual,2024-12-03,2024-12-02,15,"BDL,CAMS,GRSE,COCHINSHIP,SONATSOFTW,ADANIGREEN,ADANIENSOL,OLAELEC,ADANIPOWER,NEULANDLAB,PREMIERENE,ATGL,PPLPHARMA,PGEL,HONASA"
