memory_days,mode,entry_date,manual_n,profitable_n,hit_n,profitable_hit_n,profitable_coverage_pct,picked_symbols,missed_profitable_symbols
1,prof_prev_manual,2024-12-12,10,7,4,4,57.14285714285714,"POWERINDIA,CHALET,MAXHEALTH,TITAGARH,ITI,MAPMYINDIA,SWANCORP,ZENTEC,TRITURBINE,CARTRADE,ANGELONE,GABRIEL,PGEL,NEWGEN,BSE","BLS,CRISIL,MANAPPURAM"
1,prof_prev_manual,2024-12-13,9,7,2,2,28.57142857142857,"PGEL,POWERINDIA,CHALET,BLS,CRISIL,MAXHEALTH,MANAPPURAM,ITI,SWANCORP,JWL,ZENTEC,MAPMYINDIA,JUBLINGREA,GPIL,AIIL","DELHIVERY,GODFRYPHLP,JBMA,KPRMILL,SYRMA"
1,prof_prev_manual,2024-12-16,9,6,2,0,0.0,"PGEL,JBMA,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,SWANCORP,ITI,CHALET,ZENTEC,JWL,TTML,JUBLINGREA,GABRIEL","BLS,MANAPPURAM,MAXHEALTH,POWERINDIA,TARIL,TITAGARH"
1,prof_prev_manual,2024-12-17,7,1,1,0,0.0,"TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,PGEL,SWANCORP,WOCKPHARMA,ZENTEC,JUBLINGREA,JWL,TBOTEK,CHALET,SYRMA",AEGISLOG
1,prof_prev_manual,2024-12-18,8,5,1,0,0.0,"AEGISLOG,PGEL,JYOTICNC,ZENTEC,CHALET,SWANCORP,WOCKPHARMA,KAYNES,TEGA,MAZDOCK,LODHA,PAYTM,TBOTEK,ANANTRAJ,HBLENGINE","CARTRADE,GICRE,HONASA,KFINTECH,KPRMILL"
1,prof_prev_manual,2024-12-19,8,7,2,2,28.57142857142857,"KFINTECH,GICRE,CARTRADE,KPRMILL,HONASA,JYOTICNC,ZENTEC,PGEL,TECHNOE,CRAFTSMAN,BHARTIHEXA,BLUEJET,CHALET,GRAVITA,ACE","ANANTRAJ,FIVESTAR,GVT&D,NEWGEN,POWERINDIA"
1,prof_prev_manual,2024-12-20,8,6,4,3,50.0,"FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA,PGEL,KFINTECH,BLUEJET,CRAFTSMAN,JYOTICNC,KAYNES,KPRMILL,GRAVITA","AEGISLOG,GICRE,TECHNOE"
1,prof_prev_manual,2024-12-23,7,2,1,0,0.0,"AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,CARTRADE,KFINTECH,KEC,JYOTICNC,BLUEJET,GRAVITA,GVT&D,KAYNES,GODIGIT","ACE,ANANTRAJ"
1,prof_prev_manual,2024-12-24,7,5,0,0,0.0,"ACE,ANANTRAJ,ZENTEC,KFINTECH,CARTRADE,TECHNOE,AEGISLOG,GICRE,GRAVITA,KAYNES,MANKIND,BLUEJET,JYOTICNC,KEC,SUNDARMFIN","ACUTAAS,ELECON,HSCL,SIGNATURE,SOLARINDS"
1,prof_prev_manual,2024-12-26,8,3,2,1,33.33333333333333,"ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,KFINTECH,ZENTEC,CARTRADE,INTELLECT,GICRE,AEGISLOG,AMBER,MANKIND,PTCIL,KEC","AWL,DEVYANI"
1,prof_prev_manual,2024-12-27,9,8,4,3,37.5,"INTELLECT,DEVYANI,AWL,KFINTECH,CARTRADE,GICRE,ZENTEC,AMBER,PGEL,ACUTAAS,SARDAEN,PTCIL,NEWGEN,ELECON,GVT&D","AJANTPHARM,CAPLIPOINT,CEATLTD,DCMSHRIRAM,GRSE"
1,prof_prev_manual,2024-12-30,7,1,3,1,100.0,"GRSE,AJANTPHARM,PTCIL,PGEL,DEVYANI,CAPLIPOINT,CEATLTD,DCMSHRIRAM,INTELLECT,GICRE,KFINTECH,CARTRADE,AMBER,NEWGEN,AEGISLOG",
1,prof_prev_manual,2024-12-31,14,10,1,0,0.0,"INTELLECT,ITI,KFINTECH,NEWGEN,PGEL,AMBER,CAPLIPOINT,BLUESTARCO,BAJAJHLDNG,PTCIL,POWERINDIA,MANAPPURAM,ADANIGREEN,SAGILITY,FIVESTAR","DMART,HUDCO,LATENTVIEW,MAHABANK,OIL,RAILTEL,SAMMAANCAP,SAREGAMA,SHYAMMETL,TARIL"
1,prof_prev_manual,2025-01-01,10,8,4,4,50.0,"MAHABANK,DMART,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL,LATENTVIEW,HUDCO,TARIL,ITI,KFINTECH,NEWGEN,CRISIL,BAJAJHLDNG","AWL,POLYMED,PTCIL,VIJAYA"
1,prof_prev_manual,2025-01-02,10,10,1,1,10.0,"SHYAMMETL,DMART,SAREGAMA,SAMMAANCAP,AWL,POLYMED,PTCIL,VIJAYA,ITI,TARIL,BLUESTARCO,CRISIL,INTELLECT,POWERINDIA,BAJAJHLDNG","CARTRADE,CHOLAHLDNG,EICHERMOT,FORCEMOT,HUDCO,IGL,MAHABANK,OIL,SUNDARMFIN"
1,prof_prev_manual,2025-01-03,8,7,4,4,57.14285714285714,"FORCEMOT,OIL,DMART,CHOLAHLDNG,SUNDARMFIN,HUDCO,EICHERMOT,CARTRADE,IGL,MAHABANK,ITI,BLUESTARCO,TARIL,AIIL,CRISIL","IREDA,SAREGAMA,SHYAMMETL"
1,prof_prev_manual,2025-01-06,7,1,3,0,0.0,"DMART,SAREGAMA,SHYAMMETL,IREDA,ITI,MAHABANK,HUDCO,BLUESTARCO,AIIL,SUNDARMFIN,CRISIL,CARTRADE,TARIL,CHOLAHLDNG,PARADEEP",AWL
1,prof_prev_manual,2025-01-07,12,10,2,2,20.0,"AWL,ITI,AIIL,PTCIL,VIJAYA,SAREGAMA,PARADEEP,DEVYANI,BLUESTARCO,SAPPHIRE,LLOYDSME,TARIL,SUNDARMFIN,CARTRADE,AMBER","ANANDRATHI,BDL,JSWDULUX,NAVINFLUOR,RKFORGE,SHYAMMETL,SRF,UBL"
