feature,direction,threshold,fired_n,selected_n,profitable_n,precision,selected_precision,lift,rank_mean,score
rs_market_5d__pct,hi,0.85,3148,149,77,0.02445997458703939,0.047331639135959336,2.165800643434535,7.805369127516778,0.13133258951960225
range_avg3__pct,hi,0.75,5221,224,124,0.023750239417736067,0.04290365830300709,2.102957369379796,7.736607142857143,0.12586809969933602
dist_sma_10__pct,hi,0.85,3150,143,75,0.023809523809523808,0.045396825396825394,2.108206686930091,8.013986013986013,0.11599693148979325
lower_wick_pct__pct,hi,0.75,5224,210,125,0.023928024502297092,0.04019908116385911,2.1186992929523316,8.019047619047619,0.11571896976909543
range_avg10__pct,hi,0.9,2109,92,51,0.02418207681365576,0.04362256993835941,2.14119427378106,7.608695652173913,0.11003804447605398
range_avg10__pct,hi,0.85,3148,131,75,0.023824650571791613,0.041613722998729355,2.109546081267404,7.809160305343512,0.10918941181321466
dist_high_120__pct,lo,0.1,2030,79,50,0.024630541871921183,0.03891625615763547,2.1809034692380256,7.025316455696203,0.10811042790992823
ret2_pct__pct,hi,0.9,2111,97,49,0.023211747986736146,0.04594978683088584,2.0552768174808755,7.536082474226804,0.10703639224989202
range_avg5__pct,hi,0.75,5222,221,115,0.022022213711221754,0.04232094982765224,1.9499498846940522,7.728506787330317,0.10538298539223237
range_avg40__pct,hi,0.85,3123,125,75,0.024015369836695485,0.04002561639449247,2.1264332577104668,8.296,0.10028360824799708
range_avg60__pct,hi,0.75,5165,204,117,0.02265246853823814,0.03949661181026137,2.0057555972070604,8.259803921568627,0.09778983444557242
ret7_pct__pct,hi,0.85,3146,129,70,0.02225047679593134,0.041004450095359184,1.970161366679742,7.829457364341085,0.09236710428758177
ret2_pct__pct,hi,0.85,3151,131,69,0.021897810218978103,0.041574103459219296,1.9389346171765804,7.679389312977099,0.09199353827357351
ret10_pct__pct,hi,0.9,2103,87,47,0.02234902520209225,0.04136947218259629,1.9788873038516408,7.264367816091954,0.09129804518557243
range_avg10__pct,hi,0.75,5218,205,112,0.021464162514373324,0.03928708317362974,1.9005374195705538,8.004878048780487,0.08914697584759546
dist_low_40__pct,hi,0.9,2101,85,48,0.02284626368396002,0.0404569252736792,2.02291512653549,7.8352941176470585,0.08766667573442749
range_avg40__pct,hi,0.75,5195,201,112,0.021559191530317615,0.03869104908565929,1.9089517334589317,8.139303482587065,0.08712490750119893
range_avg20__pct,hi,0.75,5213,200,110,0.021101093420295414,0.03836562440053712,1.8683895825085404,7.975,0.0839437263169386
dist_low_60__pct,hi,0.9,2094,91,46,0.021967526265520534,0.04345749761222541,1.945107602267878,8.23076923076923,0.08190494314353192
range_avg5__pct,hi,0.65,7292,271,148,0.02029621503017005,0.037164015359297864,1.797121882330972,7.74169741697417,0.08161303629909095
dist_sma_20__pct,hi,0.9,2109,86,45,0.021337126600284494,0.04077761972498815,1.889289065100935,7.27906976744186,0.08071998407042498
rs_sector_20d__pct,lo,0.15,3079,103,67,0.021760311789542058,0.03345241961675869,1.9267598626246432,6.834951456310679,0.07992820265986456
dry_count_3__pct,lo,0.1,1025,40,24,0.023414634146341463,0.03902439024390244,2.0732413077322263,7.4,0.0772938466276399
ret4_pct__pct,hi,0.75,5219,197,106,0.020310404292009962,0.037746694769112854,1.7983782659920993,7.7969543147208125,0.07701075469286701
range_avg3__pct,hi,0.65,7292,265,147,0.02015907844212836,0.03634119583104772,1.7849791669098167,7.90566037735849,0.07692638184817797
dry_count_7__pct,lo,0.1,1974,71,43,0.021783181357649443,0.03596757852077001,1.9287848412339135,7.211267605633803,0.07406860966709836
range_avg60__pct,hi,0.65,7218,253,146,0.02022720975339429,0.03505126073704627,1.7910118321218231,7.988142292490118,0.07390380262429481
turn_pct_252__pct,hi,0.9,2060,81,43,0.02087378640776699,0.03932038834951456,1.8482627556290023,7.271604938271605,0.07344533652330028
rs_sector_20d__pct,lo,0.1,2050,69,44,0.021463414634146343,0.033658536585365856,1.900471198754541,6.72463768115942,0.07134261979405374
