entry_date,stock,adv_cr,qty,entry_price,exit_price,deployed_rs,exit_value_rs,pnl_rs,stock_return_pct,day_portfolio_return_pct,day_result
2026-02-04,ADANIPOWER,510.0,862,145.0,144.93,124990.0,124930.0,-60.0,-0.05,1.056,WIN
2026-02-04,NYKAA,169.0,507,246.4,246.12,124925.0,124783.0,-142.0,-0.11,1.056,WIN
2026-02-05,GODFRYPHLP,195.0,48,2050.0,1983.4,98400.0,95203.0,-3197.0,-3.25,-1.054,LOSS
2026-02-05,GODREJPROP,200.0,58,1720.0,1685.0,99760.0,97730.0,-2030.0,-2.03,-1.054,LOSS
2026-02-05,CDSL,473.0,73,1363.0,1362.0,99499.0,99426.0,-73.0,-0.07,-1.054,LOSS
2026-02-05,LICI,160.0,119,835.5,840.0,99424.0,99960.0,536.0,0.54,-1.054,LOSS
2026-02-05,ABCAPITAL,142.0,288,347.0,345.35,99936.0,99461.0,-475.0,-0.48,-1.054,LOSS
2026-02-06,GODFRYPHLP,195.0,50,1980.0,2079.5,99000.0,103975.0,4975.0,5.03,1.087,WIN
2026-02-06,ABCAPITAL,142.0,290,344.0,344.6,99760.0,99934.0,174.0,0.17,1.087,WIN
2026-02-06,GODREJPROP,200.0,58,1695.0,1699.1,98310.0,98548.0,238.0,0.24,1.087,WIN
2026-02-06,POWERINDIA,235.0,4,20900.0,21449.0,83600.0,85796.0,2196.0,2.63,1.087,WIN
2026-02-06,CDSL,473.0,73,1362.0,1329.6,99426.0,97061.0,-2365.0,-2.38,1.087,WIN
2026-02-09,ABCAPITAL,142.0,285,350.05,348.5,99764.0,99322.0,-442.0,-0.44,1.009,WIN
2026-02-09,GODREJPROP,200.0,58,1721.0,1757.6,99818.0,101941.0,2123.0,2.13,1.009,WIN
2026-02-09,UPL,166.0,133,747.8,740.0,99457.0,98420.0,-1037.0,-1.04,1.009,WIN
2026-02-09,KAYNES,448.0,26,3765.0,3868.4,97890.0,100578.0,2688.0,2.75,1.009,WIN
2026-02-09,NYKAA,169.0,361,277.0,281.66,99997.0,101679.0,1682.0,1.68,1.009,WIN
2026-02-10,AMBER,297.0,13,7299.0,7482.0,94887.0,97266.0,2379.0,2.51,1.035,WIN
2026-02-10,ENGINERSIN,118.0,550,181.7,183.15,99935.0,100732.0,798.0,0.8,1.035,WIN
2026-02-10,EICHERMOT,308.0,13,7280.0,7290.0,94640.0,94770.0,130.0,0.14,1.035,WIN
2026-02-10,MOTHERSON,275.0,800,124.9,126.35,99920.0,101080.0,1160.0,1.16,1.035,WIN
2026-02-10,ASTRAL,107.0,66,1499.5,1508.4,98967.0,99554.0,587.0,0.59,1.035,WIN
2026-02-11,EICHERMOT,308.0,13,7505.0,7689.0,97565.0,99957.0,2392.0,2.45,1.156,WIN
2026-02-11,ENGINERSIN,118.0,544,183.6,183.05,99878.0,99579.0,-299.0,-0.3,1.156,WIN
2026-02-11,AMBER,297.0,13,7441.0,7474.5,96733.0,97168.0,436.0,0.45,1.156,WIN
