symbol,appearances,adv_cr,v915_cr,bucket
DEEPAKFERT,10,91.5,1.363,Mid-cap
CLEAN,10,34.8,1.221,Small-cap
CUB,10,63.1,0.944,Mid-cap
KPRMILL,9,47.9,0.793,Small-cap
JSWDULUX,9,23.6,3.936,Small-cap
INOXWIND,9,160.7,5.097,Mid-large
GODREJIND,9,36.1,0.38,Small-cap
ITI,9,154.5,2.442,Mid-large
ZOMATO,9,1305.3,33.166,Large-cap
CRISIL,9,30.6,0.376,Small-cap
NUVOCO,9,14.2,0.184,Small-cap
CHOLAHLDNG,9,47.4,0.502,Small-cap
APLAPOLLO,9,109.4,1.412,Mid-large
SCI,9,143.7,2.965,Mid-large
DCMSHRIRAM,9,19.8,0.241,Small-cap
ONESOURCE,9,51.7,4.55,Mid-cap
TEJASNET,9,182.6,3.81,Mid-large
ADANIENSOL,9,258.3,4.378,Mid-large
VTL,9,26.2,0.289,Small-cap
ABREL,9,57.4,0.684,Mid-cap
ENGINERSIN,9,117.8,1.976,Mid-large
POONAWALLA,9,94.1,1.354,Mid-cap
ASAHIINDIA,9,23.3,0.2,Small-cap
PATANJALI,9,128.8,5.142,Mid-large
TATAELXSI,8,152.3,2.663,Mid-large
SYRMA,8,93.4,1.589,Mid-cap
MINDACORP,8,31.6,0.336,Small-cap
IRCON,8,173.6,3.748,Mid-large
IRB,8,124.6,8.052,Mid-large
ANURAS,8,24.6,0.194,Small-cap
ABDL,8,33.6,0.548,Small-cap
IDBI,8,118.0,2.256,Mid-large
SONATSOFTW,8,71.5,1.049,Mid-cap
COFORGE,8,398.7,8.447,Mid-large
SARDAEN,8,44.2,0.712,Small-cap
KARURVYSYA,8,63.5,0.888,Mid-cap
NEWGEN,8,99.0,1.52,Mid-cap
NIACL,8,41.4,0.586,Small-cap
NUVAMA,8,87.3,6.174,Mid-cap
COHANCE,8,63.9,1.066,Mid-cap
CREDITACC,8,96.1,1.274,Mid-cap
IIFL,8,102.8,1.995,Mid-large
POLYMED,8,39.3,1.344,Small-cap
MRPL,8,111.9,1.911,Mid-large
SAPPHIRE,8,25.4,0.281,Small-cap
JYOTICNC,7,57.8,3.869,Mid-cap
SIGNATURE,7,61.3,1.004,Mid-cap
THERMAX,7,68.1,0.741,Mid-cap
SONACOMS,7,127.4,1.838,Mid-large
NAVA,7,41.4,0.524,Small-cap
NATIONALUM,7,353.2,7.959,Mid-large
MAZDOCK,7,877.3,19.675,Large-cap
WHIRLPOOL,7,51.8,1.124,Mid-cap
RHIM,7,25.1,0.18,Small-cap
360ONE,7,101.6,5.903,Mid-large
GRANULES,7,100.5,1.3,Mid-large
AWL,7,82.9,4.297,Mid-cap
BLS,7,137.7,2.025,Mid-large
FINCABLES,7,45.6,0.537,Small-cap
ACUTAAS,7,63.4,1.041,Mid-cap
ADANIENT,7,469.0,8.561,Mid-large
PERSISTENT,6,301.4,5.366,Mid-large
BHEL,6,388.8,7.74,Mid-large
RITES,6,71.2,1.32,Mid-cap
CCL,6,36.3,0.541,Small-cap
POLICYBZR,6,286.7,6.331,Mid-large
PHOENIXLTD,6,121.0,1.464,Mid-large
IGIL,6,69.4,1.456,Mid-cap
PCBL,6,103.1,1.417,Mid-large
SJVN,6,107.1,2.493,Mid-large
OIL,6,232.2,3.992,Mid-large
NSLNISP,6,25.4,0.418,Small-cap
NMDC,6,198.0,3.755,Mid-large
EIHOTEL,6,26.9,0.293,Small-cap
MANKIND,6,136.3,1.761,Mid-large
SBICARD,6,108.2,1.688,Mid-large
J&KBANK,6,43.4,0.768,Small-cap
SOBHA,6,37.8,0.6,Small-cap
HBLENGINE,6,162.9,3.539,Mid-large
AARTIIND,6,73.8,1.41,Mid-cap
ACE,6,41.1,0.749,Small-cap
ACMESOLAR,6,39.1,0.839,Small-cap
ANANDRATHI,6,52.7,0.671,Mid-cap
TATACOMM,6,81.7,1.033,Mid-cap
ETERNAL,6,1305.3,33.166,Large-cap
SUNTV,6,37.1,0.471,Small-cap
FEDERALBNK,5,223.2,3.266,Mid-large
SRF,5,154.8,1.997,Mid-large
ESCORTS,5,67.1,1.021,Mid-cap
NAVINFLUOR,5,99.3,1.863,Mid-cap
WOCKPHARMA,5,106.1,1.738,Mid-large
NH,5,81.5,1.0,Mid-cap
VIJAYA,5,44.6,0.546,Small-cap
VEDL,5,620.5,15.009,Large-cap
NTPCGREEN,5,136.3,3.284,Mid-large
BLUESTARCO,5,105.4,1.5,Mid-large
