config_id,signal_date,entry_date,n_positions,symbols,avg_rank,max_rank,avg_score,avg_lift,avg_n_fires,n_premium,n_gold,n_normal_context,regime_mode,exit_time,exit_reason,gross_ret5x_pct,net_ret5x_pct,gross_ret1x_pct,net_ret1x_pct,gross_rs,charges_rs,net_rs,n_positions_filled,filled_symbols,position_rets
v3_rank12_premium_gold_top10,2025-04-02,2025-04-03,10,"VTL,BDL,GPIL,PARADEEP,LINDEINDIA,TRIDENT,PNBHOUSING,GALLANTT,TATACONSUM,WHIRLPOOL",5.5,10,1242.7724999999998,15.14195,81.4,4,6,4,risk_on,15:29,EOD,25.031257999999912,24.754022715240342,5.006251599999983,4.9508045430480685,125156.28999999957,1386.1764237978598,123770.11357620171,10,"VTL,BDL,GPIL,PARADEEP,LINDEINDIA,TRIDENT,PNBHOUSING,GALLANTT,TATACONSUM,WHIRLPOOL","21.2060,3.2759,3.3266,6.3705,1.1429,7.6190,2.4017,1.2381,1.9145,1.6226"
v3_rank12_premium_gold_top10,2025-04-03,2025-04-04,10,"VTL,PARADEEP,BDL,GPIL,LINDEINDIA,PNBHOUSING,GALLANTT,TATACONSUM,TRIDENT,WHIRLPOOL",6.1,11,1188.9464,14.74312,80.1,4,6,3,risk_on,09:19,HARD_STOP,-3.714380000000075,-3.983516826449522,-0.742876000000015,-0.7967033652899044,-18571.900000000373,1345.68413224724,-19917.58413224761,10,"VTL,PARADEEP,BDL,GPIL,LINDEINDIA,PNBHOUSING,GALLANTT,TATACONSUM,TRIDENT,WHIRLPOOL","-2.1842,-1.7560,-1.7953,-0.7854,-0.7290,-0.0053,0.3010,0.3238,0.3678,-1.1817"
v3_rank12_premium_gold_top10,2025-04-04,2025-04-07,10,"GPIL,VTL,PARADEEP,BDL,PNBHOUSING,GALLANTT,TRIDENT,TATACONSUM,WHIRLPOOL,TEJASNET",6.2,12,1250.7881999999997,14.55839,85.3,4,6,4,neutral,15:29,EOD,38.52715199999995,38.24575681620057,7.70543039999999,7.649151363240113,192635.75999999978,1406.97591899692,191228.78408100284,10,"GPIL,VTL,PARADEEP,BDL,PNBHOUSING,GALLANTT,TRIDENT,TATACONSUM,WHIRLPOOL,TEJASNET","7.5148,3.4066,9.2217,9.7900,4.7581,10.9270,10.5712,2.8459,8.0376,10.1019"
v3_rank12_premium_gold_top10,2025-04-07,2025-04-08,10,"FSL,DIXON,SYRMA,CCL,JUBLINGREA,JMFINANCIL,LTFOODS,MEDANTA,CRAFTSMAN,AFFLE",5.5,10,1704.2912000000001,18.21124,93.6,10,0,1,risk_off,09:19,HARD_STOP,-3.9760199999999255,-4.244980553346222,-0.7952039999999851,-0.8489961106692444,-19880.099999999627,1344.80276673148,-21224.90276673111,10,"FSL,DIXON,SYRMA,CCL,JUBLINGREA,JMFINANCIL,LTFOODS,MEDANTA,CRAFTSMAN,AFFLE","1.2652,-0.2700,-1.4384,0.3837,-3.1559,-5.4337,1.2544,-0.3105,0.5081,-0.7585"
v3_rank12_premium_gold_top10,2025-04-08,2025-04-09,10,"JMFINANCIL,CCL,DIXON,LTFOODS,SYRMA,PIIND,MCX,FSL,KAYNES,NUVAMA",5.5,10,1616.5982999999999,18.289270000000002,88.4,10,0,7,risk_off,09:17,HARD_STOP,-3.367960000000056,-3.6371498540573763,-0.6735920000000112,-0.7274299708114753,-16839.80000000028,1345.9492702866003,-18185.74927028688,10,"JMFINANCIL,CCL,DIXON,LTFOODS,SYRMA,PIIND,MCX,FSL,KAYNES,NUVAMA","-1.5475,-0.3894,-1.4859,-1.5766,-1.3339,0.9692,0.0962,-1.0443,-0.0042,-0.4167"
v3_rank12_premium_gold_top10,2025-04-09,2025-04-11,10,"PIIND,CCL,JUBLINGREA,NUVAMA,LTFOODS,FSL,ATUL,CRAFTSMAN,DEVYANI,SYRMA",5.5,10,1648.6719,18.27263,90.3,10,0,10,risk_off,15:29,EOD,15.885924000000024,15.611135839086279,3.177184800000005,3.1222271678172557,79429.62000000011,1373.9408045687198,78055.6791954314,10,"PIIND,CCL,JUBLINGREA,NUVAMA,LTFOODS,FSL,ATUL,CRAFTSMAN,DEVYANI,SYRMA","5.8173,2.2071,5.4185,-0.9430,0.9415,0.6734,8.2185,0.1379,3.4684,5.8980"
v3_rank12_premium_gold_top10,2025-04-11,2025-04-15,10,"JUBLINGREA,CAPLIPOINT,MCX,SUZLON,LTFOODS,LLOYDSME,TEGA,ABSLAMC,KAYNES,FSL",5.5,10,1635.0791000000002,18.00875,90.8,10,0,5,neutral,15:29,EOD,5.840079999999982,5.568177737998662,1.1680159999999964,1.1136355475997324,29200.399999999907,1359.5113100066,27840.888689993306,10,"JUBLINGREA,CAPLIPOINT,MCX,SUZLON,LTFOODS,LLOYDSME,TEGA,ABSLAMC,KAYNES,FSL","1.8473,0.3293,0.5405,-0.6924,1.1494,2.4782,0.3436,0.0000,3.7870,1.9222"
v3_rank12_premium_gold_top10,2025-04-15,2025-04-16,10,"KFINTECH,JBMA,DOMS,ENGINERSIN,ANURAS,GMDCLTD,DELHIVERY,FACT,BLUEJET,POLYMED",5.5,10,1564.8914,16.380450000000003,95.5,10,0,9,risk_on,15:29,EOD,23.98972000000002,23.712449348167578,4.797944000000004,4.742489869633515,119948.6000000001,1386.3532591622,118562.24674083789,10,"KFINTECH,JBMA,DOMS,ENGINERSIN,ANURAS,GMDCLTD,DELHIVERY,FACT,BLUEJET,POLYMED","3.7234,9.3128,7.2530,7.1118,5.6070,9.3902,1.7015,-0.9260,1.1236,3.7456"
v3_rank12_premium_gold_top10,2025-04-16,2025-04-17,10,"DELHIVERY,KFINTECH,ANURAS,GMDCLTD,FACT,ENGINERSIN,JBMA,INDUSINDBK,DOMS,POLYMED",5.5,10,1457.0238000000002,15.79289,92.3,10,0,7,risk_on,15:29,EOD,14.78367400000002,14.509279297601699,2.956734800000004,2.9018558595203396,73918.37000000011,1371.9735119916202,72546.3964880085,10,"DELHIVERY,KFINTECH,ANURAS,GMDCLTD,FACT,ENGINERSIN,JBMA,INDUSINDBK,DOMS,POLYMED","6.7871,3.0524,0.8181,1.4377,13.4333,-0.9792,0.7413,0.5645,1.6186,2.1640"
v3_rank12_premium_gold_top10,2025-04-17,2025-04-21,10,"FACT,KFINTECH,ENGINERSIN,GMDCLTD,POLYMED,JBMA,ANURAS,DOMS,INDUSINDBK,DELHIVERY",5.5,10,1413.3464999999999,15.67429,90.2,10,0,4,risk_on,09:21,HARD_STOP,-3.2954860000000337,-3.5647715772291493,-0.6590972000000067,-0.7129543154458299,-16477.430000000168,1346.42788614558,-17823.857886145746,10,"FACT,KFINTECH,ENGINERSIN,GMDCLTD,POLYMED,JBMA,ANURAS,DOMS,INDUSINDBK,DELHIVERY","-1.6318,-0.0089,-1.6665,-1.2623,-0.7976,-0.8631,-1.4822,0.3079,0.0312,0.7719"
