pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_9529,91,1316,1.0601978021978022,0.869,5.642,0.511,0.9172712765957446,unclassified
FALCPAT_6754,91,840,1.0936483516483517,0.791,4.434,0.502,0.9165761904761905,unclassified
FALCPAT_6331,90,953,1.218911111111111,0.9984999999999999,4.976,0.512,1.0189821615949632,unclassified
FALCPAT_9517,90,1078,1.0537666666666667,0.915,3.59,0.511,0.9943719851576994,unclassified
FALCPAT_6657,90,1257,1.1372666666666666,1.003,5.471,0.503,0.9606984884645984,unclassified
FALCPAT_7694,90,1309,1.0141888888888888,0.797,3.249,0.504,0.8871970970206263,unclassified
FALCPAT_8260,90,1667,1.0703777777777779,0.9065000000000001,3.675,0.511,0.8769670065986802,unclassified
FALCPAT_8766,89,758,1.8754606741573034,1.543,7.369,0.525,1.5220963060686017,unclassified
FALCPAT_8595,89,744,1.312325842696629,1.101,6.271,0.507,1.1746975806451614,unclassified
FALCPAT_8938,89,951,1.4524831460674157,1.124,6.935,0.509,1.1195036803364877,unclassified
FALCPAT_7561,89,1530,1.3441235955056179,1.016,4.993,0.506,0.9648372549019609,unclassified
FALCPAT_8668,89,1733,1.1381460674157304,0.91,4.325,0.501,0.8907437968840161,unclassified
FALCPAT_6791,89,1832,0.9955280898876405,0.878,2.898,0.501,0.8765294759825327,unclassified
FALCPAT_9300,89,1978,0.9923932584269664,0.754,7.924,0.506,0.778633973710819,unclassified
FALCPAT_8066,88,827,1.3914772727272728,1.2045,6.2,0.502,1.2860894800483675,unclassified
FALCPAT_8076,88,786,1.1557727272727272,0.884,4.008,0.508,1.0157760814249364,unclassified
FALCPAT_6927,88,1383,1.2143295454545455,0.95,4.976,0.502,0.9125256688358642,unclassified
FALCPAT_8883,88,2176,0.94325,0.7815000000000001,3.811,0.501,0.8254843749999999,unclassified
FALCPAT_9221,87,733,1.7086091954022988,1.281,6.549,0.505,1.4201323328785813,unclassified
FALCPAT_7965,87,780,1.4045977011494253,1.236,3.843,0.503,1.2882820512820512,unclassified
FALCPAT_8496,87,1284,0.9735632183908046,0.864,2.58,0.52,0.9398559190031154,unclassified
FALCPAT_9581,86,433,1.5421860465116282,1.1265,5.939,0.559,1.434766743648961,unclassified
FALCPAT_8361,86,800,1.108546511627907,1.0194999999999999,3.013,0.508,1.0522275,unclassified
FALCPAT_7545,86,1710,1.15503488372093,0.9135,3.723,0.507,0.9669251461988302,unclassified
FALCPAT_9170,86,1676,1.2889767441860465,1.014,5.215,0.505,0.9509570405727922,unclassified
FALCPAT_9188,86,1615,1.2521627906976744,0.9995,4.851,0.515,0.9401950464396286,unclassified
FALCPAT_7739,86,1186,1.1682906976744185,0.964,4.714,0.513,0.9050101180438448,unclassified
FALCPAT_9406,86,1511,1.0079767441860465,0.8065,7.207,0.509,0.8069867637326276,unclassified
FALCPAT_7983,85,849,1.237329411764706,0.926,5.417,0.525,1.0668857479387517,unclassified
FALCPAT_7160,85,1140,1.3508,0.995,4.993,0.501,0.9835429824561406,unclassified
FALCPAT_6578,85,1397,1.2223764705882354,0.964,3.947,0.501,0.9726342161775234,unclassified
FALCPAT_6295,85,1599,1.325294117647059,0.958,6.074,0.501,0.9632363977485928,unclassified
FALCPAT_8511,85,1287,1.2777058823529412,0.859,6.605,0.503,0.9597389277389277,unclassified
FALCPAT_8199,85,1622,1.0528588235294116,0.842,3.297,0.505,0.9113914919852033,unclassified
FALCPAT_7799,85,1636,1.0223058823529412,0.968,2.251,0.507,0.8704810513447435,unclassified
FALCPAT_9506,85,1669,1.053564705882353,0.802,6.533,0.505,0.852106051527861,unclassified
FALCPAT_7860,85,1435,0.9546235294117648,0.833,2.845,0.502,0.8393421602787455,unclassified
FALCPAT_6953,85,1859,0.8750588235294117,0.77,2.066,0.511,0.8369010220548683,unclassified
FALCPAT_8332,84,530,1.7211547619047618,1.25,5.105,0.518,1.6057716981132077,unclassified
FALCPAT_7600,84,621,1.3171428571428572,1.123,4.74,0.508,1.1461819645732687,unclassified
FALCPAT_8247,84,757,1.237404761904762,0.992,3.409,0.507,1.1066036988110965,unclassified
FALCPAT_8949,84,887,1.2200119047619047,0.97,3.913,0.501,1.0871713641488163,unclassified
FALCPAT_8664,84,958,1.1076904761904762,0.902,3.642,0.502,1.027643006263048,unclassified
FALCPAT_8206,84,1178,1.271202380952381,0.877,4.298,0.504,0.9936731748726656,unclassified
FALCPAT_6423,84,567,1.039952380952381,0.9015,4.024,0.505,0.9545749559082891,unclassified
FALCPAT_8939,84,1686,1.076154761904762,0.8294999999999999,3.943,0.519,0.8545124555160142,unclassified
FALCPAT_8429,84,1612,1.0246190476190475,0.8285,4.332,0.51,0.8314925558312655,unclassified
FALCPAT_7709,84,1862,0.9161547619047619,0.76,4.211,0.513,0.8020059076262083,unclassified
FALCPAT_9121,83,1016,1.2905421686746987,1.039,4.144,0.506,1.0541240157480316,unclassified
FALCPAT_8733,83,1181,1.3257590361445784,1.011,6.781,0.516,1.0431541066892462,unclassified
FALCPAT_8095,83,857,1.2006144578313254,0.913,5.905,0.529,1.0124562427071178,unclassified
FALCPAT_8407,83,972,1.1196506024096384,0.879,4.355,0.501,0.9948106995884773,unclassified
FALCPAT_7208,83,1235,1.1242048192771084,1.005,2.91,0.51,0.9552064777327935,unclassified
FALCPAT_9338,83,918,1.0298072289156628,0.91,3.027,0.502,0.9304586056644879,unclassified
FALCPAT_7179,83,1535,0.861132530120482,0.796,2.04,0.501,0.8291524429967427,unclassified
FALCPAT_9293,83,2304,0.8875542168674699,0.75,2.326,0.504,0.7359830729166668,unclassified
FALCPAT_8791,82,447,1.7045609756097562,1.353,7.483,0.521,1.5402774049217003,unclassified
FALCPAT_8734,82,729,1.394719512195122,1.126,5.069,0.514,1.2322249657064475,unclassified
FALCPAT_8448,82,1089,1.2529512195121952,1.0325,5.318,0.502,1.0838089990817263,unclassified
FALCPAT_7962,82,578,1.2192560975609756,0.9904999999999999,5.279,0.505,1.058271626297578,unclassified
FALCPAT_8578,82,769,1.2103536585365853,0.818,4.554,0.505,1.0541651495448636,unclassified
FALCPAT_9403,82,1429,1.327609756097561,0.9635,6.144,0.513,0.9209888033589924,unclassified
FALCPAT_6197,82,1218,0.9681219512195122,0.865,3.133,0.505,0.8772241379310344,unclassified
FALCPAT_7872,82,1495,1.017609756097561,0.766,4.284,0.535,0.7887612040133778,unclassified
FALCPAT_8967,82,2311,0.8856585365853658,0.7295,3.378,0.504,0.7773825183903073,unclassified
FALCPAT_8348,81,433,1.5836172839506173,1.201,5.548,0.501,1.529461893764434,unclassified
FALCPAT_7759,81,450,1.4730246913580247,1.095,5.178,0.512,1.3676977777777777,unclassified
FALCPAT_8568,81,857,1.173172839506173,0.923,3.56,0.509,1.1416487747957993,unclassified
FALCPAT_8621,81,952,1.334358024691358,1.043,6.076,0.508,1.0619978991596637,unclassified
FALCPAT_7958,81,901,1.2602222222222224,0.958,5.265,0.52,1.0109977802441732,unclassified
FALCPAT_8225,81,1203,1.0547654320987656,0.85,4.917,0.507,0.954640897755611,unclassified
FALCPAT_7164,81,1403,1.076567901234568,0.88,3.407,0.508,0.8995566642908054,unclassified
FALCPAT_8459,81,1756,1.0015185185185185,0.781,3.841,0.505,0.8489874715261958,unclassified
FALCPAT_8364,81,1901,0.8994938271604938,0.775,4.284,0.508,0.8215886375591793,unclassified
FALCPAT_8291,81,2124,0.902962962962963,0.812,2.28,0.504,0.7418182674199625,unclassified
FALCPAT_7619,80,412,1.7887499999999998,1.444,8.291,0.508,1.6327378640776702,unclassified
FALCPAT_8464,80,749,1.3885875,0.997,4.107,0.522,1.40160347129506,unclassified
FALCPAT_8414,80,782,1.2263125000000001,1.007,6.269,0.537,1.1515051150895141,unclassified
FALCPAT_9317,80,918,1.19605,1.0005,4.176,0.513,1.0980718954248365,unclassified
FALCPAT_6318,80,904,1.2309625,1.0045,4.081,0.513,1.0160464601769912,unclassified
FALCPAT_8582,80,683,1.065275,0.9299999999999999,2.885,0.512,0.9877203513909223,unclassified
FALCPAT_6645,80,860,1.0557750000000001,0.856,2.925,0.513,0.966382558139535,unclassified
FALCPAT_6757,80,724,1.02635,0.819,3.388,0.502,0.9477845303867403,unclassified
FALCPAT_9494,80,1594,1.0209625,0.864,3.22,0.501,0.9170332496863237,unclassified
FALCPAT_9368,80,1475,1.1149499999999999,0.91,3.466,0.513,0.8925545762711865,unclassified
FALCPAT_6882,80,3169,0.8450749999999999,0.7945,2.078,0.501,0.7976282739034396,unclassified
FALCPAT_8378,79,526,1.8660253164556961,1.448,7.636,0.514,1.630058935361217,unclassified
FALCPAT_9301,79,747,1.2762658227848103,1.145,4.646,0.502,1.1767911646586349,unclassified
FALCPAT_6722,79,976,1.1002911392405064,0.907,3.363,0.505,1.0497622950819672,unclassified
FALCPAT_6393,79,728,1.22226582278481,0.93,5.817,0.501,1.0352884615384614,unclassified
FALCPAT_6905,79,1162,1.2066962025316454,0.931,4.743,0.502,0.9906239242685025,unclassified
FALCPAT_9119,79,563,1.0404556962025315,0.901,4.807,0.513,0.9586500888099465,unclassified
