pattern,symbol,n,avg_d1,family,score_n_x_avg
FALCPAT_8245,RHIM,5,4.06,unclassified,20.299999999999997
FALCPAT_7086,IOB,13,4.056,unclassified,52.728
FALCPAT_8546,CHOLAHLDNG,6,4.054,unclassified,24.324
FALCPAT_7320,JSWENERGY,6,4.051,unclassified,24.306
FALCPAT_8463,EXIDEIND,5,4.05,unclassified,20.25
FALCPAT_8397,BIKAJI,6,4.045,unclassified,24.27
FALCPAT_8744,POWERINDIA,5,4.04,unclassified,20.2
FALCPAT_8349,ADANIENT,8,4.035,unclassified,32.28
FALCPAT_8066,ACE,6,4.034,unclassified,24.204
FALCPAT_6423,VTL,6,4.024,unclassified,24.144
FALCPAT_9318,PGEL,7,4.022,unclassified,28.154000000000003
FALCPAT_6318,GRSE,7,4.02,unclassified,28.139999999999997
FALCPAT_9522,VIJAYA,10,4.018,unclassified,40.18
FALCPAT_9506,GODREJIND,6,4.01,unclassified,24.06
FALCPAT_9318,HFCL,5,4.01,unclassified,20.049999999999997
FALCPAT_8076,OFSS,5,4.008,unclassified,20.04
FALCPAT_6318,GODREJIND,7,3.995,unclassified,27.965
FALCPAT_8071,LODHA,8,3.978,unclassified,31.824
FALCPAT_9016,VIJAYA,25,3.969,unclassified,99.225
FALCPAT_9567,LODHA,6,3.965,unclassified,23.79
FALCPAT_9541,LODHA,5,3.963,unclassified,19.815
FALCPAT_8332,LODHA,8,3.955,unclassified,31.64
FALCPAT_6334,RITES,7,3.955,unclassified,27.685000000000002
FALCPAT_7445,POLYMED,5,3.952,unclassified,19.759999999999998
FALCPAT_7199,JPPOWER,7,3.951,unclassified,27.657
FALCPAT_9457,ADANIENT,20,3.949,unclassified,78.97999999999999
FALCPAT_7759,LODHA,6,3.948,unclassified,23.688
FALCPAT_6578,LODHA,8,3.947,unclassified,31.576
FALCPAT_7560,DATAPATTNS,6,3.946,unclassified,23.676000000000002
FALCPAT_9109,VIJAYA,12,3.942,unclassified,47.304
FALCPAT_6343,WELSPUNLIV,6,3.939,unclassified,23.634
FALCPAT_7998,IRFC,6,3.934,unclassified,23.604
FALCPAT_7499,CREDITACC,7,3.932,unclassified,27.524
FALCPAT_8584,LODHA,7,3.932,unclassified,27.524
FALCPAT_7004,JSWENERGY,7,3.925,unclassified,27.474999999999998
FALCPAT_9111,GRSE,7,3.92,unclassified,27.439999999999998
FALCPAT_8766,NUVAMA,5,3.916,unclassified,19.58
FALCPAT_9108,NUVAMA,5,3.916,unclassified,19.58
FALCPAT_8378,HSCL,5,3.912,unclassified,19.56
FALCPAT_7561,POONAWALLA,5,3.897,unclassified,19.485
FALCPAT_6151,UCOBANK,6,3.896,unclassified,23.375999999999998
FALCPAT_7560,ADANIENT,13,3.889,unclassified,50.556999999999995
FALCPAT_9567,NUVAMA,7,3.889,unclassified,27.223
FALCPAT_9403,360ONE,5,3.888,unclassified,19.439999999999998
FALCPAT_6477,ACE,6,3.887,unclassified,23.322
FALCPAT_9343,TTML,7,3.879,unclassified,27.153
FALCPAT_9317,JUBLPHARMA,9,3.872,unclassified,34.848
FALCPAT_7602,CREDITACC,8,3.87,unclassified,30.96
FALCPAT_8762,BSE,8,3.867,unclassified,30.936
FALCPAT_7880,NLCINDIA,7,3.867,unclassified,27.069
FALCPAT_8545,REDINGTON,5,3.859,unclassified,19.295
FALCPAT_9210,INOXWIND,6,3.845,unclassified,23.07
FALCPAT_7965,ERIS,8,3.843,unclassified,30.744
FALCPAT_8459,NUVAMA,7,3.841,unclassified,26.887
FALCPAT_9221,OLECTRA,12,3.831,unclassified,45.972
FALCPAT_8429,GODREJIND,11,3.831,unclassified,42.141
FALCPAT_9221,BLS,8,3.831,unclassified,30.648
FALCPAT_8619,OLECTRA,9,3.826,unclassified,34.434
FALCPAT_8973,NEWGEN,5,3.823,unclassified,19.115
FALCPAT_6332,PPLPHARMA,6,3.822,unclassified,22.932000000000002
FALCPAT_6890,PPLPHARMA,6,3.822,unclassified,22.932000000000002
FALCPAT_6512,JSWENERGY,7,3.82,unclassified,26.74
FALCPAT_8743,JSWENERGY,7,3.82,unclassified,26.74
FALCPAT_8347,PATANJALI,5,3.819,unclassified,19.095
FALCPAT_8449,INTELLECT,5,3.817,unclassified,19.085
FALCPAT_7631,TATACHEM,5,3.815,unclassified,19.075
FALCPAT_7602,LODHA,7,3.812,unclassified,26.683999999999997
FALCPAT_8226,GODREJIND,8,3.81,unclassified,30.48
FALCPAT_6578,CRAFTSMAN,11,3.808,unclassified,41.888
FALCPAT_8878,GODFRYPHLP,7,3.808,unclassified,26.656
FALCPAT_8071,GSPL,5,3.807,unclassified,19.035
FALCPAT_7499,MMTC,5,3.795,unclassified,18.975
FALCPAT_9566,FLUOROCHEM,6,3.792,unclassified,22.752
FALCPAT_8545,RITES,5,3.792,unclassified,18.96
FALCPAT_8733,CGCL,6,3.779,unclassified,22.674
FALCPAT_8196,CAPLIPOINT,10,3.778,unclassified,37.78
FALCPAT_9566,RVNL,5,3.771,unclassified,18.855
FALCPAT_8619,WELSPUNLIV,6,3.765,unclassified,22.59
FALCPAT_7801,VIJAYA,24,3.76,unclassified,90.24
FALCPAT_6810,CONCORDBIO,5,3.752,unclassified,18.759999999999998
FALCPAT_7221,CONCORDBIO,5,3.752,unclassified,18.759999999999998
FALCPAT_7306,CGCL,5,3.752,unclassified,18.759999999999998
FALCPAT_7649,CONCORDBIO,5,3.752,unclassified,18.759999999999998
FALCPAT_8506,ERIS,12,3.75,unclassified,45.0
FALCPAT_7430,NIACL,7,3.74,unclassified,26.18
FALCPAT_8068,RADICO,8,3.736,unclassified,29.888
FALCPAT_6345,HONASA,5,3.736,unclassified,18.68
FALCPAT_6474,JYOTICNC,5,3.736,unclassified,18.68
FALCPAT_6151,IOB,9,3.734,unclassified,33.606
FALCPAT_9449,GRAVITA,5,3.734,unclassified,18.67
FALCPAT_7305,GRSE,8,3.731,unclassified,29.848
FALCPAT_9005,POONAWALLA,9,3.73,unclassified,33.57
FALCPAT_8455,BIKAJI,5,3.728,unclassified,18.64
FALCPAT_7321,RITES,6,3.727,unclassified,22.362
FALCPAT_7832,JWL,6,3.727,unclassified,22.362
FALCPAT_9222,SARDAEN,5,3.725,unclassified,18.625
FALCPAT_8584,IFCI,5,3.724,unclassified,18.62
FALCPAT_7807,UCOBANK,10,3.715,unclassified,37.15
FALCPAT_9426,GPIL,6,3.713,unclassified,22.278
FALCPAT_6865,POONAWALLA,6,3.709,unclassified,22.254
FALCPAT_9412,DATAPATTNS,5,3.706,unclassified,18.53
FALCPAT_8065,SUZLON,10,3.705,unclassified,37.05
FALCPAT_7753,POONAWALLA,7,3.704,unclassified,25.928
FALCPAT_8071,NBCC,7,3.704,unclassified,25.928
FALCPAT_9108,CGPOWER,6,3.704,unclassified,22.224
FALCPAT_9294,IOB,13,3.701,unclassified,48.113
FALCPAT_8813,VIJAYA,9,3.7,unclassified,33.300000000000004
FALCPAT_8347,WELSPUNLIV,6,3.693,unclassified,22.158
FALCPAT_9405,REDINGTON,7,3.692,unclassified,25.844
FALCPAT_7631,KFINTECH,11,3.691,unclassified,40.601
FALCPAT_8325,TATAINVEST,5,3.686,unclassified,18.43
FALCPAT_8578,WOCKPHARMA,5,3.684,unclassified,18.42
FALCPAT_8000,HINDZINC,6,3.682,unclassified,22.092
FALCPAT_8043,HINDZINC,6,3.682,unclassified,22.092
FALCPAT_8619,IRFC,9,3.679,unclassified,33.111
FALCPAT_8079,IDBI,5,3.677,unclassified,18.385
FALCPAT_8260,POONAWALLA,6,3.675,unclassified,22.049999999999997
FALCPAT_7800,CONCORDBIO,6,3.659,unclassified,21.954
FALCPAT_7430,MRPL,9,3.656,unclassified,32.904
FALCPAT_8332,GABRIEL,6,3.65,unclassified,21.9
FALCPAT_9581,FLUOROCHEM,6,3.648,unclassified,21.888
FALCPAT_8585,ERIS,7,3.646,unclassified,25.522
FALCPAT_8664,WOCKPHARMA,6,3.642,unclassified,21.852
FALCPAT_9426,CAPLIPOINT,6,3.641,unclassified,21.846
FALCPAT_8622,HINDZINC,6,3.633,unclassified,21.798000000000002
FALCPAT_7470,RITES,6,3.632,unclassified,21.792
FALCPAT_7834,ITI,16,3.629,unclassified,58.064
FALCPAT_9358,DOMS,6,3.621,unclassified,21.726
FALCPAT_8463,ZENSARTECH,8,3.618,unclassified,28.944
FALCPAT_7820,HBLENGINE,7,3.618,unclassified,25.326
FALCPAT_8619,JUBLPHARMA,8,3.615,unclassified,28.92
FALCPAT_7200,CHAMBLFERT,6,3.61,unclassified,21.66
FALCPAT_8422,NCC,5,3.609,unclassified,18.045
FALCPAT_9339,JBMA,5,3.609,unclassified,18.045
FALCPAT_8349,LODHA,9,3.608,unclassified,32.472
FALCPAT_8958,AEGISLOG,5,3.604,unclassified,18.02
FALCPAT_7618,RADICO,5,3.596,unclassified,17.98
FALCPAT_8585,IOB,13,3.593,unclassified,46.709
FALCPAT_7820,BBTC,6,3.587,unclassified,21.522000000000002
FALCPAT_8646,IOB,13,3.583,unclassified,46.579
FALCPAT_7827,MMTC,10,3.58,unclassified,35.8
FALCPAT_8459,GRAVITA,9,3.58,unclassified,32.22
FALCPAT_8206,MAZDOCK,6,3.578,unclassified,21.468
FALCPAT_9243,CAPLIPOINT,5,3.578,unclassified,17.89
FALCPAT_9124,GODFRYPHLP,8,3.566,unclassified,28.528
FALCPAT_9450,AEGISLOG,7,3.563,unclassified,24.941000000000003
FALCPAT_8568,ERIS,11,3.56,unclassified,39.160000000000004
FALCPAT_8957,FORCEMOT,5,3.56,unclassified,17.8
FALCPAT_8645,LODHA,8,3.559,unclassified,28.472
FALCPAT_8221,GSPL,5,3.553,unclassified,17.765
FALCPAT_8454,TECHNOE,13,3.551,unclassified,46.163000000000004
FALCPAT_9370,LODHA,8,3.551,unclassified,28.408
FALCPAT_6887,UCOBANK,8,3.547,unclassified,28.376
FALCPAT_8415,OLECTRA,5,3.547,unclassified,17.735
FALCPAT_8206,NUVAMA,9,3.546,unclassified,31.913999999999998
FALCPAT_9266,CAPLIPOINT,6,3.546,unclassified,21.276
FALCPAT_8079,VIJAYA,8,3.531,unclassified,28.248
FALCPAT_8584,TRITURBINE,5,3.529,unclassified,17.645
FALCPAT_7992,NIACL,7,3.527,unclassified,24.689
FALCPAT_8348,GODFRYPHLP,7,3.527,unclassified,24.689
FALCPAT_9583,ZENSARTECH,9,3.525,unclassified,31.724999999999998
FALCPAT_9318,IRCON,8,3.522,unclassified,28.176
FALCPAT_7740,VIJAYA,11,3.52,unclassified,38.72
FALCPAT_8890,HFCL,16,3.519,unclassified,56.304
FALCPAT_9584,POLICYBZR,12,3.511,unclassified,42.132000000000005
FALCPAT_8765,JBMA,7,3.504,unclassified,24.528
FALCPAT_7618,NATCOPHARM,5,3.504,unclassified,17.52
FALCPAT_9426,LODHA,14,3.503,unclassified,49.042
FALCPAT_9339,KIRLOSENG,6,3.5,unclassified,21.0
FALCPAT_8225,CCL,5,3.498,unclassified,17.490000000000002
FALCPAT_8347,PGEL,8,3.497,unclassified,27.976
FALCPAT_8721,KIRLOSENG,6,3.496,unclassified,20.976
FALCPAT_9107,WOCKPHARMA,5,3.496,unclassified,17.48
FALCPAT_6569,PPLPHARMA,5,3.495,unclassified,17.475
FALCPAT_8071,BSE,9,3.488,unclassified,31.392
FALCPAT_7745,WOCKPHARMA,6,3.482,unclassified,20.892000000000003
FALCPAT_7561,LODHA,6,3.479,unclassified,20.874000000000002
FALCPAT_9170,LODHA,6,3.479,unclassified,20.874000000000002
FALCPAT_8787,TEGA,5,3.476,unclassified,17.38
FALCPAT_8803,TEGA,5,3.476,unclassified,17.38
FALCPAT_9583,AEGISLOG,7,3.475,unclassified,24.325
FALCPAT_9121,GRAVITA,7,3.474,unclassified,24.318
FALCPAT_8378,RHIM,6,3.473,unclassified,20.838
FALCPAT_8877,PARADEEP,7,3.472,unclassified,24.304
FALCPAT_9301,ANURAS,5,3.471,unclassified,17.355
FALCPAT_8464,GSPL,6,3.467,unclassified,20.802
FALCPAT_9368,BIKAJI,9,3.466,unclassified,31.194000000000003
FALCPAT_8766,KPIL,5,3.463,unclassified,17.315
FALCPAT_8909,GILLETTE,5,3.463,unclassified,17.315
FALCPAT_9516,ADANIPORTS,5,3.462,unclassified,17.310000000000002
FALCPAT_8332,CCL,5,3.459,unclassified,17.295
FALCPAT_9504,GRSE,6,3.458,unclassified,20.748
FALCPAT_6330,LINDEINDIA,6,3.457,unclassified,20.741999999999997
FALCPAT_8198,RKFORGE,6,3.455,unclassified,20.73
