pattern,n_consistent,stocks,calc_n_consistent,pair_rows,total_occurrences,weighted_avg_d1,_merge,n_diff
FALCPAT_6270,8,"HONASA, CONCORDBIO, AIIL, HINDZINC, MMTC, IFCI, COCHINSHIP, SOBHA",8,8,506,0.5964584980237154,both,0
FALCPAT_6288,116,"CGPOWER, MINDACORP, ACE, NLCINDIA, RVNL, TITAN, USHAMART, SOLARINDS, CHOLAFIN, POLICYBZR, JSWINFRA, MAZDOCK, SJVN, PPLPHARMA, CAMS, NUVAMA, IREDA, POLYCAB, JYOTICNC, SAPPHIRE, CONCORDBIO, CEMPRO, LTFOODS, BLS, ZOMATO, BRITANNIA, GRAVITA, BALRAMCHIN, SUZLON, TARIL, JUBLPHARMA, GVT&D, IDBI, AEGISLOG, ZENSARTECH, SUNTV, CHAMBLFERT, PNBHOUSING, BIKAJI, OLECTRA",116,116,1785,0.9162448179271709,both,0
FALCPAT_6292,25,"ICICIBANK, NAVINFLUOR, TATAPOWER, HDFCAMC, BALKRISIND, CUMMINSIND, HINDALCO, POWERGRID, INDIGO, BSOFT, MSUMI, ATUL, HEROMOTOCO, IDFCFIRSTB, INDUSINDBK, REDINGTON, BAJFINANCE, PETRONET, UPL, MUTHOOTFIN, COROMANDEL, KIMS, GRASIM, ALKEM, KAJARIACER",25,25,491,0.674256619144603,both,0
FALCPAT_6295,85,"ZENSARTECH, CAPLIPOINT, NLCINDIA, PPLPHARMA, TATAINVEST, LTFOODS, GODREJIND, TARIL, NEULANDLAB, RAINBOW, LODHA, ASHOKLEY, JBCHEPHARM, TATAPOWER, NAVA, GPIL, POLYMED, GRAVITA, HEG, MINDACORP, PNBHOUSING, NUVAMA, BIKAJI, JSWINFRA, CGPOWER, GRSE, DRREDDY, GODFRYPHLP, BPCL, KFINTECH, CGCL, MANKIND, ACE, TATACOMM, BALRAMCHIN, EIDPARRY, ECLERX, KAYNES, USHAMART, JYOTICNC",85,85,1599,0.9632363977485928,both,0
FALCPAT_6299,6,"INTELLECT, BSE, GVT&D, CUB, NUVAMA, ERIS",6,6,449,0.6101180400890869,both,0
FALCPAT_6318,80,"ZOMATO, GRSE, GODREJIND, JYOTICNC, IRCON, JSWDULUX, LTIM, SONATSOFTW, PHOENIXLTD, HOMEFIRST, UNIONBANK, CCL, POLICYBZR, DCMSHRIRAM, BDL, ANANDRATHI, CONCORDBIO, CRAFTSMAN, JINDALSTEL, HUDCO, SHRIRAMFIN, PTCIL, APLAPOLLO, ITI, J&KBANK, REDINGTON, CHOLAHLDNG, SHYAMMETL, CGCL, KPRMILL, EICHERMOT, HSCL, SAMMAANCAP, COCHINSHIP, NATCOPHARM, DATAPATTNS, NLCINDIA, BEL, GALLANTT, AEGISLOG",80,80,904,1.0160464601769912,both,0
FALCPAT_6320,55,"DIVISLAB, TCS, SUNPHARMA, SBIN, REDINGTON, TORNTPHARM, SBILIFE, COROMANDEL, GRAPHITE, LAURUSLABS, GVT&D, JUBLPHARMA, KOTAKBANK, COHANCE, CROMPTON, ACUTAAS, CHAMBLFERT, GODREJCP, PAYTM, DELHIVERY, SUZLON, LLOYDSME, LT, BEL, DOMS, SJVN, INDHOTEL, BHEL, KARURVYSYA, 360ONE, ADANIPOWER, SHYAMMETL, CUMMINSIND, FSL, AFFLE, TATAINVEST, KIRLOSENG, NHPC, HINDUNILVR, POONAWALLA",55,55,2455,0.6730729124236253,both,0
FALCPAT_6328,93,"NEULANDLAB, RITES, SYRMA, IDBI, LODHA, UTIAMC, GPIL, ACE, RKFORGE, KIRLOSENG, ZFCVINDIA, GODREJIND, OLECTRA, NUVAMA, POLICYBZR, CGPOWER, NUVOCO, HONASA, INOXWIND, LINDEINDIA, APARINDS, GRAVITA, ESCORTS, JSWSTEEL, HUDCO, ABREL, TATACONSUM, CHALET, CHENNPETRO, WOCKPHARMA, NBCC, INDIACEM, JSWINFRA, HSCL, BATAINDIA, BDL, ADANIPOWER, RVNL, COCHINSHIP, BHARATFORG",93,93,907,1.1118191841234841,both,0
FALCPAT_6329,112,"GODREJIND, RAMCOCEM, NUVOCO, BDL, GODFRYPHLP, DATAPATTNS, JYOTICNC, ZFCVINDIA, GRAVITA, BALRAMCHIN, LODHA, HOMEFIRST, KFINTECH, WELCORP, CHALET, GRSE, ANANDRATHI, HAVELLS, GPIL, TRITURBINE, JINDALSAW, APOLLOHOSP, ANURAS, ETERNAL, SAREGAMA, BIKAJI, PIIND, NLCINDIA, USHAMART, REDINGTON, IPCALAB, CARTRADE, HEG, MAPMYINDIA, IRB, ANGELONE, SCHAEFFLER, ABSLAMC, ZOMATO, WHIRLPOOL",112,112,1480,0.9677006756756757,both,0
FALCPAT_6330,69,"POONAWALLA, GRSE, LINDEINDIA, HBLENGINE, BAYERCROP, ITI, WELSPUNLIV, ENGINERSIN, ACC, KEC, IRFC, HINDZINC, BBTC, ANGELONE, MCX, JSWINFRA, NBCC, JINDALSTEL, JPPOWER, POLYCAB, AMBUJACEM, BHEL, AWL, JYOTICNC, TATAELXSI, INDUSTOWER, BANDHANBNK, ATUL, JSWENERGY, ABREL, IRB, KPITTECH, HAL, RECLTD, ABSLAMC, KALYANKJIL, ABCAPITAL, ZFCVINDIA, ANANTRAJ, RVNL",69,69,968,0.9630123966942149,both,0
