pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,lift_over_best_single
4723+5386,66,0.6060606060606061,0.39379759445585416,0.4870859356819125,1.9272954708599062,-1.4372857875207163,0.48548180775863853,0.08584184376223891,0.7309022117545982,0.6060606060606061,0.9206319316008477,1.2294576602880738,2.8924939858518304,-1.8555379127235068,0.48548180775863853,0.044437703348197466,1.1453988457518498,0.6666666666666666,1.4229345144442422,1.2518130981355837,3.5709133729692155,-2.041769514053765,0.5465611809612104,0.09471599644275858,1.540153720217416,1.0,0.7259645150673458,0.0728420762210783
5386+5465,68,0.6029411764705882,0.3354849973596141,0.4721065459556574,1.9019071855861587,-1.4014616054330848,0.4841583838253139,0.08451841982891428,0.6725896146583583,0.6617647058823529,1.3012356348423941,1.2744079967912427,3.1457480349629354,-1.7299716676494292,0.5433701723652863,0.10232606795484522,1.5260025489933964,0.7205882352941176,2.0046518478652766,1.6525189682166699,4.2001232547028975,-2.0150334699481327,0.6043634045165331,0.1525182199980813,2.1218710536384506,1.0,1.1088571260885924,0.0851631810595031
5386+3994,25,0.68,0.38872407814908677,0.5040228718989282,1.6793548096411897,-1.107441404656744,0.48409913734576715,0.08445917334936753,0.7258286954478309,0.64,1.262557006394618,1.2560780356542225,2.738346247521763,-1.2182455110423733,0.44518154601046633,0.004137441600025271,1.4873239205456203,0.76,2.0153593877727407,1.9319692698833981,3.5775067968838683,-1.3847344363609,0.5656994004476144,0.1138542159291625,2.1325785935459147,1.0,0.809511944964863,0.08510393457995635
7809+9040,25,0.68,1.067178075639874,0.6372053027588632,2.6158772034521394,-1.5875333135140344,0.48409913734576715,0.08445917334936753,1.4042826929386183,0.68,2.3965283481097925,1.5420444096644828,4.562061469337317,-2.019158243670503,0.48409913734576715,0.04305503293532609,2.621295262260795,0.68,2.675911910558924,2.1959408465068764,5.445999988779165,-2.1328741550351524,0.48409913734576715,0.0322539528273153,2.793131116332098,0.0,-0.4940063961188082,0.0009914022579077253
9199+5305,50,0.62,0.6192507136987443,0.355574856158163,2.234571283635391,-1.4290430870019182,0.48150195022393577,0.08186198622753615,0.9563553309974884,0.68,1.5518776748271486,1.2970703737747937,3.7494563427332928,-1.7983259330636263,0.5418944286372392,0.10085032422679818,1.7766445889781508,0.76,1.954651226045119,1.4413674489209762,4.545972226055384,-2.0683333595803703,0.6258705062480764,0.17402532172962454,2.071870431818293,1.0,0.7670471398199994,0.09137903514501228
8423+9423,27,0.6666666666666666,0.3372558890074912,0.53735687115966,1.925488799246966,-1.769685316749097,0.47824419872105484,0.07860423472465522,0.6743605063062353,0.5555555555555556,0.9755285396138841,0.8701030103010422,3.0108486874488154,-2.257861236444965,0.3731271947957688,-0.06791690961467228,1.2002954537648862,0.5555555555555556,1.7672602841465566,1.148097747963588,4.578013722463844,-2.701933983470639,0.3731271947957688,-0.07871798972268307,1.8844794899197304,1.0,0.6066455464773046,0.06784154720348179
7993+9040,54,0.6111111111111112,0.6906625036791377,0.502158604497276,2.418974585869527,-1.5238565820814103,0.4778805658150834,0.07824060181868381,1.0277671209778818,0.6851851851851852,1.790360172445582,1.3968598286617053,3.978592626653306,-1.816206353292122,0.5525630440832037,0.11151893967276261,2.0151270865965842,0.7962962962962963,2.4902686061398276,1.7936936468852462,4.873462794722304,-1.9896388930688598,0.6709743827734083,0.21912919825495641,2.6074878119130016,1.0,0.6286880681552648,0.0061150312246108784
7993+6863,56,0.6071428571428571,0.34672096003524416,0.47775871937942205,2.0960461680891265,-1.748495971976937,0.476331653784818,0.0766916897884184,0.6838255773339883,0.625,1.404842177967979,1.243731254638907,3.7716803094096716,-2.1263304254624367,0.49405126034489305,0.05300715593445199,1.6296090921189812,0.6964285714285714,1.959914909512522,1.6364976137038514,4.608104308583621,-2.3965361827020537,0.5666388751588567,0.11479369064040484,2.0771341152856957,1.0,0.10466282728592732,0.004566119194345464
7993+8965,29,0.6551724137931034,0.9380462492655796,0.49651627322254044,2.5565059846732208,-1.6341274824090253,0.47344776507155983,0.07380780107516022,1.2751508665643236,0.6551724137931034,1.9230317511625448,1.292737957928263,4.24236666098406,-1.9216957709059708,0.47344776507155983,0.03240366066111877,2.147798665313547,0.6896551724137931,2.290482703885379,2.1074603535238756,4.988266050578116,-2.148061756052865,0.5076952952728147,0.0558501107543628,2.407701909658553,1.0,0.1882436674789395,0.001682230481087288
8720+9040,29,0.6551724137931034,0.9500746062731064,0.6372053027588632,2.8691523305183257,-1.8507144844579935,0.47344776507155983,0.07380780107516022,1.2871792235718504,0.5517241379310345,0.9858009407942977,0.5921058965102245,4.2058480443707165,-2.5918620324152037,0.37547667068067625,-0.06556743372976481,1.2105678549452998,0.5517241379310345,0.9492477985494915,1.5928991971454078,4.769581555834346,-3.306272230052889,0.37547667068067625,-0.0763685138377756,1.0664670043226654,1.0,1.1973806647023204,0.06029909707477871
