trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable
2024-12-19,CARTRADE,9,ENTERPRISE-Dryup,09:15,1465.65,15:29,1539,5.0,EOD,20.9,104496,20899.2,1
2024-12-19,GVT&D,11,ENTERPRISE-Dryup,09:15,2020,15:29,2102,4.06,EOD,20.9,104496,20899.2,1
2024-12-19,POWERINDIA,15,ENTERPRISE-Dryup,09:15,12400,15:29,13100,5.65,EOD,20.9,104496,20899.2,1
2024-12-20,ACE,1,GOLD-baseline,09:15,1515,15:29,1492.9,-1.46,EOD,23.5,117519,23503.8,0
2024-12-20,AEGISLOG,2,ENTERPRISE-Dryup,09:15,767.35,15:29,840,9.47,EOD,23.5,117519,23503.8,1
2024-12-20,TECHNOE,3,GOLD,09:15,1540,15:29,1635,6.17,EOD,23.5,117519,23503.8,1
2024-12-20,FIVESTAR,4,GOLD-baseline,09:15,753.9,15:29,757,0.41,EOD,23.5,117519,23503.8,1
2024-12-20,GICRE,5,GOLD,09:15,432.1,15:29,502.75,16.35,EOD,23.5,117519,23503.8,1
2024-12-20,ZENTEC,7,GOLD-baseline,09:15,2448,15:29,2571.8,5.06,EOD,23.5,117519,23503.8,1
2024-12-20,NEWGEN,9,GOLD-baseline,09:15,1534.9,15:29,1574,2.55,EOD,23.5,117519,23503.8,1
2024-12-20,KPRMILL,12,GOLD-baseline,09:15,1145,15:29,1139,-0.52,EOD,23.5,117519,23503.8,0
2024-12-23,ACE,1,GOLD-baseline,09:15,1506.05,09:23,1506.25,0.01,HARD_STOP,-4.13,-20667,-4133.4,1
2024-12-23,ANANTRAJ,6,GOLD-baseline,09:15,858.85,09:23,862.4,0.41,HARD_STOP,-4.13,-20667,-4133.4,1
2024-12-23,KFINTECH,8,GOLD-baseline,09:15,1435,09:23,1415.2,-1.38,HARD_STOP,-4.13,-20667,-4133.4,0
2024-12-23,POWERINDIA,12,ENTERPRISE-Dryup,09:15,13410.25,09:23,13339.9,-0.52,HARD_STOP,-4.13,-20667,-4133.4,0
2024-12-23,IPCALAB,13,GOLD-baseline,09:15,1597,09:23,1588.9,-0.51,HARD_STOP,-4.13,-20667,-4133.4,0
2024-12-23,KPRMILL,14,GOLD-baseline,09:15,1149.5,09:23,1132.45,-1.48,HARD_STOP,-4.13,-20667,-4133.4,0
2024-12-23,HONASA,15,GOLD,09:15,262.5,09:23,257.3,-1.98,HARD_STOP,-4.13,-20667,-4133.4,0
2024-12-24,AJANTPHARM,1,ENTERPRISE-Dryup,09:15,2818.75,15:29,2799.95,-0.67,EOD,12.55,62766,12553.2,0
2024-12-24,GRSE,2,ENTERPRISE-Dryup,09:15,1571.8,15:29,1564.5,-0.46,EOD,12.55,62766,12553.2,0
2024-12-24,ACUTAAS,8,ENTERPRISE-Dryup,09:15,1074.1,15:29,1150,7.07,EOD,12.55,62766,12553.2,1
2024-12-24,HSCL,11,GOLD,09:15,549.8,15:29,552.5,0.49,EOD,12.55,62766,12553.2,1
2024-12-24,ELECON,12,ENTERPRISE-Dryup,09:15,604.15,15:29,624.6,3.38,EOD,12.55,62766,12553.2,1
2024-12-24,SOLARINDS,13,ENTERPRISE-Dryup,09:15,9704.7,15:29,10140,4.49,EOD,12.55,62766,12553.2,1
2024-12-24,SIGNATURE,14,ENTERPRISE-Dryup,09:15,1245,15:29,1290.1,3.62,EOD,12.55,62766,12553.2,1
2024-12-26,AJANTPHARM,1,PREMIUM-Compression,09:15,2790,15:29,2785,-0.18,EOD,4.89,24448,4889.6,0
2024-12-26,GRSE,2,ENTERPRISE-Dryup,09:15,1569.8,15:29,1552,-1.13,EOD,4.89,24448,4889.6,0
