trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_selected,teacher_profitable,month,rank_weight,profit_weight,teacher_weight
2024-12-16,CHALET,14,GOLD-baseline,09:15,1007.55,15:29,973.0,-3.43,EOD,0.31,1566,313.2,1,0,2024-12,0.13333333333333333,0.25,0.03333333333333333
2024-12-16,SYRMA,15,GOLD-baseline,09:15,613.0,15:29,608.9,-0.67,EOD,0.31,1566,313.2,1,0,2024-12,0.06666666666666667,0.25,0.016666666666666666
2024-12-17,AEGISLOG,4,ENTERPRISE-Dryup,09:15,772.0,09:15,772.25,0.03,HARD_STOP,-3.36,-16807,-3361.4,1,1,2024-12,0.8,1.005,0.8039999999999999
2024-12-17,CARTRADE,7,ENTERPRISE-Dryup,09:15,1500.0,09:15,1494.55,-0.36,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.6,0.25,0.15
2024-12-17,BLUEJET,10,GOLD-baseline,09:15,525.0,09:15,517.8,-1.37,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.4,0.25,0.1
2024-12-17,KFINTECH,11,ENTERPRISE-Dryup,09:15,1249.9,09:15,1248.6,-0.1,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.3333333333333333,0.25,0.08333333333333333
2024-12-17,MANKIND,13,GOLD,09:15,2735.0,09:15,2725.35,-0.35,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.2,0.25,0.05
2024-12-17,POWERINDIA,14,ENTERPRISE-Dryup,09:15,13234.5,09:15,13185.35,-0.37,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.13333333333333333,0.25,0.03333333333333333
2024-12-17,KPRMILL,15,GOLD-baseline,09:15,1096.75,09:15,1076.6,-1.84,HARD_STOP,-3.36,-16807,-3361.4,1,0,2024-12,0.06666666666666667,0.25,0.016666666666666666
2024-12-18,TECHNOE,2,GOLD,09:15,1501.2,10:08,1499.35,-0.12,TRAIL,2.84,14187,2837.4,1,0,2024-12,0.9333333333333333,0.25,0.23333333333333334
2024-12-18,KFINTECH,5,ENTERPRISE-Dryup,09:15,1243.0,10:08,1263.45,1.65,TRAIL,2.84,14187,2837.4,1,1,2024-12,0.7333333333333333,1.275,0.9349999999999998
2024-12-18,AEGISLOG,7,ENTERPRISE-Dryup,09:15,782.85,10:08,779.5,-0.43,TRAIL,2.84,14187,2837.4,1,0,2024-12,0.6,0.25,0.15
2024-12-18,GICRE,8,GOLD,09:15,428.2,10:08,440.8,2.94,TRAIL,2.84,14187,2837.4,1,1,2024-12,0.5333333333333333,1.49,0.7946666666666666
2024-12-18,CARTRADE,9,ENTERPRISE-Dryup,09:15,1534.5,10:08,1561.95,1.79,TRAIL,2.84,14187,2837.4,1,1,2024-12,0.4666666666666667,1.2983333333333333,0.6058888888888889
2024-12-18,KPRMILL,11,GOLD-baseline,09:15,1075.9,10:08,1085.4,0.88,TRAIL,2.84,14187,2837.4,1,1,2024-12,0.3333333333333333,1.1466666666666667,0.38222222222222224
